Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: close
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_64/run_3
Run: 3
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=3, enable_privacy=True, noise_multiplier=0.05, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 12:40:37.141697 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7710, lateral-2: 1.5213, lateral-3: 1.5467, lateral-4: 1.5437, lateral-5: 1.5398, epsilon: inf]
2025-10-24 12:40:41.362432 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7684, lateral-2: 1.4007, lateral-3: 1.4208, lateral-4: 1.4508, lateral-5: 1.4843, epsilon: inf]
2025-10-24 12:40:46.662821 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7654, lateral-2: 1.3163, lateral-3: 1.3513, lateral-4: 1.4013, lateral-5: 1.4427, epsilon: inf]
2025-10-24 12:40:53.333164 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7628, lateral-2: 1.2421, lateral-3: 1.2942, lateral-4: 1.3487, lateral-5: 1.4102, epsilon: inf]
2025-10-24 12:41:00.993890 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7610, lateral-2: 1.1921, lateral-3: 1.2385, lateral-4: 1.3101, lateral-5: 1.3814, epsilon: inf]
2025-10-24 12:41:10.519210 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7602, lateral-2: 1.1512, lateral-3: 1.1930, lateral-4: 1.2768, lateral-5: 1.3560, epsilon: inf]
2025-10-24 12:41:21.703464 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7596, lateral-2: 1.1165, lateral-3: 1.1600, lateral-4: 1.2428, lateral-5: 1.3315, epsilon: inf]
2025-10-24 12:41:43.261894 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7586, lateral-2: 1.0864, lateral-3: 1.1336, lateral-4: 1.2187, lateral-5: 1.3059, epsilon: inf]
2025-10-24 12:41:58.481854 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7573, lateral-2: 1.0609, lateral-3: 1.1089, lateral-4: 1.1953, lateral-5: 1.2778, epsilon: inf]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_64/run_3/Inf-Net-10.pth
2025-10-24 12:42:16.702189 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7562, lateral-2: 1.0404, lateral-3: 1.0889, lateral-4: 1.1729, lateral-5: 1.2487, epsilon: inf]
2025-10-24 12:42:37.172340 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7552, lateral-2: 1.0238, lateral-3: 1.0732, lateral-4: 1.1530, lateral-5: 1.2237, epsilon: inf]
2025-10-24 12:42:58.666482 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7543, lateral-2: 1.0102, lateral-3: 1.0573, lateral-4: 1.1344, lateral-5: 1.2023, epsilon: inf]
2025-10-24 12:43:29.780313 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7534, lateral-2: 0.9947, lateral-3: 1.0446, lateral-4: 1.1201, lateral-5: 1.1835, epsilon: inf]
2025-10-24 12:43:57.618601 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7526, lateral-2: 0.9799, lateral-3: 1.0312, lateral-4: 1.1060, lateral-5: 1.1667, epsilon: inf]
2025-10-24 12:44:30.099010 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7520, lateral-2: 0.9656, lateral-3: 1.0199, lateral-4: 1.0944, lateral-5: 1.1524, epsilon: inf]
2025-10-24 12:45:04.709108 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7513, lateral-2: 0.9531, lateral-3: 1.0082, lateral-4: 1.0825, lateral-5: 1.1394, epsilon: inf]
2025-10-24 12:45:37.829894 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7507, lateral-2: 0.9417, lateral-3: 0.9976, lateral-4: 1.0714, lateral-5: 1.1266, epsilon: inf]
2025-10-24 12:46:20.285717 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7501, lateral-2: 0.9303, lateral-3: 0.9865, lateral-4: 1.0598, lateral-5: 1.1138, epsilon: inf]
Training completed at Fri Oct 24 12:46:42 CEST 2025
