Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 128
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: dilation
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/dilation/batch_128/run_3
Run: 3
Namespace(epoch=100, lr=0.0001, batchsize=128, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=3, enable_privacy=True, noise_multiplier=1.5, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='dilation', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 12:45:34.334715 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7677, lateral-2: 1.8187, lateral-3: 1.6518, lateral-4: 1.5790, lateral-5: 1.5239, epsilon: 5.1851]
2025-10-24 12:45:37.380455 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7676, lateral-2: 1.7677, lateral-3: 1.6172, lateral-4: 1.5492, lateral-5: 1.5218, epsilon: 7.8193]
2025-10-24 12:45:40.574906 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7675, lateral-2: 1.7360, lateral-3: 1.5968, lateral-4: 1.5315, lateral-5: 1.5202, epsilon: 10.0077]
2025-10-24 12:45:44.071253 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7674, lateral-2: 1.7172, lateral-3: 1.5847, lateral-4: 1.5213, lateral-5: 1.5185, epsilon: 11.9630]
2025-10-24 12:45:47.153267 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7673, lateral-2: 1.7019, lateral-3: 1.5749, lateral-4: 1.5136, lateral-5: 1.5169, epsilon: 13.7684]
2025-10-24 12:45:50.340434 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7672, lateral-2: 1.6868, lateral-3: 1.5654, lateral-4: 1.5065, lateral-5: 1.5155, epsilon: 15.4668]
2025-10-24 12:45:53.611862 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7670, lateral-2: 1.6717, lateral-3: 1.5561, lateral-4: 1.4997, lateral-5: 1.5139, epsilon: 17.0838]
2025-10-24 12:45:56.808797 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7669, lateral-2: 1.6570, lateral-3: 1.5474, lateral-4: 1.4934, lateral-5: 1.5124, epsilon: 18.6363]
2025-10-24 12:46:00.264372 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7668, lateral-2: 1.6442, lateral-3: 1.5397, lateral-4: 1.4878, lateral-5: 1.5110, epsilon: 20.1358]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/dilation/batch_128/run_3/Inf-Net-10.pth
2025-10-24 12:46:03.614823 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7666, lateral-2: 1.6326, lateral-3: 1.5329, lateral-4: 1.4830, lateral-5: 1.5096, epsilon: 21.5910]
2025-10-24 12:46:06.656352 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7664, lateral-2: 1.6223, lateral-3: 1.5269, lateral-4: 1.4788, lateral-5: 1.5081, epsilon: 23.0082]
2025-10-24 12:46:09.865614 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7663, lateral-2: 1.6127, lateral-3: 1.5213, lateral-4: 1.4746, lateral-5: 1.5065, epsilon: 24.3925]
2025-10-24 12:46:13.166175 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7661, lateral-2: 1.6035, lateral-3: 1.5162, lateral-4: 1.4708, lateral-5: 1.5050, epsilon: 25.7479]
2025-10-24 12:46:16.351241 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7660, lateral-2: 1.5951, lateral-3: 1.5113, lateral-4: 1.4671, lateral-5: 1.5033, epsilon: 27.0777]
2025-10-24 12:46:19.472466 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7658, lateral-2: 1.5869, lateral-3: 1.5064, lateral-4: 1.4635, lateral-5: 1.5015, epsilon: 28.3845]
2025-10-24 12:46:22.660226 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7657, lateral-2: 1.5791, lateral-3: 1.5015, lateral-4: 1.4599, lateral-5: 1.4997, epsilon: 29.6705]
2025-10-24 12:46:25.876194 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7655, lateral-2: 1.5714, lateral-3: 1.4968, lateral-4: 1.4565, lateral-5: 1.4980, epsilon: 30.9378]
2025-10-24 12:46:29.220110 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7653, lateral-2: 1.5638, lateral-3: 1.4921, lateral-4: 1.4532, lateral-5: 1.4960, epsilon: 32.1878]
2025-10-24 12:46:32.447828 Epoch [019/100], Step [0001/0001], [lateral-edge: 0.7651, lateral-2: 1.5566, lateral-3: 1.4877, lateral-4: 1.4502, lateral-5: 1.4941, epsilon: 33.4220]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/dilation/batch_128/run_3/Inf-Net-20.pth
2025-10-24 12:46:35.904657 Epoch [020/100], Step [0001/0001], [lateral-edge: 0.7650, lateral-2: 1.5497, lateral-3: 1.4834, lateral-4: 1.4471, lateral-5: 1.4923, epsilon: 34.6416]
2025-10-24 12:46:39.168661 Epoch [021/100], Step [0001/0001], [lateral-edge: 0.7648, lateral-2: 1.5426, lateral-3: 1.4790, lateral-4: 1.4441, lateral-5: 1.4907, epsilon: 35.8478]
2025-10-24 12:46:42.535753 Epoch [022/100], Step [0001/0001], [lateral-edge: 0.7647, lateral-2: 1.5358, lateral-3: 1.4746, lateral-4: 1.4411, lateral-5: 1.4890, epsilon: 37.0413]
2025-10-24 12:46:45.783537 Epoch [023/100], Step [0001/0001], [lateral-edge: 0.7645, lateral-2: 1.5292, lateral-3: 1.4704, lateral-4: 1.4381, lateral-5: 1.4872, epsilon: 38.2232]
2025-10-24 12:46:48.936736 Epoch [024/100], Step [0001/0001], [lateral-edge: 0.7644, lateral-2: 1.5227, lateral-3: 1.4662, lateral-4: 1.4352, lateral-5: 1.4852, epsilon: 39.3941]
2025-10-24 12:46:52.090041 Epoch [025/100], Step [0001/0001], [lateral-edge: 0.7642, lateral-2: 1.5162, lateral-3: 1.4620, lateral-4: 1.4325, lateral-5: 1.4833, epsilon: 40.5547]
2025-10-24 12:46:55.403552 Epoch [026/100], Step [0001/0001], [lateral-edge: 0.7641, lateral-2: 1.5095, lateral-3: 1.4579, lateral-4: 1.4296, lateral-5: 1.4813, epsilon: 41.7056]
