Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 128
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: dilation
Save Path: ./Snapshots/save_weights/Inf-Net_DP/0.05_Morph/dilation/batch_128/run_2
Run: 2
Namespace(epoch=100, lr=0.0001, batchsize=128, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_privacy=True, noise_multiplier=0.05, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='dilation', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 12:49:16.589418 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.8036, lateral-2: 1.6084, lateral-3: 1.5583, lateral-4: 1.5573, lateral-5: 1.5577, epsilon: inf]
2025-10-24 12:49:20.914278 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7963, lateral-2: 1.4869, lateral-3: 1.4279, lateral-4: 1.4431, lateral-5: 1.5056, epsilon: inf]
2025-10-24 12:49:26.277637 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7821, lateral-2: 1.3766, lateral-3: 1.3621, lateral-4: 1.3928, lateral-5: 1.4741, epsilon: inf]
2025-10-24 12:49:33.174950 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7707, lateral-2: 1.2907, lateral-3: 1.3079, lateral-4: 1.3454, lateral-5: 1.4427, epsilon: inf]
2025-10-24 12:49:41.579569 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7685, lateral-2: 1.2265, lateral-3: 1.2534, lateral-4: 1.3026, lateral-5: 1.4080, epsilon: inf]
2025-10-24 12:49:51.443854 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7670, lateral-2: 1.1695, lateral-3: 1.2049, lateral-4: 1.2644, lateral-5: 1.3700, epsilon: inf]
2025-10-24 12:50:03.205011 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7647, lateral-2: 1.1231, lateral-3: 1.1676, lateral-4: 1.2312, lateral-5: 1.3305, epsilon: inf]
2025-10-24 12:50:30.835187 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7629, lateral-2: 1.0859, lateral-3: 1.1363, lateral-4: 1.2058, lateral-5: 1.2929, epsilon: inf]
2025-10-24 12:50:47.020198 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7621, lateral-2: 1.0560, lateral-3: 1.1096, lateral-4: 1.1831, lateral-5: 1.2579, epsilon: inf]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP/0.05_Morph/dilation/batch_128/run_2/Inf-Net-10.pth
2025-10-24 12:51:06.366863 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7615, lateral-2: 1.0315, lateral-3: 1.0842, lateral-4: 1.1575, lateral-5: 1.2254, epsilon: inf]
2025-10-24 12:51:28.765406 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7603, lateral-2: 1.0110, lateral-3: 1.0614, lateral-4: 1.1331, lateral-5: 1.1984, epsilon: inf]
2025-10-24 12:51:52.507173 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7588, lateral-2: 0.9939, lateral-3: 1.0419, lateral-4: 1.1122, lateral-5: 1.1745, epsilon: inf]
2025-10-24 12:52:30.416880 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7575, lateral-2: 0.9786, lateral-3: 1.0255, lateral-4: 1.0955, lateral-5: 1.1528, epsilon: inf]
2025-10-24 12:52:59.593453 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7565, lateral-2: 0.9635, lateral-3: 1.0108, lateral-4: 1.0798, lateral-5: 1.1335, epsilon: inf]
2025-10-24 12:53:32.732035 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7555, lateral-2: 0.9499, lateral-3: 0.9969, lateral-4: 1.0663, lateral-5: 1.1191, epsilon: inf]
2025-10-24 12:54:10.556149 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7545, lateral-2: 0.9374, lateral-3: 0.9851, lateral-4: 1.0542, lateral-5: 1.1047, epsilon: inf]
2025-10-24 12:54:49.296927 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7535, lateral-2: 0.9260, lateral-3: 0.9732, lateral-4: 1.0426, lateral-5: 1.0922, epsilon: inf]
2025-10-24 12:55:33.060326 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7526, lateral-2: 0.9154, lateral-3: 0.9616, lateral-4: 1.0310, lateral-5: 1.0802, epsilon: inf]
Training completed at Fri Oct 24 12:55:56 CEST 2025
