Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: dilation
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/dilation/batch_64/run_3
Run: 3
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=3, enable_privacy=True, noise_multiplier=0.05, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='dilation', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 12:53:20.176277 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7691, lateral-2: 1.6602, lateral-3: 1.6406, lateral-4: 1.6023, lateral-5: 1.5948, epsilon: inf]
2025-10-24 12:53:24.708493 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7661, lateral-2: 1.4997, lateral-3: 1.4922, lateral-4: 1.5154, lateral-5: 1.5310, epsilon: inf]
2025-10-24 12:53:30.322699 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7631, lateral-2: 1.4035, lateral-3: 1.4224, lateral-4: 1.4460, lateral-5: 1.4972, epsilon: inf]
2025-10-24 12:53:37.709001 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7602, lateral-2: 1.3148, lateral-3: 1.3504, lateral-4: 1.3850, lateral-5: 1.4629, epsilon: inf]
2025-10-24 12:53:45.337454 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7575, lateral-2: 1.2411, lateral-3: 1.2763, lateral-4: 1.3324, lateral-5: 1.4223, epsilon: inf]
2025-10-24 12:53:55.310304 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7554, lateral-2: 1.1807, lateral-3: 1.2116, lateral-4: 1.2828, lateral-5: 1.3778, epsilon: inf]
2025-10-24 12:54:07.302053 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7536, lateral-2: 1.1280, lateral-3: 1.1606, lateral-4: 1.2414, lateral-5: 1.3343, epsilon: inf]
2025-10-24 12:54:30.209288 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7522, lateral-2: 1.0833, lateral-3: 1.1234, lateral-4: 1.2106, lateral-5: 1.2955, epsilon: inf]
2025-10-24 12:54:46.930151 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7511, lateral-2: 1.0499, lateral-3: 1.0956, lateral-4: 1.1848, lateral-5: 1.2592, epsilon: inf]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/dilation/batch_64/run_3/Inf-Net-10.pth
2025-10-24 12:55:05.825932 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7503, lateral-2: 1.0268, lateral-3: 1.0743, lateral-4: 1.1588, lateral-5: 1.2263, epsilon: inf]
2025-10-24 12:55:28.301387 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7498, lateral-2: 1.0086, lateral-3: 1.0577, lateral-4: 1.1356, lateral-5: 1.1990, epsilon: inf]
2025-10-24 12:55:50.959732 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7491, lateral-2: 0.9908, lateral-3: 1.0423, lateral-4: 1.1177, lateral-5: 1.1769, epsilon: inf]
2025-10-24 12:56:30.003704 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7484, lateral-2: 0.9751, lateral-3: 1.0277, lateral-4: 1.1064, lateral-5: 1.1591, epsilon: inf]
2025-10-24 12:56:58.103695 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7476, lateral-2: 0.9624, lateral-3: 1.0141, lateral-4: 1.0908, lateral-5: 1.1433, epsilon: inf]
2025-10-24 12:57:31.403711 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7468, lateral-2: 0.9493, lateral-3: 1.0010, lateral-4: 1.0774, lateral-5: 1.1279, epsilon: inf]
2025-10-24 12:58:06.757530 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7460, lateral-2: 0.9372, lateral-3: 0.9897, lateral-4: 1.0674, lateral-5: 1.1128, epsilon: inf]
