Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 128
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: erosion
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/erosion/batch_128/run_1/noise_multiplier_1.5
Run: 1
Namespace(epoch=100, lr=0.0001, batchsize=128, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=1, enable_privacy=True, noise_multiplier=1.5, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='erosion', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 12:56:34.001392 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7763, lateral-2: 1.6390, lateral-3: 1.5831, lateral-4: 1.5705, lateral-5: 1.5534, epsilon: 5.1851]
2025-10-24 12:56:37.134034 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7760, lateral-2: 1.6133, lateral-3: 1.5653, lateral-4: 1.5569, lateral-5: 1.5511, epsilon: 7.8193]
2025-10-24 12:56:40.260325 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7758, lateral-2: 1.5945, lateral-3: 1.5528, lateral-4: 1.5468, lateral-5: 1.5488, epsilon: 10.0077]
2025-10-24 12:56:43.529244 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7755, lateral-2: 1.5799, lateral-3: 1.5434, lateral-4: 1.5387, lateral-5: 1.5463, epsilon: 11.9630]
2025-10-24 12:56:46.644435 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7753, lateral-2: 1.5683, lateral-3: 1.5361, lateral-4: 1.5318, lateral-5: 1.5441, epsilon: 13.7684]
2025-10-24 12:56:49.721411 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7751, lateral-2: 1.5577, lateral-3: 1.5293, lateral-4: 1.5254, lateral-5: 1.5419, epsilon: 15.4668]
2025-10-24 12:56:52.901854 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7749, lateral-2: 1.5479, lateral-3: 1.5229, lateral-4: 1.5194, lateral-5: 1.5400, epsilon: 17.0838]
2025-10-24 12:56:56.070644 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7746, lateral-2: 1.5390, lateral-3: 1.5169, lateral-4: 1.5141, lateral-5: 1.5381, epsilon: 18.6363]
2025-10-24 12:56:59.442594 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7743, lateral-2: 1.5308, lateral-3: 1.5114, lateral-4: 1.5093, lateral-5: 1.5365, epsilon: 20.1358]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/erosion/batch_128/run_1/noise_multiplier_1.5/Inf-Net-10.pth
2025-10-24 12:57:02.745674 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7739, lateral-2: 1.5231, lateral-3: 1.5062, lateral-4: 1.5049, lateral-5: 1.5346, epsilon: 21.5910]
