Backbone loading: Res2Net50
Not loading weights from weights file
################################################## 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Morphology: Disabled
Save Path: ./Snapshots/save_weights/Inf-Net/batch_64/run_3
Run: 3
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=3, enable_morphology=False, morph_operation='close', morph_kernel_size=3, device='cuda')
 ##################################################
2025-10-23 17:18:51.212652 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7612, lateral-2: 1.5981, lateral-3: 1.5966, lateral-4: 1.5338, lateral-5: 1.5013]
2025-10-23 17:18:52.837647 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7571, lateral-2: 1.4493, lateral-3: 1.4532, lateral-4: 1.5032, lateral-5: 1.5027]
2025-10-23 17:18:54.473988 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7531, lateral-2: 1.4023, lateral-3: 1.4045, lateral-4: 1.4530, lateral-5: 1.4957]
2025-10-23 17:18:56.157976 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7508, lateral-2: 1.3809, lateral-3: 1.3775, lateral-4: 1.4263, lateral-5: 1.4921]
2025-10-23 17:18:57.816617 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7494, lateral-2: 1.3544, lateral-3: 1.3557, lateral-4: 1.4093, lateral-5: 1.4891]
2025-10-23 17:18:59.461952 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7471, lateral-2: 1.3253, lateral-3: 1.3330, lateral-4: 1.3893, lateral-5: 1.4877]
2025-10-23 17:19:01.108987 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7445, lateral-2: 1.2985, lateral-3: 1.3085, lateral-4: 1.3718, lateral-5: 1.4807]
2025-10-23 17:19:02.772505 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7423, lateral-2: 1.2654, lateral-3: 1.2787, lateral-4: 1.3483, lateral-5: 1.4572]
2025-10-23 17:19:04.419057 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7406, lateral-2: 1.2203, lateral-3: 1.2418, lateral-4: 1.3161, lateral-5: 1.3953]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/batch_64/run_3/Inf-Net-10.pth
2025-10-23 17:19:06.416141 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7387, lateral-2: 1.1607, lateral-3: 1.1893, lateral-4: 1.2712, lateral-5: 1.3622]
2025-10-23 17:19:08.081733 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7369, lateral-2: 1.0879, lateral-3: 1.1230, lateral-4: 1.2121, lateral-5: 1.3615]
2025-10-23 17:19:09.741253 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7354, lateral-2: 1.0195, lateral-3: 1.0613, lateral-4: 1.1544, lateral-5: 1.3800]
2025-10-23 17:19:11.424757 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7340, lateral-2: 1.0075, lateral-3: 1.0737, lateral-4: 1.1861, lateral-5: 1.4303]
2025-10-23 17:19:13.080259 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7327, lateral-2: 0.9123, lateral-3: 0.9592, lateral-4: 1.0553, lateral-5: 1.4454]
2025-10-23 17:19:14.733057 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7313, lateral-2: 0.8576, lateral-3: 0.9242, lateral-4: 1.0262, lateral-5: 1.4340]
2025-10-23 17:19:16.390103 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7302, lateral-2: 0.8246, lateral-3: 0.8902, lateral-4: 0.9912, lateral-5: 1.4207]
