Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 128
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: Disabled
Save Path: ./Snapshots/save_weights/Inf-Net_DP/batch_128/run_1/noise_multiplier_0.05
Run: 1
Namespace(epoch=100, lr=0.0001, batchsize=128, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=1, enable_privacy=True, noise_multiplier=0.05, max_grad_norm=1.0, delta=1e-05, enable_morphology=False, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 13:30:08.094525 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7859, lateral-2: 1.5257, lateral-3: 1.5103, lateral-4: 1.5466, lateral-5: 1.5144, epsilon: inf]
2025-10-24 13:30:12.501599 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7771, lateral-2: 1.3996, lateral-3: 1.4289, lateral-4: 1.4539, lateral-5: 1.4700, epsilon: inf]
2025-10-24 13:30:18.027302 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7715, lateral-2: 1.3050, lateral-3: 1.3671, lateral-4: 1.3947, lateral-5: 1.4412, epsilon: inf]
2025-10-24 13:30:25.081892 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7690, lateral-2: 1.2441, lateral-3: 1.3018, lateral-4: 1.3427, lateral-5: 1.4111, epsilon: inf]
2025-10-24 13:30:32.698257 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7673, lateral-2: 1.1944, lateral-3: 1.2379, lateral-4: 1.2956, lateral-5: 1.3739, epsilon: inf]
2025-10-24 13:30:42.786885 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7658, lateral-2: 1.1466, lateral-3: 1.1826, lateral-4: 1.2520, lateral-5: 1.3386, epsilon: inf]
2025-10-24 13:30:54.776721 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7644, lateral-2: 1.1043, lateral-3: 1.1426, lateral-4: 1.2135, lateral-5: 1.3110, epsilon: inf]
2025-10-24 13:31:16.176490 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7630, lateral-2: 1.0702, lateral-3: 1.1099, lateral-4: 1.1864, lateral-5: 1.2865, epsilon: inf]
2025-10-24 13:31:32.741215 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7615, lateral-2: 1.0427, lateral-3: 1.0803, lateral-4: 1.1607, lateral-5: 1.2626, epsilon: inf]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP/batch_128/run_1/noise_multiplier_0.05/Inf-Net-10.pth
2025-10-24 13:31:53.451612 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7598, lateral-2: 1.0206, lateral-3: 1.0622, lateral-4: 1.1412, lateral-5: 1.2410, epsilon: inf]
2025-10-24 13:32:14.870021 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7581, lateral-2: 1.0016, lateral-3: 1.0426, lateral-4: 1.1229, lateral-5: 1.2202, epsilon: inf]
2025-10-24 13:32:37.410612 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7565, lateral-2: 0.9850, lateral-3: 1.0265, lateral-4: 1.1061, lateral-5: 1.1995, epsilon: inf]
2025-10-24 13:33:07.194261 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7554, lateral-2: 0.9673, lateral-3: 1.0118, lateral-4: 1.0902, lateral-5: 1.1792, epsilon: inf]
2025-10-24 13:33:35.150520 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7544, lateral-2: 0.9530, lateral-3: 0.9983, lateral-4: 1.0759, lateral-5: 1.1610, epsilon: inf]
2025-10-24 13:34:07.229699 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7535, lateral-2: 0.9394, lateral-3: 0.9855, lateral-4: 1.0641, lateral-5: 1.1450, epsilon: inf]
2025-10-24 13:34:41.842075 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7527, lateral-2: 0.9271, lateral-3: 0.9739, lateral-4: 1.0522, lateral-5: 1.1297, epsilon: inf]
2025-10-24 13:35:12.620125 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7520, lateral-2: 0.9158, lateral-3: 0.9622, lateral-4: 1.0402, lateral-5: 1.1152, epsilon: inf]
2025-10-24 13:35:54.073717 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7513, lateral-2: 0.9037, lateral-3: 0.9516, lateral-4: 1.0298, lateral-5: 1.1018, epsilon: inf]
Training completed at Fri Oct 24 13:36:28 CEST 2025
