Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 128
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: Disabled
Save Path: ./Snapshots/save_weights/Inf-Net_DP/batch_128/run_2
Run: 2
Namespace(epoch=100, lr=0.0001, batchsize=128, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_privacy=True, noise_multiplier=0.05, max_grad_norm=1.0, delta=1e-05, enable_morphology=False, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 12:22:18.564044 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7746, lateral-2: 1.6346, lateral-3: 1.5791, lateral-4: 1.5233, lateral-5: 1.5308, epsilon: inf]
2025-10-24 12:22:22.770607 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7659, lateral-2: 1.4445, lateral-3: 1.4227, lateral-4: 1.4396, lateral-5: 1.5126, epsilon: inf]
2025-10-24 12:22:28.000367 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7602, lateral-2: 1.3533, lateral-3: 1.3495, lateral-4: 1.3848, lateral-5: 1.4854, epsilon: inf]
2025-10-24 12:22:34.632366 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7580, lateral-2: 1.2611, lateral-3: 1.2868, lateral-4: 1.3448, lateral-5: 1.4512, epsilon: inf]
2025-10-24 12:22:41.952597 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7567, lateral-2: 1.1961, lateral-3: 1.2325, lateral-4: 1.3112, lateral-5: 1.4157, epsilon: inf]
2025-10-24 12:22:51.412124 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7556, lateral-2: 1.1508, lateral-3: 1.1885, lateral-4: 1.2812, lateral-5: 1.3823, epsilon: inf]
2025-10-24 12:23:02.596088 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7545, lateral-2: 1.1092, lateral-3: 1.1548, lateral-4: 1.2562, lateral-5: 1.3497, epsilon: inf]
2025-10-24 12:23:23.769206 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7537, lateral-2: 1.0730, lateral-3: 1.1285, lateral-4: 1.2341, lateral-5: 1.3169, epsilon: inf]
2025-10-24 12:23:39.025990 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7529, lateral-2: 1.0441, lateral-3: 1.1066, lateral-4: 1.2136, lateral-5: 1.2858, epsilon: inf]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP/batch_128/run_2/Inf-Net-10.pth
2025-10-24 12:23:57.632791 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7520, lateral-2: 1.0220, lateral-3: 1.0864, lateral-4: 1.1934, lateral-5: 1.2573, epsilon: inf]
2025-10-24 12:24:18.738160 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7510, lateral-2: 1.0043, lateral-3: 1.0668, lateral-4: 1.1722, lateral-5: 1.2319, epsilon: inf]
2025-10-24 12:24:42.101576 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7503, lateral-2: 0.9887, lateral-3: 1.0502, lateral-4: 1.1500, lateral-5: 1.2089, epsilon: inf]
2025-10-24 12:25:13.894205 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7499, lateral-2: 0.9737, lateral-3: 1.0354, lateral-4: 1.1296, lateral-5: 1.1868, epsilon: inf]
2025-10-24 12:25:41.833127 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7495, lateral-2: 0.9609, lateral-3: 1.0207, lateral-4: 1.1131, lateral-5: 1.1676, epsilon: inf]
2025-10-24 12:26:14.284052 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7489, lateral-2: 0.9469, lateral-3: 1.0074, lateral-4: 1.0992, lateral-5: 1.1506, epsilon: inf]
2025-10-24 12:26:50.106992 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7483, lateral-2: 0.9342, lateral-3: 0.9939, lateral-4: 1.0876, lateral-5: 1.1349, epsilon: inf]
2025-10-24 12:27:22.450077 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7478, lateral-2: 0.9228, lateral-3: 0.9818, lateral-4: 1.0748, lateral-5: 1.1191, epsilon: inf]
2025-10-24 12:28:04.571577 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7474, lateral-2: 0.9124, lateral-3: 0.9706, lateral-4: 1.0634, lateral-5: 1.1052, epsilon: inf]
Training completed at Fri Oct 24 12:28:41 CEST 2025
