Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: close
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_64/run_2
Run: 2
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_privacy=True, noise_multiplier=0.05, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 12:40:05.961216 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.8078, lateral-2: 1.6479, lateral-3: 1.5465, lateral-4: 1.5073, lateral-5: 1.4993, epsilon: inf]
2025-10-24 12:40:10.605400 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.8025, lateral-2: 1.4182, lateral-3: 1.4083, lateral-4: 1.4286, lateral-5: 1.4748, epsilon: inf]
2025-10-24 12:40:17.050347 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7915, lateral-2: 1.3119, lateral-3: 1.3263, lateral-4: 1.3812, lateral-5: 1.4439, epsilon: inf]
2025-10-24 12:40:25.848924 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7758, lateral-2: 1.2332, lateral-3: 1.2508, lateral-4: 1.3260, lateral-5: 1.4035, epsilon: inf]
2025-10-24 12:40:35.368572 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7700, lateral-2: 1.1656, lateral-3: 1.1896, lateral-4: 1.2768, lateral-5: 1.3637, epsilon: inf]
2025-10-24 12:40:48.273909 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7706, lateral-2: 1.1116, lateral-3: 1.1456, lateral-4: 1.2438, lateral-5: 1.3355, epsilon: inf]
2025-10-24 12:41:02.175528 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7706, lateral-2: 1.0744, lateral-3: 1.1161, lateral-4: 1.2210, lateral-5: 1.3137, epsilon: inf]
2025-10-24 12:41:34.161758 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7697, lateral-2: 1.0446, lateral-3: 1.0952, lateral-4: 1.2022, lateral-5: 1.2891, epsilon: inf]
2025-10-24 12:41:54.154905 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7683, lateral-2: 1.0188, lateral-3: 1.0768, lateral-4: 1.1814, lateral-5: 1.2604, epsilon: inf]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_64/run_2/Inf-Net-10.pth
2025-10-24 12:42:17.632706 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7670, lateral-2: 0.9985, lateral-3: 1.0593, lateral-4: 1.1582, lateral-5: 1.2315, epsilon: inf]
2025-10-24 12:42:45.266941 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7658, lateral-2: 0.9830, lateral-3: 1.0444, lateral-4: 1.1352, lateral-5: 1.2056, epsilon: inf]
2025-10-24 12:43:14.828358 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7648, lateral-2: 0.9699, lateral-3: 1.0301, lateral-4: 1.1157, lateral-5: 1.1820, epsilon: inf]
2025-10-24 12:44:03.013758 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7639, lateral-2: 0.9570, lateral-3: 1.0155, lateral-4: 1.1005, lateral-5: 1.1608, epsilon: inf]
2025-10-24 12:44:41.944332 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7628, lateral-2: 0.9438, lateral-3: 1.0010, lateral-4: 1.0857, lateral-5: 1.1426, epsilon: inf]
2025-10-24 12:45:21.464932 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7616, lateral-2: 0.9316, lateral-3: 0.9881, lateral-4: 1.0730, lateral-5: 1.1259, epsilon: inf]
2025-10-24 12:46:00.910790 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7603, lateral-2: 0.9200, lateral-3: 0.9767, lateral-4: 1.0629, lateral-5: 1.1126, epsilon: inf]
2025-10-24 12:46:35.806585 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7590, lateral-2: 0.9094, lateral-3: 0.9662, lateral-4: 1.0524, lateral-5: 1.1009, epsilon: inf]
2025-10-24 12:47:22.733330 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7579, lateral-2: 0.8988, lateral-3: 0.9549, lateral-4: 1.0403, lateral-5: 1.0880, epsilon: inf]
Training completed at Fri Oct 24 12:47:47 CEST 2025
