Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 32
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: close
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_32/run_2
Run: 2
Namespace(epoch=100, lr=0.0001, batchsize=32, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_privacy=True, noise_multiplier=0.3, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 12:42:35.606186 Epoch [001/100], Step [0002/0002], [lateral-edge: 0.7680, lateral-2: 1.6473, lateral-3: 1.5855, lateral-4: 1.5631, lateral-5: 1.5265, epsilon: 54.8910]
2025-10-24 12:42:40.507871 Epoch [002/100], Step [0002/0002], [lateral-edge: 0.7689, lateral-2: 1.5575, lateral-3: 1.5197, lateral-4: 1.5010, lateral-5: 1.5081, epsilon: 84.8094]
2025-10-24 12:42:45.100595 Epoch [003/100], Step [0002/0002], [lateral-edge: 0.7699, lateral-2: 1.5599, lateral-3: 1.5318, lateral-4: 1.5160, lateral-5: 1.5235, epsilon: 110.4391]
2025-10-24 12:42:49.677530 Epoch [004/100], Step [0002/0002], [lateral-edge: 0.7685, lateral-2: 1.5021, lateral-3: 1.4732, lateral-4: 1.4651, lateral-5: 1.4981, epsilon: 133.9877]
2025-10-24 12:42:53.788638 Epoch [005/100], Step [0002/0002], [lateral-edge: 0.7665, lateral-2: 1.4983, lateral-3: 1.4726, lateral-4: 1.4761, lateral-5: 1.4996, epsilon: 156.2438]
2025-10-24 12:42:58.552223 Epoch [006/100], Step [0002/0002], [lateral-edge: 0.7669, lateral-2: 1.4622, lateral-3: 1.4398, lateral-4: 1.4458, lateral-5: 1.4824, epsilon: 177.5980]
2025-10-24 12:43:03.173697 Epoch [007/100], Step [0002/0002], [lateral-edge: 0.7657, lateral-2: 1.4534, lateral-3: 1.4275, lateral-4: 1.4358, lateral-5: 1.4765, epsilon: 198.2751]
2025-10-24 12:43:08.254358 Epoch [008/100], Step [0002/0002], [lateral-edge: 0.7651, lateral-2: 1.4325, lateral-3: 1.4180, lateral-4: 1.4324, lateral-5: 1.4734, epsilon: 218.4212]
2025-10-24 12:43:13.139979 Epoch [009/100], Step [0002/0002], [lateral-edge: 0.7632, lateral-2: 1.3999, lateral-3: 1.3787, lateral-4: 1.4045, lateral-5: 1.4577, epsilon: 238.1356]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_32/run_2/Inf-Net-10.pth
2025-10-24 12:43:17.755213 Epoch [010/100], Step [0002/0002], [lateral-edge: 0.7626, lateral-2: 1.3737, lateral-3: 1.3622, lateral-4: 1.3843, lateral-5: 1.4431, epsilon: 257.4901]
2025-10-24 12:43:23.126865 Epoch [011/100], Step [0002/0002], [lateral-edge: 0.7613, lateral-2: 1.3610, lateral-3: 1.3607, lateral-4: 1.3819, lateral-5: 1.4398, epsilon: 276.5388]
2025-10-24 12:43:27.660917 Epoch [012/100], Step [0002/0002], [lateral-edge: 0.7620, lateral-2: 1.3404, lateral-3: 1.3375, lateral-4: 1.3679, lateral-5: 1.4373, epsilon: 295.3234]
2025-10-24 12:43:32.219663 Epoch [013/100], Step [0002/0002], [lateral-edge: 0.7613, lateral-2: 1.3167, lateral-3: 1.3168, lateral-4: 1.3419, lateral-5: 1.4157, epsilon: 313.8771]
2025-10-24 12:43:37.579017 Epoch [014/100], Step [0002/0002], [lateral-edge: 0.7606, lateral-2: 1.2952, lateral-3: 1.2989, lateral-4: 1.3285, lateral-5: 1.4137, epsilon: 332.2264]
2025-10-24 12:43:42.435770 Epoch [015/100], Step [0002/0002], [lateral-edge: 0.7619, lateral-2: 1.2984, lateral-3: 1.3052, lateral-4: 1.3345, lateral-5: 1.4196, epsilon: 350.3931]
2025-10-24 12:43:48.064149 Epoch [016/100], Step [0002/0002], [lateral-edge: 0.7587, lateral-2: 1.2819, lateral-3: 1.2788, lateral-4: 1.3229, lateral-5: 1.4090, epsilon: 368.3956]
2025-10-24 12:43:53.681981 Epoch [017/100], Step [0002/0002], [lateral-edge: 0.7586, lateral-2: 1.2521, lateral-3: 1.2590, lateral-4: 1.3015, lateral-5: 1.3962, epsilon: 386.2490]
2025-10-24 12:43:59.679050 Epoch [018/100], Step [0002/0002], [lateral-edge: 0.7593, lateral-2: 1.2416, lateral-3: 1.2578, lateral-4: 1.2972, lateral-5: 1.3904, epsilon: 403.9671]
2025-10-24 12:44:06.572570 Epoch [019/100], Step [0002/0002], [lateral-edge: 0.7586, lateral-2: 1.2484, lateral-3: 1.2599, lateral-4: 1.2980, lateral-5: 1.3935, epsilon: 421.5605]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_32/run_2/Inf-Net-20.pth
2025-10-24 12:44:12.981924 Epoch [020/100], Step [0002/0002], [lateral-edge: 0.7578, lateral-2: 1.2282, lateral-3: 1.2391, lateral-4: 1.2875, lateral-5: 1.3881, epsilon: 439.0394]
2025-10-24 12:44:19.301319 Epoch [021/100], Step [0002/0002], [lateral-edge: 0.7585, lateral-2: 1.2112, lateral-3: 1.2238, lateral-4: 1.2753, lateral-5: 1.3841, epsilon: 456.4119]
2025-10-24 12:44:26.240056 Epoch [022/100], Step [0002/0002], [lateral-edge: 0.7571, lateral-2: 1.2132, lateral-3: 1.2343, lateral-4: 1.2740, lateral-5: 1.3709, epsilon: 473.6866]
2025-10-24 12:44:32.677805 Epoch [023/100], Step [0002/0002], [lateral-edge: 0.7561, lateral-2: 1.1939, lateral-3: 1.2127, lateral-4: 1.2596, lateral-5: 1.3707, epsilon: 490.8692]
2025-10-24 12:44:39.606664 Epoch [024/100], Step [0002/0002], [lateral-edge: 0.7556, lateral-2: 1.1790, lateral-3: 1.1924, lateral-4: 1.2460, lateral-5: 1.3572, epsilon: 507.9661]
2025-10-24 12:44:46.806808 Epoch [025/100], Step [0002/0002], [lateral-edge: 0.7550, lateral-2: 1.1732, lateral-3: 1.1952, lateral-4: 1.2452, lateral-5: 1.3514, epsilon: 524.9827]
2025-10-24 12:44:52.698911 Epoch [026/100], Step [0002/0002], [lateral-edge: 0.7558, lateral-2: 1.1782, lateral-3: 1.2068, lateral-4: 1.2516, lateral-5: 1.3410, epsilon: 541.9237]
2025-10-24 12:45:01.811959 Epoch [027/100], Step [0002/0002], [lateral-edge: 0.7546, lateral-2: 1.1565, lateral-3: 1.1797, lateral-4: 1.2346, lateral-5: 1.3443, epsilon: 558.7934]
2025-10-24 12:45:09.365872 Epoch [028/100], Step [0002/0002], [lateral-edge: 0.7548, lateral-2: 1.1431, lateral-3: 1.1626, lateral-4: 1.2200, lateral-5: 1.3382, epsilon: 575.5961]
2025-10-24 12:45:18.393419 Epoch [029/100], Step [0002/0002], [lateral-edge: 0.7554, lateral-2: 1.1315, lateral-3: 1.1618, lateral-4: 1.2122, lateral-5: 1.3270, epsilon: 592.3350]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_32/run_2/Inf-Net-30.pth
2025-10-24 12:45:29.676091 Epoch [030/100], Step [0002/0002], [lateral-edge: 0.7539, lateral-2: 1.1517, lateral-3: 1.1740, lateral-4: 1.2319, lateral-5: 1.3353, epsilon: 609.0136]
2025-10-24 12:45:38.042558 Epoch [031/100], Step [0002/0002], [lateral-edge: 0.7534, lateral-2: 1.1154, lateral-3: 1.1409, lateral-4: 1.2075, lateral-5: 1.3210, epsilon: 625.6347]
2025-10-24 12:45:45.831223 Epoch [032/100], Step [0002/0002], [lateral-edge: 0.7519, lateral-2: 1.0972, lateral-3: 1.1328, lateral-4: 1.1995, lateral-5: 1.3180, epsilon: 642.2014]
2025-10-24 12:45:54.434824 Epoch [033/100], Step [0002/0002], [lateral-edge: 0.7525, lateral-2: 1.1361, lateral-3: 1.1629, lateral-4: 1.2175, lateral-5: 1.3202, epsilon: 658.7160]
2025-10-24 12:46:03.542669 Epoch [034/100], Step [0002/0002], [lateral-edge: 0.7531, lateral-2: 1.0977, lateral-3: 1.1278, lateral-4: 1.1848, lateral-5: 1.2993, epsilon: 675.1813]
2025-10-24 12:46:12.298215 Epoch [035/100], Step [0002/0002], [lateral-edge: 0.7508, lateral-2: 1.0849, lateral-3: 1.1232, lateral-4: 1.1970, lateral-5: 1.3076, epsilon: 691.5986]
2025-10-24 12:46:24.566366 Epoch [036/100], Step [0002/0002], [lateral-edge: 0.7515, lateral-2: 1.1129, lateral-3: 1.1436, lateral-4: 1.2032, lateral-5: 1.3080, epsilon: 707.9710]
2025-10-24 12:46:33.962157 Epoch [037/100], Step [0002/0002], [lateral-edge: 0.7508, lateral-2: 1.0849, lateral-3: 1.1153, lateral-4: 1.1891, lateral-5: 1.2963, epsilon: inf]
2025-10-24 12:46:43.957031 Epoch [038/100], Step [0002/0002], [lateral-edge: 0.7502, lateral-2: 1.0870, lateral-3: 1.1245, lateral-4: 1.1888, lateral-5: 1.2938, epsilon: inf]
