Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: close
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_64/run_2/noise_multiplier_0.3
Run: 2
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_privacy=True, noise_multiplier=0.3, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 14:12:31.475179 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7776, lateral-2: 1.5328, lateral-3: 1.5471, lateral-4: 1.5405, lateral-5: 1.5412, epsilon: 40.5547]
2025-10-24 14:12:34.684221 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7765, lateral-2: 1.5107, lateral-3: 1.4925, lateral-4: 1.4716, lateral-5: 1.5255, epsilon: 67.3649]
2025-10-24 14:12:37.922165 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7754, lateral-2: 1.4892, lateral-3: 1.4638, lateral-4: 1.4470, lateral-5: 1.5134, epsilon: 91.8295]
2025-10-24 14:12:41.258152 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7740, lateral-2: 1.4651, lateral-3: 1.4376, lateral-4: 1.4262, lateral-5: 1.5030, epsilon: 115.0760]
2025-10-24 14:12:44.646000 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7725, lateral-2: 1.4416, lateral-3: 1.4172, lateral-4: 1.4104, lateral-5: 1.4937, epsilon: 137.5426]
2025-10-24 14:12:48.046701 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7710, lateral-2: 1.4186, lateral-3: 1.3991, lateral-4: 1.3973, lateral-5: 1.4849, epsilon: 159.4546]
2025-10-24 14:12:51.579829 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7695, lateral-2: 1.3958, lateral-3: 1.3807, lateral-4: 1.3852, lateral-5: 1.4764, epsilon: 180.9461]
2025-10-24 14:12:55.179994 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7681, lateral-2: 1.3734, lateral-3: 1.3627, lateral-4: 1.3742, lateral-5: 1.4682, epsilon: 202.1045]
2025-10-24 14:12:58.670494 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7669, lateral-2: 1.3510, lateral-3: 1.3457, lateral-4: 1.3641, lateral-5: 1.4603, epsilon: 222.9906]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_64/run_2/noise_multiplier_0.3/Inf-Net-10.pth
2025-10-24 14:13:02.558050 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7656, lateral-2: 1.3292, lateral-3: 1.3300, lateral-4: 1.3539, lateral-5: 1.4524, epsilon: 243.6485]
2025-10-24 14:13:06.010091 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7645, lateral-2: 1.3083, lateral-3: 1.3156, lateral-4: 1.3421, lateral-5: 1.4444, epsilon: 264.1117]
2025-10-24 14:13:09.996166 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7633, lateral-2: 1.2885, lateral-3: 1.3019, lateral-4: 1.3292, lateral-5: 1.4363, epsilon: 284.4063]
2025-10-24 14:13:14.275535 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7622, lateral-2: 1.2705, lateral-3: 1.2888, lateral-4: 1.3163, lateral-5: 1.4286, epsilon: 304.5528]
2025-10-24 14:13:18.411455 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7612, lateral-2: 1.2540, lateral-3: 1.2758, lateral-4: 1.3039, lateral-5: 1.4211, epsilon: 324.5681]
2025-10-24 14:13:22.810258 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7603, lateral-2: 1.2392, lateral-3: 1.2630, lateral-4: 1.2925, lateral-5: 1.4137, epsilon: 344.4660]
2025-10-24 14:13:27.332004 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7595, lateral-2: 1.2255, lateral-3: 1.2506, lateral-4: 1.2820, lateral-5: 1.4064, epsilon: 364.2579]
2025-10-24 14:13:31.000940 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7588, lateral-2: 1.2128, lateral-3: 1.2387, lateral-4: 1.2723, lateral-5: 1.3995, epsilon: 383.9538]
2025-10-24 14:13:34.833064 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7582, lateral-2: 1.2003, lateral-3: 1.2275, lateral-4: 1.2629, lateral-5: 1.3928, epsilon: 403.5620]
2025-10-24 14:13:39.440168 Epoch [019/100], Step [0001/0001], [lateral-edge: 0.7577, lateral-2: 1.1883, lateral-3: 1.2169, lateral-4: 1.2538, lateral-5: 1.3866, epsilon: 423.0896]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_64/run_2/noise_multiplier_0.3/Inf-Net-20.pth
2025-10-24 14:13:44.575113 Epoch [020/100], Step [0001/0001], [lateral-edge: 0.7572, lateral-2: 1.1766, lateral-3: 1.2067, lateral-4: 1.2452, lateral-5: 1.3805, epsilon: 442.5429]
2025-10-24 14:13:49.592881 Epoch [021/100], Step [0001/0001], [lateral-edge: 0.7568, lateral-2: 1.1657, lateral-3: 1.1969, lateral-4: 1.2371, lateral-5: 1.3747, epsilon: 461.9275]
2025-10-24 14:13:54.011997 Epoch [022/100], Step [0001/0001], [lateral-edge: 0.7564, lateral-2: 1.1554, lateral-3: 1.1876, lateral-4: 1.2300, lateral-5: 1.3689, epsilon: 481.2481]
2025-10-24 14:13:58.341674 Epoch [023/100], Step [0001/0001], [lateral-edge: 0.7560, lateral-2: 1.1455, lateral-3: 1.1787, lateral-4: 1.2235, lateral-5: 1.3634, epsilon: 500.5092]
2025-10-24 14:14:02.918631 Epoch [024/100], Step [0001/0001], [lateral-edge: 0.7556, lateral-2: 1.1359, lateral-3: 1.1703, lateral-4: 1.2171, lateral-5: 1.3578, epsilon: 519.7144]
2025-10-24 14:14:10.167975 Epoch [025/100], Step [0001/0001], [lateral-edge: 0.7551, lateral-2: 1.1269, lateral-3: 1.1625, lateral-4: 1.2107, lateral-5: 1.3524, epsilon: 538.8674]
2025-10-24 14:14:15.935808 Epoch [026/100], Step [0001/0001], [lateral-edge: 0.7547, lateral-2: 1.1185, lateral-3: 1.1550, lateral-4: 1.2046, lateral-5: 1.3470, epsilon: 557.9712]
2025-10-24 14:14:20.612294 Epoch [027/100], Step [0001/0001], [lateral-edge: 0.7544, lateral-2: 1.1106, lateral-3: 1.1481, lateral-4: 1.1988, lateral-5: 1.3414, epsilon: 577.0286]
2025-10-24 14:14:26.377051 Epoch [028/100], Step [0001/0001], [lateral-edge: 0.7540, lateral-2: 1.1033, lateral-3: 1.1416, lateral-4: 1.1933, lateral-5: 1.3358, epsilon: 596.0421]
2025-10-24 14:14:32.424396 Epoch [029/100], Step [0001/0001], [lateral-edge: 0.7537, lateral-2: 1.0962, lateral-3: 1.1355, lateral-4: 1.1884, lateral-5: 1.3303, epsilon: 615.0142]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_64/run_2/noise_multiplier_0.3/Inf-Net-30.pth
2025-10-24 14:14:39.236506 Epoch [030/100], Step [0001/0001], [lateral-edge: 0.7534, lateral-2: 1.0894, lateral-3: 1.1297, lateral-4: 1.1834, lateral-5: 1.3248, epsilon: 633.9468]
2025-10-24 14:14:46.482849 Epoch [031/100], Step [0001/0001], [lateral-edge: 0.7531, lateral-2: 1.0828, lateral-3: 1.1240, lateral-4: 1.1787, lateral-5: 1.3195, epsilon: 652.8420]
2025-10-24 14:14:53.392160 Epoch [032/100], Step [0001/0001], [lateral-edge: 0.7528, lateral-2: 1.0763, lateral-3: 1.1186, lateral-4: 1.1739, lateral-5: 1.3142, epsilon: 671.7016]
2025-10-24 14:15:00.502488 Epoch [033/100], Step [0001/0001], [lateral-edge: 0.7526, lateral-2: 1.0702, lateral-3: 1.1134, lateral-4: 1.1694, lateral-5: 1.3089, epsilon: 690.5272]
2025-10-24 14:15:07.857802 Epoch [034/100], Step [0001/0001], [lateral-edge: 0.7523, lateral-2: 1.0643, lateral-3: 1.1084, lateral-4: 1.1649, lateral-5: 1.3034, epsilon: 709.3204]
