Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 128
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: dilation
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/dilation/batch_128/run_2/noise_multiplier_1.5
Run: 2
Namespace(epoch=100, lr=0.0001, batchsize=128, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_privacy=True, noise_multiplier=1.5, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='dilation', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 13:47:20.931131 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7754, lateral-2: 1.7505, lateral-3: 1.6677, lateral-4: 1.5998, lateral-5: 1.5301, epsilon: 5.1851]
2025-10-24 13:47:24.041351 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7757, lateral-2: 1.7088, lateral-3: 1.6264, lateral-4: 1.5640, lateral-5: 1.5285, epsilon: 7.8193]
2025-10-24 13:47:27.093972 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7759, lateral-2: 1.6868, lateral-3: 1.6017, lateral-4: 1.5385, lateral-5: 1.5261, epsilon: 10.0077]
2025-10-24 13:47:30.385036 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7761, lateral-2: 1.6744, lateral-3: 1.5877, lateral-4: 1.5222, lateral-5: 1.5242, epsilon: 11.9630]
2025-10-24 13:47:33.477178 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7762, lateral-2: 1.6636, lateral-3: 1.5772, lateral-4: 1.5109, lateral-5: 1.5227, epsilon: 13.7684]
2025-10-24 13:47:36.554173 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7762, lateral-2: 1.6520, lateral-3: 1.5672, lateral-4: 1.5017, lateral-5: 1.5215, epsilon: 15.4668]
2025-10-24 13:47:39.657873 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7762, lateral-2: 1.6401, lateral-3: 1.5574, lateral-4: 1.4945, lateral-5: 1.5203, epsilon: 17.0838]
2025-10-24 13:47:42.777628 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7761, lateral-2: 1.6283, lateral-3: 1.5480, lateral-4: 1.4885, lateral-5: 1.5190, epsilon: 18.6363]
2025-10-24 13:47:46.074976 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7759, lateral-2: 1.6173, lateral-3: 1.5394, lateral-4: 1.4837, lateral-5: 1.5178, epsilon: 20.1358]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/dilation/batch_128/run_2/noise_multiplier_1.5/Inf-Net-10.pth
2025-10-24 13:47:49.372868 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7758, lateral-2: 1.6075, lateral-3: 1.5319, lateral-4: 1.4797, lateral-5: 1.5167, epsilon: 21.5910]
