Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: dilation
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/dilation/batch_64/run_2/noise_multiplier_0.05
Run: 2
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_privacy=True, noise_multiplier=0.05, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='dilation', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 13:45:54.360525 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7689, lateral-2: 1.6561, lateral-3: 1.6086, lateral-4: 1.5874, lateral-5: 1.5709, epsilon: inf]
2025-10-24 13:45:59.063103 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7678, lateral-2: 1.4838, lateral-3: 1.4631, lateral-4: 1.4724, lateral-5: 1.5169, epsilon: inf]
2025-10-24 13:46:04.554060 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7665, lateral-2: 1.3772, lateral-3: 1.3844, lateral-4: 1.4118, lateral-5: 1.4739, epsilon: inf]
2025-10-24 13:46:11.899055 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7651, lateral-2: 1.2840, lateral-3: 1.3173, lateral-4: 1.3547, lateral-5: 1.4297, epsilon: inf]
2025-10-24 13:46:20.390494 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7636, lateral-2: 1.2099, lateral-3: 1.2591, lateral-4: 1.3099, lateral-5: 1.3860, epsilon: inf]
2025-10-24 13:46:31.149092 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7623, lateral-2: 1.1533, lateral-3: 1.2092, lateral-4: 1.2676, lateral-5: 1.3400, epsilon: inf]
2025-10-24 13:46:44.310474 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7610, lateral-2: 1.1101, lateral-3: 1.1699, lateral-4: 1.2311, lateral-5: 1.2948, epsilon: inf]
2025-10-24 13:47:12.131784 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7597, lateral-2: 1.0794, lateral-3: 1.1406, lateral-4: 1.2040, lateral-5: 1.2570, epsilon: inf]
2025-10-24 13:47:29.269842 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7585, lateral-2: 1.0582, lateral-3: 1.1199, lateral-4: 1.1856, lateral-5: 1.2278, epsilon: inf]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/dilation/batch_64/run_2/noise_multiplier_0.05/Inf-Net-10.pth
2025-10-24 13:47:49.904377 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7574, lateral-2: 1.0410, lateral-3: 1.1032, lateral-4: 1.1702, lateral-5: 1.2030, epsilon: inf]
2025-10-24 13:48:14.392002 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7564, lateral-2: 1.0248, lateral-3: 1.0859, lateral-4: 1.1549, lateral-5: 1.1818, epsilon: inf]
2025-10-24 13:48:41.158592 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7555, lateral-2: 1.0101, lateral-3: 1.0685, lateral-4: 1.1420, lateral-5: 1.1649, epsilon: inf]
2025-10-24 13:49:18.863806 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7546, lateral-2: 0.9960, lateral-3: 1.0529, lateral-4: 1.1300, lateral-5: 1.1498, epsilon: inf]
2025-10-24 13:49:52.027498 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7538, lateral-2: 0.9819, lateral-3: 1.0388, lateral-4: 1.1165, lateral-5: 1.1331, epsilon: inf]
2025-10-24 13:50:29.598642 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7530, lateral-2: 0.9683, lateral-3: 1.0247, lateral-4: 1.1020, lateral-5: 1.1167, epsilon: inf]
2025-10-24 13:51:11.360219 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7522, lateral-2: 0.9556, lateral-3: 1.0108, lateral-4: 1.0880, lateral-5: 1.1026, epsilon: inf]
2025-10-24 13:51:51.981599 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7514, lateral-2: 0.9430, lateral-3: 0.9972, lateral-4: 1.0749, lateral-5: 1.0892, epsilon: inf]
2025-10-24 13:52:41.022039 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7506, lateral-2: 0.9302, lateral-3: 0.9841, lateral-4: 1.0621, lateral-5: 1.0762, epsilon: inf]
Training completed at Fri Oct 24 13:53:08 CEST 2025
