Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: erosion
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/erosion/batch_64/run_2/noise_multiplier_0.05
Run: 2
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_privacy=True, noise_multiplier=0.05, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='erosion', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 13:31:30.673754 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7646, lateral-2: 1.5400, lateral-3: 1.5605, lateral-4: 1.5415, lateral-5: 1.5279, epsilon: inf]
2025-10-24 13:31:35.120644 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7635, lateral-2: 1.4021, lateral-3: 1.4159, lateral-4: 1.4382, lateral-5: 1.4653, epsilon: inf]
2025-10-24 13:31:40.566624 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7625, lateral-2: 1.3322, lateral-3: 1.3668, lateral-4: 1.3885, lateral-5: 1.4274, epsilon: inf]
2025-10-24 13:31:47.570181 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7614, lateral-2: 1.2657, lateral-3: 1.3114, lateral-4: 1.3526, lateral-5: 1.3884, epsilon: inf]
2025-10-24 13:31:55.087716 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7605, lateral-2: 1.2145, lateral-3: 1.2594, lateral-4: 1.3175, lateral-5: 1.3524, epsilon: inf]
2025-10-24 13:32:04.949441 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7597, lateral-2: 1.1711, lateral-3: 1.2154, lateral-4: 1.2793, lateral-5: 1.3225, epsilon: inf]
2025-10-24 13:32:16.299854 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7589, lateral-2: 1.1319, lateral-3: 1.1800, lateral-4: 1.2442, lateral-5: 1.2995, epsilon: inf]
2025-10-24 13:32:38.154538 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7582, lateral-2: 1.0983, lateral-3: 1.1520, lateral-4: 1.2179, lateral-5: 1.2777, epsilon: inf]
2025-10-24 13:32:53.798809 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7575, lateral-2: 1.0701, lateral-3: 1.1286, lateral-4: 1.1986, lateral-5: 1.2509, epsilon: inf]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/erosion/batch_64/run_2/noise_multiplier_0.05/Inf-Net-10.pth
2025-10-24 13:33:12.988887 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7568, lateral-2: 1.0465, lateral-3: 1.1093, lateral-4: 1.1822, lateral-5: 1.2220, epsilon: inf]
2025-10-24 13:33:34.009973 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7561, lateral-2: 1.0275, lateral-3: 1.0930, lateral-4: 1.1671, lateral-5: 1.1983, epsilon: inf]
2025-10-24 13:33:56.413213 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7556, lateral-2: 1.0124, lateral-3: 1.0776, lateral-4: 1.1515, lateral-5: 1.1802, epsilon: inf]
2025-10-24 13:34:26.848307 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7550, lateral-2: 0.9986, lateral-3: 1.0628, lateral-4: 1.1366, lateral-5: 1.1643, epsilon: inf]
2025-10-24 13:34:54.887562 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7544, lateral-2: 0.9841, lateral-3: 1.0485, lateral-4: 1.1233, lateral-5: 1.1471, epsilon: inf]
2025-10-24 13:35:27.664705 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7537, lateral-2: 0.9700, lateral-3: 1.0346, lateral-4: 1.1110, lateral-5: 1.1294, epsilon: inf]
2025-10-24 13:36:02.208902 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7531, lateral-2: 0.9573, lateral-3: 1.0215, lateral-4: 1.0992, lateral-5: 1.1148, epsilon: inf]
2025-10-24 13:36:34.541913 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7524, lateral-2: 0.9455, lateral-3: 1.0090, lateral-4: 1.0873, lateral-5: 1.1018, epsilon: inf]
2025-10-24 13:37:16.995527 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7518, lateral-2: 0.9339, lateral-3: 0.9969, lateral-4: 1.0759, lateral-5: 1.0882, epsilon: inf]
Training completed at Fri Oct 24 13:37:39 CEST 2025
