Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 32
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: erosion
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/erosion/batch_32/run_3/noise_multiplier_0.3
Run: 3
Namespace(epoch=100, lr=0.0001, batchsize=32, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=3, enable_privacy=True, noise_multiplier=0.3, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='erosion', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 13:30:07.125027 Epoch [001/100], Step [0002/0002], [lateral-edge: 0.7789, lateral-2: 1.5915, lateral-3: 1.5538, lateral-4: 1.5540, lateral-5: 1.5264, epsilon: 54.8910]
2025-10-24 13:30:12.223627 Epoch [002/100], Step [0002/0002], [lateral-edge: 0.7797, lateral-2: 1.5558, lateral-3: 1.5241, lateral-4: 1.5296, lateral-5: 1.5189, epsilon: 84.8094]
2025-10-24 13:30:16.894227 Epoch [003/100], Step [0002/0002], [lateral-edge: 0.7781, lateral-2: 1.5055, lateral-3: 1.4899, lateral-4: 1.4960, lateral-5: 1.5008, epsilon: 110.4391]
2025-10-24 13:30:21.155336 Epoch [004/100], Step [0002/0002], [lateral-edge: 0.7754, lateral-2: 1.4452, lateral-3: 1.4367, lateral-4: 1.4309, lateral-5: 1.4604, epsilon: 133.9877]
2025-10-24 13:30:26.229704 Epoch [005/100], Step [0002/0002], [lateral-edge: 0.7739, lateral-2: 1.4138, lateral-3: 1.4157, lateral-4: 1.4128, lateral-5: 1.4499, epsilon: 156.2438]
2025-10-24 13:30:30.976921 Epoch [006/100], Step [0002/0002], [lateral-edge: 0.7758, lateral-2: 1.4099, lateral-3: 1.4225, lateral-4: 1.4317, lateral-5: 1.4518, epsilon: 177.5980]
2025-10-24 13:30:35.700541 Epoch [007/100], Step [0002/0002], [lateral-edge: 0.7764, lateral-2: 1.3862, lateral-3: 1.4034, lateral-4: 1.4197, lateral-5: 1.4410, epsilon: 198.2751]
2025-10-24 13:30:40.613947 Epoch [008/100], Step [0002/0002], [lateral-edge: 0.7735, lateral-2: 1.3834, lateral-3: 1.4019, lateral-4: 1.4270, lateral-5: 1.4402, epsilon: 218.4212]
2025-10-24 13:30:46.134969 Epoch [009/100], Step [0002/0002], [lateral-edge: 0.7722, lateral-2: 1.3379, lateral-3: 1.3657, lateral-4: 1.3867, lateral-5: 1.4233, epsilon: 238.1356]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/erosion/batch_32/run_3/noise_multiplier_0.3/Inf-Net-10.pth
2025-10-24 13:30:51.175695 Epoch [010/100], Step [0002/0002], [lateral-edge: 0.7718, lateral-2: 1.3270, lateral-3: 1.3605, lateral-4: 1.3781, lateral-5: 1.4148, epsilon: 257.4901]
2025-10-24 13:30:56.526661 Epoch [011/100], Step [0002/0002], [lateral-edge: 0.7697, lateral-2: 1.3037, lateral-3: 1.3416, lateral-4: 1.3553, lateral-5: 1.4082, epsilon: 276.5388]
2025-10-24 13:31:01.087496 Epoch [012/100], Step [0002/0002], [lateral-edge: 0.7676, lateral-2: 1.2845, lateral-3: 1.3276, lateral-4: 1.3399, lateral-5: 1.3955, epsilon: 295.3234]
2025-10-24 13:31:06.491060 Epoch [013/100], Step [0002/0002], [lateral-edge: 0.7672, lateral-2: 1.2711, lateral-3: 1.3103, lateral-4: 1.3282, lateral-5: 1.3847, epsilon: 313.8771]
2025-10-24 13:31:13.360200 Epoch [014/100], Step [0002/0002], [lateral-edge: 0.7683, lateral-2: 1.2725, lateral-3: 1.3054, lateral-4: 1.3314, lateral-5: 1.3834, epsilon: 332.2264]
2025-10-24 13:31:19.362055 Epoch [015/100], Step [0002/0002], [lateral-edge: 0.7682, lateral-2: 1.2405, lateral-3: 1.2857, lateral-4: 1.3181, lateral-5: 1.3600, epsilon: 350.3931]
2025-10-24 13:31:25.788330 Epoch [016/100], Step [0002/0002], [lateral-edge: 0.7662, lateral-2: 1.2107, lateral-3: 1.2628, lateral-4: 1.2916, lateral-5: 1.3516, epsilon: 368.3956]
2025-10-24 13:31:33.227912 Epoch [017/100], Step [0002/0002], [lateral-edge: 0.7646, lateral-2: 1.2212, lateral-3: 1.2672, lateral-4: 1.2940, lateral-5: 1.3598, epsilon: 386.2490]
2025-10-24 13:31:39.876570 Epoch [018/100], Step [0002/0002], [lateral-edge: 0.7638, lateral-2: 1.1933, lateral-3: 1.2428, lateral-4: 1.2761, lateral-5: 1.3415, epsilon: 403.9671]
2025-10-24 13:31:48.020145 Epoch [019/100], Step [0002/0002], [lateral-edge: 0.7640, lateral-2: 1.1871, lateral-3: 1.2294, lateral-4: 1.2652, lateral-5: 1.3399, epsilon: 421.5605]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/erosion/batch_32/run_3/noise_multiplier_0.3/Inf-Net-20.pth
2025-10-24 13:31:56.831070 Epoch [020/100], Step [0002/0002], [lateral-edge: 0.7630, lateral-2: 1.1721, lateral-3: 1.2181, lateral-4: 1.2604, lateral-5: 1.3304, epsilon: 439.0394]
2025-10-24 13:32:04.405797 Epoch [021/100], Step [0002/0002], [lateral-edge: 0.7619, lateral-2: 1.1672, lateral-3: 1.2134, lateral-4: 1.2507, lateral-5: 1.3401, epsilon: 456.4119]
2025-10-24 13:32:12.360672 Epoch [022/100], Step [0002/0002], [lateral-edge: 0.7597, lateral-2: 1.1446, lateral-3: 1.1974, lateral-4: 1.2380, lateral-5: 1.3180, epsilon: 473.6866]
2025-10-24 13:32:20.772327 Epoch [023/100], Step [0002/0002], [lateral-edge: 0.7605, lateral-2: 1.1386, lateral-3: 1.1861, lateral-4: 1.2269, lateral-5: 1.3119, epsilon: 490.8692]
2025-10-24 13:32:29.382068 Epoch [024/100], Step [0002/0002], [lateral-edge: 0.7605, lateral-2: 1.1373, lateral-3: 1.1836, lateral-4: 1.2271, lateral-5: 1.3135, epsilon: 507.9661]
2025-10-24 13:32:37.627241 Epoch [025/100], Step [0002/0002], [lateral-edge: 0.7579, lateral-2: 1.1316, lateral-3: 1.1727, lateral-4: 1.2205, lateral-5: 1.3148, epsilon: 524.9827]
2025-10-24 13:32:44.410368 Epoch [026/100], Step [0002/0002], [lateral-edge: 0.7579, lateral-2: 1.1249, lateral-3: 1.1614, lateral-4: 1.2098, lateral-5: 1.3064, epsilon: 541.9237]
2025-10-24 13:32:54.918356 Epoch [027/100], Step [0002/0002], [lateral-edge: 0.7568, lateral-2: 1.1356, lateral-3: 1.1743, lateral-4: 1.2219, lateral-5: 1.3062, epsilon: 558.7934]
2025-10-24 13:33:04.013031 Epoch [028/100], Step [0002/0002], [lateral-edge: 0.7581, lateral-2: 1.0960, lateral-3: 1.1385, lateral-4: 1.1922, lateral-5: 1.2854, epsilon: 575.5961]
2025-10-24 13:33:16.261362 Epoch [029/100], Step [0002/0002], [lateral-edge: 0.7577, lateral-2: 1.1215, lateral-3: 1.1562, lateral-4: 1.2053, lateral-5: 1.2854, epsilon: 592.3350]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/erosion/batch_32/run_3/noise_multiplier_0.3/Inf-Net-30.pth
2025-10-24 13:33:34.733887 Epoch [030/100], Step [0002/0002], [lateral-edge: 0.7563, lateral-2: 1.0989, lateral-3: 1.1494, lateral-4: 1.2009, lateral-5: 1.2904, epsilon: 609.0136]
2025-10-24 13:33:44.611067 Epoch [031/100], Step [0002/0002], [lateral-edge: 0.7566, lateral-2: 1.0958, lateral-3: 1.1397, lateral-4: 1.1892, lateral-5: 1.2878, epsilon: 625.6347]
2025-10-24 13:33:54.061973 Epoch [032/100], Step [0002/0002], [lateral-edge: 0.7548, lateral-2: 1.1118, lateral-3: 1.1536, lateral-4: 1.1998, lateral-5: 1.2950, epsilon: 642.2014]
