Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 32
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: open
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/open/batch_32/run_1/noise_multiplier_0.3
Run: 1
Namespace(epoch=100, lr=0.0001, batchsize=32, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=1, enable_privacy=True, noise_multiplier=0.3, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='open', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 13:36:48.639399 Epoch [001/100], Step [0002/0002], [lateral-edge: 0.7757, lateral-2: 1.6749, lateral-3: 1.6329, lateral-4: 1.5669, lateral-5: 1.5316, epsilon: 54.8910]
2025-10-24 13:36:53.316484 Epoch [002/100], Step [0002/0002], [lateral-edge: 0.7739, lateral-2: 1.6163, lateral-3: 1.5836, lateral-4: 1.5520, lateral-5: 1.5433, epsilon: 84.8094]
2025-10-24 13:36:57.647830 Epoch [003/100], Step [0002/0002], [lateral-edge: 0.7703, lateral-2: 1.5406, lateral-3: 1.5061, lateral-4: 1.4911, lateral-5: 1.5087, epsilon: 110.4391]
2025-10-24 13:37:02.626581 Epoch [004/100], Step [0002/0002], [lateral-edge: 0.7712, lateral-2: 1.5289, lateral-3: 1.4981, lateral-4: 1.4917, lateral-5: 1.5147, epsilon: 133.9877]
2025-10-24 13:37:06.805072 Epoch [005/100], Step [0002/0002], [lateral-edge: 0.7690, lateral-2: 1.4955, lateral-3: 1.4730, lateral-4: 1.4601, lateral-5: 1.4981, epsilon: 156.2438]
2025-10-24 13:37:11.802798 Epoch [006/100], Step [0002/0002], [lateral-edge: 0.7696, lateral-2: 1.4715, lateral-3: 1.4543, lateral-4: 1.4549, lateral-5: 1.4925, epsilon: 177.5980]
2025-10-24 13:37:17.335453 Epoch [007/100], Step [0002/0002], [lateral-edge: 0.7679, lateral-2: 1.4680, lateral-3: 1.4622, lateral-4: 1.4730, lateral-5: 1.4960, epsilon: 198.2751]
2025-10-24 13:37:21.910079 Epoch [008/100], Step [0002/0002], [lateral-edge: 0.7641, lateral-2: 1.4119, lateral-3: 1.4208, lateral-4: 1.4269, lateral-5: 1.4735, epsilon: 218.4212]
2025-10-24 13:37:26.573125 Epoch [009/100], Step [0002/0002], [lateral-edge: 0.7639, lateral-2: 1.3902, lateral-3: 1.4019, lateral-4: 1.3988, lateral-5: 1.4617, epsilon: 238.1356]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/open/batch_32/run_1/noise_multiplier_0.3/Inf-Net-10.pth
2025-10-24 13:37:31.619988 Epoch [010/100], Step [0002/0002], [lateral-edge: 0.7637, lateral-2: 1.3905, lateral-3: 1.3911, lateral-4: 1.4114, lateral-5: 1.4593, epsilon: 257.4901]
