Backbone loading: Res2Net50
Not loading weights from weights file
################################################## 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 72
Morphology: both
Save Path: ./Snapshots/save_weights/Inf-Net_Morph/both/batch_72/run_1
Run: 1
Namespace(epoch=70, lr=0.0001, batchsize=72, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=1, enable_morphology=True, morph_operation='both', morph_kernel_size=3, device='cuda')
 ##################################################
2025-10-26 21:58:40.685969 Epoch [001/070], Step [0001/0001], [lateral-edge: 0.7614, lateral-2: 1.5753, lateral-3: 1.6219, lateral-4: 1.5646, lateral-5: 1.5237]
2025-10-26 21:58:42.307605 Epoch [002/070], Step [0001/0001], [lateral-edge: 0.7542, lateral-2: 1.4546, lateral-3: 1.4689, lateral-4: 1.4918, lateral-5: 1.5226]
2025-10-26 21:58:43.957511 Epoch [003/070], Step [0001/0001], [lateral-edge: 0.7505, lateral-2: 1.3988, lateral-3: 1.4250, lateral-4: 1.4782, lateral-5: 1.5174]
2025-10-26 21:58:45.629140 Epoch [004/070], Step [0001/0001], [lateral-edge: 0.7476, lateral-2: 1.3803, lateral-3: 1.4042, lateral-4: 1.4530, lateral-5: 1.5134]
2025-10-26 21:58:47.294171 Epoch [005/070], Step [0001/0001], [lateral-edge: 0.7458, lateral-2: 1.3625, lateral-3: 1.3824, lateral-4: 1.4270, lateral-5: 1.5056]
2025-10-26 21:58:48.930712 Epoch [006/070], Step [0001/0001], [lateral-edge: 0.7431, lateral-2: 1.3398, lateral-3: 1.3623, lateral-4: 1.4139, lateral-5: 1.5000]
2025-10-26 21:58:50.595164 Epoch [007/070], Step [0001/0001], [lateral-edge: 0.7405, lateral-2: 1.3161, lateral-3: 1.3379, lateral-4: 1.3904, lateral-5: 1.4872]
2025-10-26 21:58:52.280884 Epoch [008/070], Step [0001/0001], [lateral-edge: 0.7385, lateral-2: 1.2833, lateral-3: 1.2983, lateral-4: 1.3645, lateral-5: 1.4476]
2025-10-26 21:58:53.923168 Epoch [009/070], Step [0001/0001], [lateral-edge: 0.7370, lateral-2: 1.2213, lateral-3: 1.2447, lateral-4: 1.3310, lateral-5: 1.3968]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/both/batch_72/run_1/Inf-Net-10.pth
2025-10-26 21:58:55.729802 Epoch [010/070], Step [0001/0001], [lateral-edge: 0.7354, lateral-2: 1.1437, lateral-3: 1.1704, lateral-4: 1.2579, lateral-5: 1.3898]
