Backbone loading: Res2Net50
Not loading weights from weights file
################################################## 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Morphology: close
Save Path: ./Snapshots/save_weights/Inf-Net_Morph/batch_64/run_3
Run: 3
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=3, enable_morphology=True, morph_operation='close', morph_kernel_size=3, device='cuda')
 ##################################################
2025-10-23 17:22:12.242180 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7661, lateral-2: 1.6488, lateral-3: 1.6423, lateral-4: 1.6085, lateral-5: 1.5363]
2025-10-23 17:22:13.978118 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7594, lateral-2: 1.4758, lateral-3: 1.4883, lateral-4: 1.5198, lateral-5: 1.5402]
2025-10-23 17:22:15.735622 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7552, lateral-2: 1.4203, lateral-3: 1.4440, lateral-4: 1.4944, lateral-5: 1.5386]
2025-10-23 17:22:17.528394 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7514, lateral-2: 1.3949, lateral-3: 1.4255, lateral-4: 1.4728, lateral-5: 1.5225]
2025-10-23 17:22:19.298199 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7484, lateral-2: 1.3735, lateral-3: 1.4024, lateral-4: 1.4471, lateral-5: 1.5180]
2025-10-23 17:22:21.058500 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7463, lateral-2: 1.3526, lateral-3: 1.3774, lateral-4: 1.4328, lateral-5: 1.5132]
2025-10-23 17:22:22.831154 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7440, lateral-2: 1.3306, lateral-3: 1.3584, lateral-4: 1.4137, lateral-5: 1.5066]
2025-10-23 17:22:24.600645 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7419, lateral-2: 1.3073, lateral-3: 1.3359, lateral-4: 1.3946, lateral-5: 1.4915]
2025-10-23 17:22:26.389533 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7399, lateral-2: 1.2755, lateral-3: 1.3072, lateral-4: 1.3739, lateral-5: 1.4465]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_64/run_3/Inf-Net-10.pth
2025-10-23 17:22:28.327200 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7380, lateral-2: 1.2288, lateral-3: 1.2647, lateral-4: 1.3440, lateral-5: 1.4014]
2025-10-23 17:22:30.070094 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7365, lateral-2: 1.1575, lateral-3: 1.1937, lateral-4: 1.2765, lateral-5: 1.3844]
2025-10-23 17:22:31.824461 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7351, lateral-2: 1.0679, lateral-3: 1.1217, lateral-4: 1.2187, lateral-5: 1.4279]
2025-10-23 17:22:33.589416 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7339, lateral-2: 0.9902, lateral-3: 1.0468, lateral-4: 1.1432, lateral-5: 1.4612]
2025-10-23 17:22:35.373651 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7328, lateral-2: 0.9715, lateral-3: 1.0330, lateral-4: 1.1604, lateral-5: 1.5234]
2025-10-23 17:22:37.132594 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7317, lateral-2: 0.9108, lateral-3: 0.9757, lateral-4: 1.0780, lateral-5: 1.5483]
2025-10-23 17:22:38.857045 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7307, lateral-2: 0.8733, lateral-3: 0.9411, lateral-4: 1.0567, lateral-5: 1.5350]
2025-10-23 17:22:40.589751 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7297, lateral-2: 0.8453, lateral-3: 0.9141, lateral-4: 1.0195, lateral-5: 1.4919]
2025-10-23 17:22:42.317840 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7287, lateral-2: 0.8244, lateral-3: 0.8962, lateral-4: 1.0072, lateral-5: 1.4925]
