Backbone loading: Res2Net50
Not loading weights from weights file
################################################## 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Morphology: dilation
Save Path: ./Snapshots/save_weights/Inf-Net_Morph/batch_64/run_1
Run: 1
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=1, enable_morphology=True, morph_operation='dilation', morph_kernel_size=3, device='cuda')
 ##################################################
2025-10-23 17:22:12.283302 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7619, lateral-2: 1.5662, lateral-3: 1.5574, lateral-4: 1.5280, lateral-5: 1.5182]
2025-10-23 17:22:13.976157 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7562, lateral-2: 1.4532, lateral-3: 1.4675, lateral-4: 1.4794, lateral-5: 1.5060]
2025-10-23 17:22:15.674252 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7518, lateral-2: 1.4083, lateral-3: 1.4276, lateral-4: 1.4420, lateral-5: 1.4917]
2025-10-23 17:22:17.389515 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7493, lateral-2: 1.3805, lateral-3: 1.3932, lateral-4: 1.4122, lateral-5: 1.4642]
2025-10-23 17:22:19.078907 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7473, lateral-2: 1.3382, lateral-3: 1.3554, lateral-4: 1.3865, lateral-5: 1.4211]
2025-10-23 17:22:20.820294 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7441, lateral-2: 1.2855, lateral-3: 1.2910, lateral-4: 1.3528, lateral-5: 1.4085]
2025-10-23 17:22:22.507069 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7415, lateral-2: 1.2085, lateral-3: 1.2263, lateral-4: 1.2705, lateral-5: 1.4147]
2025-10-23 17:22:24.236149 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7393, lateral-2: 1.1216, lateral-3: 1.1798, lateral-4: 1.2053, lateral-5: 1.4554]
2025-10-23 17:22:25.960569 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7373, lateral-2: 1.0468, lateral-3: 1.0872, lateral-4: 1.1372, lateral-5: 1.5033]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_64/run_1/Inf-Net-10.pth
2025-10-23 17:22:27.881760 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7356, lateral-2: 0.9803, lateral-3: 1.0335, lateral-4: 1.0690, lateral-5: 1.5344]
2025-10-23 17:22:29.597451 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7340, lateral-2: 0.9347, lateral-3: 0.9899, lateral-4: 1.0448, lateral-5: 1.5555]
2025-10-23 17:22:31.308649 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7324, lateral-2: 0.9127, lateral-3: 0.9584, lateral-4: 1.0306, lateral-5: 1.5484]
2025-10-23 17:22:33.029808 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7312, lateral-2: 0.8827, lateral-3: 0.9428, lateral-4: 1.0169, lateral-5: 1.5328]
2025-10-23 17:22:34.774017 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7299, lateral-2: 0.8547, lateral-3: 0.9176, lateral-4: 0.9952, lateral-5: 1.5137]
2025-10-23 17:22:36.493789 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7287, lateral-2: 0.8410, lateral-3: 0.9037, lateral-4: 0.9860, lateral-5: 1.4815]
2025-10-23 17:22:38.217583 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7276, lateral-2: 0.8156, lateral-3: 0.8906, lateral-4: 0.9742, lateral-5: 1.4699]
2025-10-23 17:22:39.970680 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7266, lateral-2: 0.8070, lateral-3: 0.8727, lateral-4: 0.9633, lateral-5: 1.4446]
2025-10-23 17:22:41.706529 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7255, lateral-2: 0.7847, lateral-3: 0.8575, lateral-4: 0.9522, lateral-5: 1.4287]
2025-10-23 17:22:43.448079 Epoch [019/100], Step [0001/0001], [lateral-edge: 0.7245, lateral-2: 0.7668, lateral-3: 0.8386, lateral-4: 0.9359, lateral-5: 1.4033]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_64/run_1/Inf-Net-20.pth
2025-10-23 17:22:45.394098 Epoch [020/100], Step [0001/0001], [lateral-edge: 0.7235, lateral-2: 0.7493, lateral-3: 0.8260, lateral-4: 0.9252, lateral-5: 1.3869]
2025-10-23 17:22:47.106418 Epoch [021/100], Step [0001/0001], [lateral-edge: 0.7226, lateral-2: 0.7343, lateral-3: 0.8121, lateral-4: 0.9166, lateral-5: 1.3676]
2025-10-23 17:22:48.787614 Epoch [022/100], Step [0001/0001], [lateral-edge: 0.7217, lateral-2: 0.7168, lateral-3: 0.7970, lateral-4: 0.9029, lateral-5: 1.3492]
2025-10-23 17:22:50.533801 Epoch [023/100], Step [0001/0001], [lateral-edge: 0.7207, lateral-2: 0.7043, lateral-3: 0.7855, lateral-4: 0.8932, lateral-5: 1.3251]
2025-10-23 17:22:52.271078 Epoch [024/100], Step [0001/0001], [lateral-edge: 0.7198, lateral-2: 0.6915, lateral-3: 0.7737, lateral-4: 0.8836, lateral-5: 1.3064]
2025-10-23 17:22:53.971725 Epoch [025/100], Step [0001/0001], [lateral-edge: 0.7189, lateral-2: 0.6803, lateral-3: 0.7658, lateral-4: 0.8755, lateral-5: 1.2852]
2025-10-23 17:22:55.704585 Epoch [026/100], Step [0001/0001], [lateral-edge: 0.7181, lateral-2: 0.6687, lateral-3: 0.7543, lateral-4: 0.8672, lateral-5: 1.2739]
