Backbone loading: Res2Net50
Not loading weights from weights file
################################################## 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 72
Morphology: dilation
Save Path: ./Snapshots/save_weights/Inf-Net_Morph/dilation/batch_72/run_2
Run: 2
Namespace(epoch=70, lr=0.0001, batchsize=72, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_morphology=True, morph_operation='dilation', morph_kernel_size=3, device='cuda')
 ##################################################
2025-10-26 21:58:58.440486 Epoch [001/070], Step [0001/0001], [lateral-edge: 0.7587, lateral-2: 1.6062, lateral-3: 1.5728, lateral-4: 1.5948, lateral-5: 1.5769]
2025-10-26 21:59:00.029329 Epoch [002/070], Step [0001/0001], [lateral-edge: 0.7537, lateral-2: 1.5006, lateral-3: 1.5417, lateral-4: 1.5247, lateral-5: 1.5434]
2025-10-26 21:59:01.633880 Epoch [003/070], Step [0001/0001], [lateral-edge: 0.7501, lateral-2: 1.4497, lateral-3: 1.4710, lateral-4: 1.4882, lateral-5: 1.5489]
2025-10-26 21:59:03.229061 Epoch [004/070], Step [0001/0001], [lateral-edge: 0.7473, lateral-2: 1.4148, lateral-3: 1.4366, lateral-4: 1.4530, lateral-5: 1.5366]
2025-10-26 21:59:04.855883 Epoch [005/070], Step [0001/0001], [lateral-edge: 0.7447, lateral-2: 1.3709, lateral-3: 1.3867, lateral-4: 1.4151, lateral-5: 1.5417]
2025-10-26 21:59:06.478955 Epoch [006/070], Step [0001/0001], [lateral-edge: 0.7422, lateral-2: 1.3065, lateral-3: 1.3205, lateral-4: 1.3578, lateral-5: 1.5470]
2025-10-26 21:59:08.066304 Epoch [007/070], Step [0001/0001], [lateral-edge: 0.7402, lateral-2: 1.2344, lateral-3: 1.2562, lateral-4: 1.2816, lateral-5: 1.5494]
2025-10-26 21:59:09.678237 Epoch [008/070], Step [0001/0001], [lateral-edge: 0.7382, lateral-2: 1.1667, lateral-3: 1.1807, lateral-4: 1.1947, lateral-5: 1.5647]
2025-10-26 21:59:11.287832 Epoch [009/070], Step [0001/0001], [lateral-edge: 0.7364, lateral-2: 1.0962, lateral-3: 1.1008, lateral-4: 1.1360, lateral-5: 1.5912]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/dilation/batch_72/run_2/Inf-Net-10.pth
2025-10-26 21:59:13.059489 Epoch [010/070], Step [0001/0001], [lateral-edge: 0.7348, lateral-2: 1.0230, lateral-3: 1.0667, lateral-4: 1.1476, lateral-5: 1.6392]
2025-10-26 21:59:14.659010 Epoch [011/070], Step [0001/0001], [lateral-edge: 0.7334, lateral-2: 0.9766, lateral-3: 1.0097, lateral-4: 1.0744, lateral-5: 1.6425]
2025-10-26 21:59:16.291178 Epoch [012/070], Step [0001/0001], [lateral-edge: 0.7323, lateral-2: 0.9713, lateral-3: 1.0095, lateral-4: 1.1034, lateral-5: 1.6656]
2025-10-26 21:59:17.891678 Epoch [013/070], Step [0001/0001], [lateral-edge: 0.7313, lateral-2: 0.9575, lateral-3: 1.0024, lateral-4: 1.0996, lateral-5: 1.5971]
2025-10-26 21:59:19.518753 Epoch [014/070], Step [0001/0001], [lateral-edge: 0.7303, lateral-2: 0.9216, lateral-3: 0.9541, lateral-4: 1.0454, lateral-5: 1.5971]
2025-10-26 21:59:21.156238 Epoch [015/070], Step [0001/0001], [lateral-edge: 0.7294, lateral-2: 0.8959, lateral-3: 0.9311, lateral-4: 1.0216, lateral-5: 1.5601]
2025-10-26 21:59:22.774312 Epoch [016/070], Step [0001/0001], [lateral-edge: 0.7285, lateral-2: 0.8609, lateral-3: 0.9122, lateral-4: 0.9996, lateral-5: 1.5544]
2025-10-26 21:59:24.371090 Epoch [017/070], Step [0001/0001], [lateral-edge: 0.7276, lateral-2: 0.8265, lateral-3: 0.8772, lateral-4: 0.9812, lateral-5: 1.5675]
2025-10-26 21:59:25.978077 Epoch [018/070], Step [0001/0001], [lateral-edge: 0.7268, lateral-2: 0.8068, lateral-3: 0.8661, lateral-4: 0.9663, lateral-5: 1.5456]
2025-10-26 21:59:27.603450 Epoch [019/070], Step [0001/0001], [lateral-edge: 0.7260, lateral-2: 0.7879, lateral-3: 0.8479, lateral-4: 0.9483, lateral-5: 1.5335]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/dilation/batch_72/run_2/Inf-Net-20.pth
2025-10-26 21:59:29.439100 Epoch [020/070], Step [0001/0001], [lateral-edge: 0.7251, lateral-2: 0.7767, lateral-3: 0.8397, lateral-4: 0.9471, lateral-5: 1.5152]
2025-10-26 21:59:31.036093 Epoch [021/070], Step [0001/0001], [lateral-edge: 0.7244, lateral-2: 0.7621, lateral-3: 0.8254, lateral-4: 0.9299, lateral-5: 1.4988]
2025-10-26 21:59:32.665318 Epoch [022/070], Step [0001/0001], [lateral-edge: 0.7236, lateral-2: 0.7507, lateral-3: 0.8169, lateral-4: 0.9265, lateral-5: 1.4795]
2025-10-26 21:59:34.281331 Epoch [023/070], Step [0001/0001], [lateral-edge: 0.7228, lateral-2: 0.7473, lateral-3: 0.8171, lateral-4: 0.9282, lateral-5: 1.4756]
2025-10-26 21:59:35.901156 Epoch [024/070], Step [0001/0001], [lateral-edge: 0.7221, lateral-2: 0.7422, lateral-3: 0.8134, lateral-4: 0.9226, lateral-5: 1.4674]
2025-10-26 21:59:37.502078 Epoch [025/070], Step [0001/0001], [lateral-edge: 0.7213, lateral-2: 0.7356, lateral-3: 0.8076, lateral-4: 0.9210, lateral-5: 1.4445]
