Backbone loading: Res2Net50
Not loading weights from weights file
################################################## 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Morphology: erosion
Save Path: ./Snapshots/save_weights/Inf-Net_Morph/batch_64/run_3
Run: 3
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=3, enable_morphology=True, morph_operation='erosion', morph_kernel_size=3, device='cuda')
 ##################################################
2025-10-23 17:22:12.580450 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7529, lateral-2: 1.5938, lateral-3: 1.6017, lateral-4: 1.6443, lateral-5: 1.5374]
2025-10-23 17:22:14.261700 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7514, lateral-2: 1.4285, lateral-3: 1.4567, lateral-4: 1.5003, lateral-5: 1.5131]
2025-10-23 17:22:15.966081 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7480, lateral-2: 1.3555, lateral-3: 1.4162, lateral-4: 1.4878, lateral-5: 1.5005]
2025-10-23 17:22:17.649987 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7455, lateral-2: 1.3382, lateral-3: 1.3922, lateral-4: 1.4526, lateral-5: 1.4980]
2025-10-23 17:22:19.330039 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7429, lateral-2: 1.3247, lateral-3: 1.3637, lateral-4: 1.4338, lateral-5: 1.4957]
2025-10-23 17:22:21.033252 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7398, lateral-2: 1.2948, lateral-3: 1.3411, lateral-4: 1.4209, lateral-5: 1.4885]
2025-10-23 17:22:22.720676 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7384, lateral-2: 1.2671, lateral-3: 1.3210, lateral-4: 1.4033, lateral-5: 1.4773]
2025-10-23 17:22:24.404900 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7366, lateral-2: 1.2385, lateral-3: 1.2945, lateral-4: 1.3865, lateral-5: 1.4467]
2025-10-23 17:22:26.102813 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7346, lateral-2: 1.2013, lateral-3: 1.2651, lateral-4: 1.3569, lateral-5: 1.3940]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_64/run_3/Inf-Net-10.pth
2025-10-23 17:22:28.080298 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7332, lateral-2: 1.1614, lateral-3: 1.2291, lateral-4: 1.3286, lateral-5: 1.3596]
