Backbone loading: Res2Net50
Not loading weights from weights file
################################################## 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 72
Morphology: erosion
Save Path: ./Snapshots/save_weights/Inf-Net_Morph/erosion/batch_72/run_1
Run: 1
Namespace(epoch=70, lr=0.0001, batchsize=72, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=1, enable_morphology=True, morph_operation='erosion', morph_kernel_size=3, device='cuda')
 ##################################################
2025-10-26 21:59:09.550832 Epoch [001/070], Step [0001/0001], [lateral-edge: 0.7772, lateral-2: 1.5555, lateral-3: 1.5792, lateral-4: 1.5819, lateral-5: 1.5449]
2025-10-26 21:59:11.146863 Epoch [002/070], Step [0001/0001], [lateral-edge: 0.7605, lateral-2: 1.4211, lateral-3: 1.4676, lateral-4: 1.5352, lateral-5: 1.5347]
2025-10-26 21:59:12.792327 Epoch [003/070], Step [0001/0001], [lateral-edge: 0.7556, lateral-2: 1.3681, lateral-3: 1.4263, lateral-4: 1.4834, lateral-5: 1.5297]
2025-10-26 21:59:14.420001 Epoch [004/070], Step [0001/0001], [lateral-edge: 0.7505, lateral-2: 1.3308, lateral-3: 1.3911, lateral-4: 1.4620, lateral-5: 1.5260]
2025-10-26 21:59:16.040249 Epoch [005/070], Step [0001/0001], [lateral-edge: 0.7465, lateral-2: 1.3002, lateral-3: 1.3537, lateral-4: 1.4335, lateral-5: 1.5258]
2025-10-26 21:59:17.681194 Epoch [006/070], Step [0001/0001], [lateral-edge: 0.7445, lateral-2: 1.2569, lateral-3: 1.3145, lateral-4: 1.3910, lateral-5: 1.5269]
2025-10-26 21:59:19.310094 Epoch [007/070], Step [0001/0001], [lateral-edge: 0.7422, lateral-2: 1.2073, lateral-3: 1.2634, lateral-4: 1.3458, lateral-5: 1.5273]
2025-10-26 21:59:20.929215 Epoch [008/070], Step [0001/0001], [lateral-edge: 0.7397, lateral-2: 1.1541, lateral-3: 1.2076, lateral-4: 1.2929, lateral-5: 1.4946]
2025-10-26 21:59:22.562303 Epoch [009/070], Step [0001/0001], [lateral-edge: 0.7377, lateral-2: 1.0841, lateral-3: 1.1452, lateral-4: 1.2340, lateral-5: 1.4591]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/erosion/batch_72/run_1/Inf-Net-10.pth
2025-10-26 21:59:24.446781 Epoch [010/070], Step [0001/0001], [lateral-edge: 0.7359, lateral-2: 1.0188, lateral-3: 1.0777, lateral-4: 1.1788, lateral-5: 1.4436]
