Backbone loading: Res2Net50
Not loading weights from weights file
################################################## 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 128
Morphology: open
Save Path: ./Snapshots/save_weights/Inf-Net_Morph/batch_128/run_2
Run: 2
Namespace(epoch=100, lr=0.0001, batchsize=128, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_morphology=True, morph_operation='open', morph_kernel_size=3, device='cuda')
 ##################################################
2025-10-23 17:25:23.369626 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7760, lateral-2: 1.7950, lateral-3: 1.6937, lateral-4: 1.6706, lateral-5: 1.5631]
2025-10-23 17:25:25.082895 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7641, lateral-2: 1.4686, lateral-3: 1.5057, lateral-4: 1.5261, lateral-5: 1.5255]
2025-10-23 17:25:26.806639 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7583, lateral-2: 1.4099, lateral-3: 1.4676, lateral-4: 1.5091, lateral-5: 1.5235]
2025-10-23 17:25:28.529443 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7546, lateral-2: 1.3919, lateral-3: 1.4378, lateral-4: 1.4905, lateral-5: 1.5216]
2025-10-23 17:25:30.291413 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7518, lateral-2: 1.3852, lateral-3: 1.4235, lateral-4: 1.4634, lateral-5: 1.5208]
2025-10-23 17:25:32.024257 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7493, lateral-2: 1.3688, lateral-3: 1.4092, lateral-4: 1.4423, lateral-5: 1.5166]
2025-10-23 17:25:33.754998 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7459, lateral-2: 1.3463, lateral-3: 1.3958, lateral-4: 1.4281, lateral-5: 1.5140]
2025-10-23 17:25:35.472593 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7431, lateral-2: 1.3327, lateral-3: 1.3780, lateral-4: 1.4137, lateral-5: 1.5113]
2025-10-23 17:25:37.239958 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7414, lateral-2: 1.3128, lateral-3: 1.3585, lateral-4: 1.3985, lateral-5: 1.5066]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_128/run_2/Inf-Net-10.pth
2025-10-23 17:25:39.336167 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7394, lateral-2: 1.2908, lateral-3: 1.3368, lateral-4: 1.3799, lateral-5: 1.4965]
2025-10-23 17:25:41.065122 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7371, lateral-2: 1.2606, lateral-3: 1.3090, lateral-4: 1.3640, lateral-5: 1.4723]
2025-10-23 17:25:42.819012 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7355, lateral-2: 1.2259, lateral-3: 1.2831, lateral-4: 1.3398, lateral-5: 1.4272]
2025-10-23 17:25:44.546082 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7340, lateral-2: 1.1949, lateral-3: 1.2620, lateral-4: 1.3346, lateral-5: 1.3930]
2025-10-23 17:25:46.278807 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7323, lateral-2: 1.1755, lateral-3: 1.2560, lateral-4: 1.3366, lateral-5: 1.3897]
2025-10-23 17:25:48.034055 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7309, lateral-2: 1.1376, lateral-3: 1.2083, lateral-4: 1.2917, lateral-5: 1.3941]
2025-10-23 17:25:49.778259 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7294, lateral-2: 1.0701, lateral-3: 1.1390, lateral-4: 1.2178, lateral-5: 1.3803]
2025-10-23 17:25:51.519214 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7280, lateral-2: 0.9998, lateral-3: 1.0685, lateral-4: 1.1577, lateral-5: 1.4216]
