Backbone loading: Res2Net50
Loaded pretrained weights (Conv layers only, GroupNorm initialized randomly)
Not loading weights from weights file
#################### 
Start Training (Inf-Net-Res2Net50)
Namespace(epoch=100, lr=0.0001, batchsize=24, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=6)
This code is written for 'Inf-Net: Automatic COVID-19 Lung Infection Segmentation from CT Scans', 2020, TMI.
----
Please cite the paper if you use this code and dataset. And any questions feel free to contact me via E-mail (gepengai.ji@gmail.com)
----
 ####################
2025-10-16 18:24:35.034586 Epoch [001/100], Step [0003/0003], [lateral-edge: 0.7576, lateral-2: 1.3740, lateral-3: 1.3717, lateral-4: 1.4023, lateral-5: 1.4126]
2025-10-16 18:24:36.525511 Epoch [002/100], Step [0003/0003], [lateral-edge: 0.7461, lateral-2: 1.1194, lateral-3: 1.2063, lateral-4: 1.2857, lateral-5: 1.3073]
2025-10-16 18:24:38.090613 Epoch [003/100], Step [0003/0003], [lateral-edge: 0.7405, lateral-2: 1.0430, lateral-3: 1.1079, lateral-4: 1.2422, lateral-5: 1.2127]
2025-10-16 18:24:39.622008 Epoch [004/100], Step [0003/0003], [lateral-edge: 0.7366, lateral-2: 0.9596, lateral-3: 1.0275, lateral-4: 1.1484, lateral-5: 1.1370]
2025-10-16 18:24:41.181005 Epoch [005/100], Step [0003/0003], [lateral-edge: 0.7340, lateral-2: 0.8881, lateral-3: 0.9729, lateral-4: 1.0943, lateral-5: 1.0603]
2025-10-16 18:24:42.719911 Epoch [006/100], Step [0003/0003], [lateral-edge: 0.7310, lateral-2: 0.8070, lateral-3: 0.8858, lateral-4: 0.9965, lateral-5: 0.9576]
2025-10-16 18:24:44.260046 Epoch [007/100], Step [0003/0003], [lateral-edge: 0.7293, lateral-2: 0.7806, lateral-3: 0.8453, lateral-4: 0.9784, lateral-5: 0.9373]
2025-10-16 18:24:45.787600 Epoch [008/100], Step [0003/0003], [lateral-edge: 0.7231, lateral-2: 0.8617, lateral-3: 0.9556, lateral-4: 1.0839, lateral-5: 1.0158]
2025-10-16 18:24:47.353311 Epoch [009/100], Step [0003/0003], [lateral-edge: 0.7205, lateral-2: 0.7610, lateral-3: 0.8571, lateral-4: 0.9893, lateral-5: 0.9104]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/Non-DP/6/Non-DPInf-Net-10.pth
2025-10-16 18:24:49.251305 Epoch [010/100], Step [0003/0003], [lateral-edge: 0.7226, lateral-2: 0.6919, lateral-3: 0.7767, lateral-4: 0.9154, lateral-5: 0.8322]
2025-10-16 18:24:50.805232 Epoch [011/100], Step [0003/0003], [lateral-edge: 0.7200, lateral-2: 0.6865, lateral-3: 0.7742, lateral-4: 0.8999, lateral-5: 0.8026]
2025-10-16 18:24:52.374026 Epoch [012/100], Step [0003/0003], [lateral-edge: 0.7181, lateral-2: 0.6409, lateral-3: 0.7465, lateral-4: 0.8941, lateral-5: 0.7806]
2025-10-16 18:24:53.942291 Epoch [013/100], Step [0003/0003], [lateral-edge: 0.7117, lateral-2: 0.7165, lateral-3: 0.8203, lateral-4: 0.9527, lateral-5: 0.8347]
2025-10-16 18:24:55.505280 Epoch [014/100], Step [0003/0003], [lateral-edge: 0.7140, lateral-2: 0.6565, lateral-3: 0.7597, lateral-4: 0.8954, lateral-5: 0.7739]
2025-10-16 18:24:57.109828 Epoch [015/100], Step [0003/0003], [lateral-edge: 0.7110, lateral-2: 0.6459, lateral-3: 0.7558, lateral-4: 0.8971, lateral-5: 0.7586]
2025-10-16 18:24:58.642155 Epoch [016/100], Step [0003/0003], [lateral-edge: 0.7103, lateral-2: 0.6290, lateral-3: 0.7127, lateral-4: 0.8703, lateral-5: 0.7207]
2025-10-16 18:25:00.194886 Epoch [017/100], Step [0003/0003], [lateral-edge: 0.7084, lateral-2: 0.5995, lateral-3: 0.7145, lateral-4: 0.8655, lateral-5: 0.7030]
2025-10-16 18:25:01.768365 Epoch [018/100], Step [0003/0003], [lateral-edge: 0.7070, lateral-2: 0.5849, lateral-3: 0.6948, lateral-4: 0.8431, lateral-5: 0.7026]
2025-10-16 18:25:03.312041 Epoch [019/100], Step [0003/0003], [lateral-edge: 0.7049, lateral-2: 0.6567, lateral-3: 0.7728, lateral-4: 0.9296, lateral-5: 0.7515]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/Non-DP/6/Non-DPInf-Net-20.pth
2025-10-16 18:25:05.215877 Epoch [020/100], Step [0003/0003], [lateral-edge: 0.7021, lateral-2: 0.6181, lateral-3: 0.7403, lateral-4: 0.8978, lateral-5: 0.7318]
2025-10-16 18:25:06.801777 Epoch [021/100], Step [0003/0003], [lateral-edge: 0.7035, lateral-2: 0.5763, lateral-3: 0.6882, lateral-4: 0.8429, lateral-5: 0.6689]
2025-10-16 18:25:08.340135 Epoch [022/100], Step [0003/0003], [lateral-edge: 0.7021, lateral-2: 0.5206, lateral-3: 0.6440, lateral-4: 0.8073, lateral-5: 0.6172]
2025-10-16 18:25:09.888438 Epoch [023/100], Step [0003/0003], [lateral-edge: 0.7007, lateral-2: 0.5234, lateral-3: 0.6549, lateral-4: 0.8219, lateral-5: 0.6166]
2025-10-16 18:25:11.442577 Epoch [024/100], Step [0003/0003], [lateral-edge: 0.6993, lateral-2: 0.5446, lateral-3: 0.6716, lateral-4: 0.8281, lateral-5: 0.6389]
2025-10-16 18:25:13.019583 Epoch [025/100], Step [0003/0003], [lateral-edge: 0.6988, lateral-2: 0.4996, lateral-3: 0.6402, lateral-4: 0.8093, lateral-5: 0.5832]
2025-10-16 18:25:14.570939 Epoch [026/100], Step [0003/0003], [lateral-edge: 0.6972, lateral-2: 0.5309, lateral-3: 0.6606, lateral-4: 0.8348, lateral-5: 0.5972]
2025-10-16 18:25:16.091163 Epoch [027/100], Step [0003/0003], [lateral-edge: 0.6975, lateral-2: 0.4927, lateral-3: 0.6103, lateral-4: 0.7710, lateral-5: 0.5697]
2025-10-16 18:25:17.622291 Epoch [028/100], Step [0003/0003], [lateral-edge: 0.6969, lateral-2: 0.4705, lateral-3: 0.6056, lateral-4: 0.7856, lateral-5: 0.5481]
2025-10-16 18:25:19.156305 Epoch [029/100], Step [0003/0003], [lateral-edge: 0.6959, lateral-2: 0.4980, lateral-3: 0.6313, lateral-4: 0.7939, lateral-5: 0.5742]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/Non-DP/6/Non-DPInf-Net-30.pth
2025-10-16 18:25:21.013979 Epoch [030/100], Step [0003/0003], [lateral-edge: 0.6951, lateral-2: 0.4985, lateral-3: 0.6364, lateral-4: 0.8039, lateral-5: 0.5696]
2025-10-16 18:25:22.573343 Epoch [031/100], Step [0003/0003], [lateral-edge: 0.6937, lateral-2: 0.5144, lateral-3: 0.6524, lateral-4: 0.8228, lateral-5: 0.5843]
2025-10-16 18:25:24.147591 Epoch [032/100], Step [0003/0003], [lateral-edge: 0.6934, lateral-2: 0.4769, lateral-3: 0.6117, lateral-4: 0.7939, lateral-5: 0.5426]
2025-10-16 18:25:25.698396 Epoch [033/100], Step [0003/0003], [lateral-edge: 0.6939, lateral-2: 0.4388, lateral-3: 0.5751, lateral-4: 0.7533, lateral-5: 0.5067]
2025-10-16 18:25:27.218903 Epoch [034/100], Step [0003/0003], [lateral-edge: 0.6908, lateral-2: 0.5038, lateral-3: 0.6528, lateral-4: 0.8295, lateral-5: 0.5578]
2025-10-16 18:25:28.789743 Epoch [035/100], Step [0003/0003], [lateral-edge: 0.6919, lateral-2: 0.4868, lateral-3: 0.6445, lateral-4: 0.8261, lateral-5: 0.5594]
2025-10-16 18:25:30.331713 Epoch [036/100], Step [0003/0003], [lateral-edge: 0.6916, lateral-2: 0.4677, lateral-3: 0.6180, lateral-4: 0.7962, lateral-5: 0.5162]
2025-10-16 18:25:31.872414 Epoch [037/100], Step [0003/0003], [lateral-edge: 0.6907, lateral-2: 0.4602, lateral-3: 0.6061, lateral-4: 0.7889, lateral-5: 0.5095]
2025-10-16 18:25:33.431374 Epoch [038/100], Step [0003/0003], [lateral-edge: 0.6898, lateral-2: 0.4493, lateral-3: 0.6072, lateral-4: 0.7949, lateral-5: 0.4900]
2025-10-16 18:25:34.972108 Epoch [039/100], Step [0003/0003], [lateral-edge: 0.6902, lateral-2: 0.4344, lateral-3: 0.5752, lateral-4: 0.7496, lateral-5: 0.4746]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/Non-DP/6/Non-DPInf-Net-40.pth
2025-10-16 18:25:36.795663 Epoch [040/100], Step [0003/0003], [lateral-edge: 0.6898, lateral-2: 0.4078, lateral-3: 0.5487, lateral-4: 0.7333, lateral-5: 0.4531]
2025-10-16 18:25:38.321927 Epoch [041/100], Step [0003/0003], [lateral-edge: 0.6876, lateral-2: 0.4706, lateral-3: 0.6252, lateral-4: 0.8076, lateral-5: 0.5174]
2025-10-16 18:25:39.878434 Epoch [042/100], Step [0003/0003], [lateral-edge: 0.6884, lateral-2: 0.4191, lateral-3: 0.5804, lateral-4: 0.7729, lateral-5: 0.4650]
2025-10-16 18:25:41.430457 Epoch [043/100], Step [0003/0003], [lateral-edge: 0.6864, lateral-2: 0.4397, lateral-3: 0.5942, lateral-4: 0.7867, lateral-5: 0.4686]
2025-10-16 18:25:42.973208 Epoch [044/100], Step [0003/0003], [lateral-edge: 0.6875, lateral-2: 0.4177, lateral-3: 0.5669, lateral-4: 0.7512, lateral-5: 0.4453]
2025-10-16 18:25:44.490114 Epoch [045/100], Step [0003/0003], [lateral-edge: 0.6870, lateral-2: 0.4209, lateral-3: 0.5906, lateral-4: 0.7855, lateral-5: 0.4576]
2025-10-16 18:25:46.013472 Epoch [046/100], Step [0003/0003], [lateral-edge: 0.6866, lateral-2: 0.4100, lateral-3: 0.5840, lateral-4: 0.7834, lateral-5: 0.4342]
2025-10-16 18:25:47.551780 Epoch [047/100], Step [0003/0003], [lateral-edge: 0.6862, lateral-2: 0.4093, lateral-3: 0.5740, lateral-4: 0.7694, lateral-5: 0.4376]
2025-10-16 18:25:49.094476 Epoch [048/100], Step [0003/0003], [lateral-edge: 0.6856, lateral-2: 0.4000, lateral-3: 0.5594, lateral-4: 0.7443, lateral-5: 0.4246]
