model,batch_size,run,dp_enabled,noise_multiplier,epsilon,morph_enabled,morph_operation,mean_dice,max_dice,s_measure,mae,mean_sensitivity,max_sensitivity,mean_specificity,max_specificity,mean_e_measure,max_e_measure,job_id
Inf-Net,24,1,False,,,False,,0.5705,0.6613,0.7004,0.1293,0.6149,1.0,0.905,0.9962,0.7426,0.8739,59954611
Inf-Net,24,2,False,,,False,,0.5919,0.6754,0.6824,0.1515,0.7414,1.0,0.8543,0.9957,0.7348,0.877,59954612
Inf-Net,24,3,False,,,False,,0.5733,0.6666,0.708,0.131,0.6237,1.0,0.896,0.9889,0.7457,0.8736,59954613
Inf-Net,48,1,False,,,False,,0.5537,0.6389,0.6761,0.1488,0.6549,1.0,0.8726,0.9938,0.7233,0.8683,59954614
Inf-Net,48,2,False,,,False,,0.5833,0.6629,0.68,0.1575,0.7115,1.0,0.8514,0.994,0.7283,0.8507,59954615
Inf-Net,48,3,False,,,False,,0.5463,0.6375,0.6439,0.1789,0.747,1.0,0.8261,0.9881,0.6862,0.8542,59954616
Inf-Net,64,1,False,,,False,,0.505,0.5821,0.6409,0.1664,0.5967,1.0,0.8579,0.9926,0.6875,0.8133,59954617
Inf-Net,64,2,False,,,False,,0.511,0.5887,0.6369,0.1791,0.6253,1.0,0.8414,0.9946,0.6803,0.8115,59954618
Inf-Net,64,3,False,,,False,,0.5187,0.5946,0.6478,0.1606,0.6045,1.0,0.8608,0.9779,0.6966,0.8147,59954619
Inf-Net,72,1,False,,,False,,0.5238,0.6028,0.6515,0.1613,0.6143,1.0,0.8604,0.9928,0.7019,0.8332,59954620
Inf-Net,72,2,False,,,False,,0.5057,0.5831,0.6412,0.1693,0.6028,1.0,0.85,0.9934,0.6834,0.8085,59954621
Inf-Net,72,3,False,,,False,,0.505,0.5818,0.6392,0.1678,0.5961,1.0,0.8578,0.9911,0.6877,0.8115,59954622
Inf-Net_DP,24,1,True,0.3,inf,False,,0.496,0.593,0.6344,0.1822,0.6579,1.0,0.8555,0.9987,0.6584,0.8297,59954683
Inf-Net_DP,24,2,True,0.3,inf,False,,0.4858,0.5874,0.6292,0.1888,0.6384,1.0,0.8513,0.9987,0.6465,0.8147,59954684
Inf-Net_DP,24,3,True,0.3,inf,False,,0.4625,0.572,0.6141,0.2026,0.6405,1.0,0.8319,0.9993,0.6225,0.8203,59954685
