Backbone loading: Res2Net50
Not loading weights from weights file
################################################## 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 32
Morphology: Disabled
Save Path: ./Snapshots/save_weights/Inf-Net/batch_32/run_1
Run: 1
Namespace(epoch=100, lr=0.0001, batchsize=32, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=1, enable_morphology=False, morph_operation='close', morph_kernel_size=3, device='cuda')
 ##################################################
2025-10-23 17:18:51.997570 Epoch [001/100], Step [0002/0002], [lateral-edge: 0.7604, lateral-2: 1.5076, lateral-3: 1.4994, lateral-4: 1.5462, lateral-5: 1.5231]
2025-10-23 17:18:53.493540 Epoch [002/100], Step [0002/0002], [lateral-edge: 0.7506, lateral-2: 1.3895, lateral-3: 1.4160, lateral-4: 1.4725, lateral-5: 1.5185]
2025-10-23 17:18:55.030351 Epoch [003/100], Step [0002/0002], [lateral-edge: 0.7450, lateral-2: 1.3527, lateral-3: 1.3912, lateral-4: 1.4403, lateral-5: 1.5030]
2025-10-23 17:18:56.584995 Epoch [004/100], Step [0002/0002], [lateral-edge: 0.7407, lateral-2: 1.3011, lateral-3: 1.3526, lateral-4: 1.4179, lateral-5: 1.4677]
2025-10-23 17:18:58.122194 Epoch [005/100], Step [0002/0002], [lateral-edge: 0.7373, lateral-2: 1.2205, lateral-3: 1.2686, lateral-4: 1.3459, lateral-5: 1.4637]
2025-10-23 17:18:59.655020 Epoch [006/100], Step [0002/0002], [lateral-edge: 0.7347, lateral-2: 1.1049, lateral-3: 1.1567, lateral-4: 1.2412, lateral-5: 1.5379]
2025-10-23 17:19:01.194966 Epoch [007/100], Step [0002/0002], [lateral-edge: 0.7321, lateral-2: 1.0131, lateral-3: 1.0710, lateral-4: 1.1695, lateral-5: 1.6105]
2025-10-23 17:19:02.741639 Epoch [008/100], Step [0002/0002], [lateral-edge: 0.7300, lateral-2: 0.9774, lateral-3: 1.0432, lateral-4: 1.1392, lateral-5: 1.6024]
2025-10-23 17:19:04.273209 Epoch [009/100], Step [0002/0002], [lateral-edge: 0.7282, lateral-2: 0.9692, lateral-3: 1.0273, lateral-4: 1.1183, lateral-5: 1.5845]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/batch_32/run_1/Inf-Net-10.pth
2025-10-23 17:19:06.169433 Epoch [010/100], Step [0002/0002], [lateral-edge: 0.7262, lateral-2: 0.9376, lateral-3: 1.0001, lateral-4: 1.1057, lateral-5: 1.5691]
2025-10-23 17:19:07.687486 Epoch [011/100], Step [0002/0002], [lateral-edge: 0.7240, lateral-2: 0.9393, lateral-3: 1.0053, lateral-4: 1.0986, lateral-5: 1.5472]
2025-10-23 17:19:09.216708 Epoch [012/100], Step [0002/0002], [lateral-edge: 0.7216, lateral-2: 0.9005, lateral-3: 0.9706, lateral-4: 1.0771, lateral-5: 1.5498]
2025-10-23 17:19:10.744168 Epoch [013/100], Step [0002/0002], [lateral-edge: 0.7200, lateral-2: 0.8763, lateral-3: 0.9539, lateral-4: 1.0600, lateral-5: 1.5379]
2025-10-23 17:19:12.259828 Epoch [014/100], Step [0002/0002], [lateral-edge: 0.7183, lateral-2: 0.8635, lateral-3: 0.9323, lateral-4: 1.0396, lateral-5: 1.5338]
2025-10-23 17:19:13.812033 Epoch [015/100], Step [0002/0002], [lateral-edge: 0.7161, lateral-2: 0.8265, lateral-3: 0.9079, lateral-4: 1.0170, lateral-5: 1.5109]
2025-10-23 17:19:15.355684 Epoch [016/100], Step [0002/0002], [lateral-edge: 0.7141, lateral-2: 0.7830, lateral-3: 0.8713, lateral-4: 0.9922, lateral-5: 1.4863]
2025-10-23 17:19:16.880788 Epoch [017/100], Step [0002/0002], [lateral-edge: 0.7125, lateral-2: 0.7914, lateral-3: 0.8691, lateral-4: 0.9796, lateral-5: 1.4600]
2025-10-23 17:19:18.414634 Epoch [018/100], Step [0002/0002], [lateral-edge: 0.7106, lateral-2: 0.7743, lateral-3: 0.8611, lateral-4: 0.9744, lateral-5: 1.4618]
2025-10-23 17:19:19.949496 Epoch [019/100], Step [0002/0002], [lateral-edge: 0.7093, lateral-2: 0.7596, lateral-3: 0.8436, lateral-4: 0.9515, lateral-5: 1.4489]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/batch_32/run_1/Inf-Net-20.pth
2025-10-23 17:19:21.670259 Epoch [020/100], Step [0002/0002], [lateral-edge: 0.7080, lateral-2: 0.7435, lateral-3: 0.8321, lateral-4: 0.9486, lateral-5: 1.4377]
2025-10-23 17:19:23.220440 Epoch [021/100], Step [0002/0002], [lateral-edge: 0.7069, lateral-2: 0.7309, lateral-3: 0.8247, lateral-4: 0.9481, lateral-5: 1.4160]
2025-10-23 17:19:24.740921 Epoch [022/100], Step [0002/0002], [lateral-edge: 0.7057, lateral-2: 0.7237, lateral-3: 0.8128, lateral-4: 0.9307, lateral-5: 1.3652]
2025-10-23 17:19:26.263962 Epoch [023/100], Step [0002/0002], [lateral-edge: 0.7048, lateral-2: 0.7187, lateral-3: 0.8062, lateral-4: 0.9261, lateral-5: 1.3800]
2025-10-23 17:19:27.794969 Epoch [024/100], Step [0002/0002], [lateral-edge: 0.7038, lateral-2: 0.7136, lateral-3: 0.8043, lateral-4: 0.9191, lateral-5: 1.3519]
2025-10-23 17:19:29.325494 Epoch [025/100], Step [0002/0002], [lateral-edge: 0.7030, lateral-2: 0.6922, lateral-3: 0.7821, lateral-4: 0.8995, lateral-5: 1.3624]
2025-10-23 17:19:30.863065 Epoch [026/100], Step [0002/0002], [lateral-edge: 0.7022, lateral-2: 0.6862, lateral-3: 0.7833, lateral-4: 0.9090, lateral-5: 1.3676]
2025-10-23 17:19:32.388592 Epoch [027/100], Step [0002/0002], [lateral-edge: 0.7015, lateral-2: 0.7358, lateral-3: 0.8279, lateral-4: 0.9462, lateral-5: 1.2979]
2025-10-23 17:19:33.912468 Epoch [028/100], Step [0002/0002], [lateral-edge: 0.7011, lateral-2: 0.7323, lateral-3: 0.8259, lateral-4: 0.9391, lateral-5: 1.2555]
2025-10-23 17:19:35.454736 Epoch [029/100], Step [0002/0002], [lateral-edge: 0.7006, lateral-2: 0.6818, lateral-3: 0.7755, lateral-4: 0.8937, lateral-5: 1.3067]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/batch_32/run_1/Inf-Net-30.pth
2025-10-23 17:19:37.130724 Epoch [030/100], Step [0002/0002], [lateral-edge: 0.6999, lateral-2: 0.6703, lateral-3: 0.7721, lateral-4: 0.8940, lateral-5: 1.2719]
2025-10-23 17:19:38.664012 Epoch [031/100], Step [0002/0002], [lateral-edge: 0.6994, lateral-2: 0.6418, lateral-3: 0.7457, lateral-4: 0.8730, lateral-5: 1.2302]
