Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 128
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: Disabled
Save Path: ./Snapshots/save_weights/Inf-Net_DP/batch_128/run_2
Run: 2
Namespace(epoch=100, lr=0.0001, batchsize=128, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_privacy=True, noise_multiplier=1.5, max_grad_norm=1.0, delta=1e-05, enable_morphology=False, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 12:17:53.450303 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7786, lateral-2: 1.7453, lateral-3: 1.6578, lateral-4: 1.6217, lateral-5: 1.5761, epsilon: 5.1851]
2025-10-24 12:17:56.390721 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7785, lateral-2: 1.7179, lateral-3: 1.6347, lateral-4: 1.6076, lateral-5: 1.5733, epsilon: 7.8193]
2025-10-24 12:17:59.328332 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7784, lateral-2: 1.6951, lateral-3: 1.6158, lateral-4: 1.5948, lateral-5: 1.5703, epsilon: 10.0077]
2025-10-24 12:18:02.419596 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7782, lateral-2: 1.6747, lateral-3: 1.5992, lateral-4: 1.5836, lateral-5: 1.5671, epsilon: 11.9630]
2025-10-24 12:18:05.314770 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7780, lateral-2: 1.6556, lateral-3: 1.5839, lateral-4: 1.5735, lateral-5: 1.5638, epsilon: 13.7684]
2025-10-24 12:18:08.234751 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7779, lateral-2: 1.6384, lateral-3: 1.5705, lateral-4: 1.5643, lateral-5: 1.5606, epsilon: 15.4668]
2025-10-24 12:18:11.194383 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7777, lateral-2: 1.6231, lateral-3: 1.5586, lateral-4: 1.5560, lateral-5: 1.5577, epsilon: 17.0838]
2025-10-24 12:18:14.129744 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7776, lateral-2: 1.6089, lateral-3: 1.5479, lateral-4: 1.5485, lateral-5: 1.5550, epsilon: 18.6363]
2025-10-24 12:18:17.179380 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7774, lateral-2: 1.5964, lateral-3: 1.5385, lateral-4: 1.5418, lateral-5: 1.5524, epsilon: 20.1358]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP/batch_128/run_2/Inf-Net-10.pth
2025-10-24 12:18:20.337463 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7772, lateral-2: 1.5848, lateral-3: 1.5299, lateral-4: 1.5355, lateral-5: 1.5498, epsilon: 21.5910]
2025-10-24 12:18:23.286452 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7770, lateral-2: 1.5741, lateral-3: 1.5221, lateral-4: 1.5295, lateral-5: 1.5473, epsilon: 23.0082]
2025-10-24 12:18:26.204737 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7767, lateral-2: 1.5646, lateral-3: 1.5152, lateral-4: 1.5238, lateral-5: 1.5449, epsilon: 24.3925]
