Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: Disabled
Save Path: ./Snapshots/save_weights/Inf-Net_DP/batch_64/run_1/noise_multiplier_0.05
Run: 1
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=1, enable_privacy=True, noise_multiplier=0.05, max_grad_norm=1.0, delta=1e-05, enable_morphology=False, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 13:27:59.054801 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7845, lateral-2: 1.5631, lateral-3: 1.5218, lateral-4: 1.5425, lateral-5: 1.5312, epsilon: inf]
2025-10-24 13:28:03.354112 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7727, lateral-2: 1.4266, lateral-3: 1.4324, lateral-4: 1.4688, lateral-5: 1.4793, epsilon: inf]
2025-10-24 13:28:08.897746 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7648, lateral-2: 1.3401, lateral-3: 1.3725, lateral-4: 1.4161, lateral-5: 1.4497, epsilon: inf]
2025-10-24 13:28:16.442193 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7639, lateral-2: 1.2677, lateral-3: 1.3165, lateral-4: 1.3666, lateral-5: 1.4205, epsilon: inf]
2025-10-24 13:28:25.462055 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7639, lateral-2: 1.2073, lateral-3: 1.2634, lateral-4: 1.3220, lateral-5: 1.3841, epsilon: inf]
2025-10-24 13:28:35.825805 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7630, lateral-2: 1.1583, lateral-3: 1.2173, lateral-4: 1.2850, lateral-5: 1.3467, epsilon: inf]
2025-10-24 13:28:48.437478 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7617, lateral-2: 1.1204, lateral-3: 1.1800, lateral-4: 1.2538, lateral-5: 1.3130, epsilon: inf]
2025-10-24 13:29:16.711175 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7602, lateral-2: 1.0897, lateral-3: 1.1510, lateral-4: 1.2275, lateral-5: 1.2831, epsilon: inf]
2025-10-24 13:29:33.576304 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7591, lateral-2: 1.0648, lateral-3: 1.1280, lateral-4: 1.2048, lateral-5: 1.2561, epsilon: inf]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP/batch_64/run_1/noise_multiplier_0.05/Inf-Net-10.pth
2025-10-24 13:29:56.382283 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7582, lateral-2: 1.0449, lateral-3: 1.1096, lateral-4: 1.1848, lateral-5: 1.2304, epsilon: inf]
2025-10-24 13:30:23.751872 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7575, lateral-2: 1.0282, lateral-3: 1.0940, lateral-4: 1.1663, lateral-5: 1.2071, epsilon: inf]
2025-10-24 13:30:55.152200 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7567, lateral-2: 1.0129, lateral-3: 1.0792, lateral-4: 1.1494, lateral-5: 1.1867, epsilon: inf]
2025-10-24 13:31:44.644012 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7558, lateral-2: 0.9984, lateral-3: 1.0647, lateral-4: 1.1342, lateral-5: 1.1683, epsilon: inf]
2025-10-24 13:32:22.781175 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7548, lateral-2: 0.9846, lateral-3: 1.0511, lateral-4: 1.1199, lateral-5: 1.1511, epsilon: inf]
2025-10-24 13:33:03.354726 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7538, lateral-2: 0.9718, lateral-3: 1.0379, lateral-4: 1.1059, lateral-5: 1.1352, epsilon: inf]
2025-10-24 13:33:56.652958 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7529, lateral-2: 0.9594, lateral-3: 1.0244, lateral-4: 1.0927, lateral-5: 1.1206, epsilon: inf]
2025-10-24 13:34:50.677086 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7521, lateral-2: 0.9473, lateral-3: 1.0110, lateral-4: 1.0801, lateral-5: 1.1073, epsilon: inf]
2025-10-24 13:35:46.961873 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7513, lateral-2: 0.9351, lateral-3: 0.9982, lateral-4: 1.0677, lateral-5: 1.0942, epsilon: inf]
Training completed at Fri Oct 24 13:36:37 CEST 2025
