Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 32
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: Disabled
Save Path: ./Snapshots/save_weights/Inf-Net_DP/batch_32/run_3/noise_multiplier_0.3
Run: 3
Namespace(epoch=100, lr=0.0001, batchsize=32, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=3, enable_privacy=True, noise_multiplier=0.3, max_grad_norm=1.0, delta=1e-05, enable_morphology=False, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 13:25:50.185438 Epoch [001/100], Step [0002/0002], [lateral-edge: 0.7814, lateral-2: 1.6717, lateral-3: 1.6577, lateral-4: 1.5963, lateral-5: 1.5648, epsilon: 54.8910]
2025-10-24 13:25:55.258852 Epoch [002/100], Step [0002/0002], [lateral-edge: 0.7804, lateral-2: 1.5753, lateral-3: 1.5576, lateral-4: 1.5237, lateral-5: 1.5448, epsilon: 84.8094]
2025-10-24 13:25:59.820917 Epoch [003/100], Step [0002/0002], [lateral-edge: 0.7770, lateral-2: 1.5442, lateral-3: 1.5244, lateral-4: 1.5047, lateral-5: 1.5257, epsilon: 110.4391]
2025-10-24 13:26:04.572354 Epoch [004/100], Step [0002/0002], [lateral-edge: 0.7730, lateral-2: 1.5220, lateral-3: 1.5089, lateral-4: 1.4935, lateral-5: 1.5256, epsilon: 133.9877]
2025-10-24 13:26:09.156976 Epoch [005/100], Step [0002/0002], [lateral-edge: 0.7709, lateral-2: 1.4936, lateral-3: 1.4745, lateral-4: 1.4695, lateral-5: 1.5054, epsilon: 156.2438]
2025-10-24 13:26:13.596296 Epoch [006/100], Step [0002/0002], [lateral-edge: 0.7670, lateral-2: 1.4572, lateral-3: 1.4389, lateral-4: 1.4320, lateral-5: 1.4807, epsilon: 177.5980]
2025-10-24 13:26:19.284764 Epoch [007/100], Step [0002/0002], [lateral-edge: 0.7632, lateral-2: 1.4412, lateral-3: 1.4320, lateral-4: 1.4319, lateral-5: 1.4787, epsilon: 198.2751]
2025-10-24 13:26:24.181727 Epoch [008/100], Step [0002/0002], [lateral-edge: 0.7606, lateral-2: 1.4154, lateral-3: 1.4140, lateral-4: 1.4169, lateral-5: 1.4604, epsilon: 218.4212]
2025-10-24 13:26:28.758706 Epoch [009/100], Step [0002/0002], [lateral-edge: 0.7592, lateral-2: 1.3986, lateral-3: 1.4080, lateral-4: 1.4126, lateral-5: 1.4664, epsilon: 238.1356]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP/batch_32/run_3/noise_multiplier_0.3/Inf-Net-10.pth
2025-10-24 13:26:33.418389 Epoch [010/100], Step [0002/0002], [lateral-edge: 0.7571, lateral-2: 1.3868, lateral-3: 1.4007, lateral-4: 1.4051, lateral-5: 1.4496, epsilon: 257.4901]
2025-10-24 13:26:38.757281 Epoch [011/100], Step [0002/0002], [lateral-edge: 0.7559, lateral-2: 1.3568, lateral-3: 1.3631, lateral-4: 1.3792, lateral-5: 1.4332, epsilon: 276.5388]
2025-10-24 13:26:43.828800 Epoch [012/100], Step [0002/0002], [lateral-edge: 0.7553, lateral-2: 1.3320, lateral-3: 1.3526, lateral-4: 1.3662, lateral-5: 1.4274, epsilon: 295.3234]
2025-10-24 13:26:48.228257 Epoch [013/100], Step [0002/0002], [lateral-edge: 0.7545, lateral-2: 1.3265, lateral-3: 1.3440, lateral-4: 1.3589, lateral-5: 1.4212, epsilon: 313.8771]
2025-10-24 13:26:54.204399 Epoch [014/100], Step [0002/0002], [lateral-edge: 0.7535, lateral-2: 1.2926, lateral-3: 1.3104, lateral-4: 1.3350, lateral-5: 1.4033, epsilon: 332.2264]
2025-10-24 13:26:59.356692 Epoch [015/100], Step [0002/0002], [lateral-edge: 0.7529, lateral-2: 1.2931, lateral-3: 1.3133, lateral-4: 1.3318, lateral-5: 1.3976, epsilon: 350.3931]
