Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 128
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: close
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_128/run_3
Run: 3
Namespace(epoch=100, lr=0.0001, batchsize=128, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=3, enable_privacy=True, noise_multiplier=1.5, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 12:32:57.305213 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7736, lateral-2: 1.8094, lateral-3: 1.7678, lateral-4: 1.6770, lateral-5: 1.5626, epsilon: 5.1851]
2025-10-24 12:33:00.546279 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7735, lateral-2: 1.7465, lateral-3: 1.7179, lateral-4: 1.6507, lateral-5: 1.5596, epsilon: 7.8193]
2025-10-24 12:33:03.647487 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7734, lateral-2: 1.6923, lateral-3: 1.6720, lateral-4: 1.6248, lateral-5: 1.5569, epsilon: 10.0077]
2025-10-24 12:33:06.848988 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7733, lateral-2: 1.6578, lateral-3: 1.6378, lateral-4: 1.6033, lateral-5: 1.5543, epsilon: 11.9630]
2025-10-24 12:33:10.032221 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7731, lateral-2: 1.6391, lateral-3: 1.6165, lateral-4: 1.5892, lateral-5: 1.5518, epsilon: 13.7684]
2025-10-24 12:33:13.117059 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7730, lateral-2: 1.6272, lateral-3: 1.6019, lateral-4: 1.5799, lateral-5: 1.5496, epsilon: 15.4668]
2025-10-24 12:33:16.296431 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7727, lateral-2: 1.6172, lateral-3: 1.5900, lateral-4: 1.5727, lateral-5: 1.5476, epsilon: 17.0838]
2025-10-24 12:33:19.387705 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7726, lateral-2: 1.6069, lateral-3: 1.5792, lateral-4: 1.5663, lateral-5: 1.5456, epsilon: 18.6363]
2025-10-24 12:33:22.695397 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7723, lateral-2: 1.5963, lateral-3: 1.5690, lateral-4: 1.5602, lateral-5: 1.5436, epsilon: 20.1358]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_128/run_3/Inf-Net-10.pth
2025-10-24 12:33:26.037526 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7721, lateral-2: 1.5862, lateral-3: 1.5597, lateral-4: 1.5539, lateral-5: 1.5417, epsilon: 21.5910]
2025-10-24 12:33:29.119630 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7718, lateral-2: 1.5764, lateral-3: 1.5508, lateral-4: 1.5474, lateral-5: 1.5397, epsilon: 23.0082]
