Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: close
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_64/run_2/noise_multiplier_1.5
Run: 2
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_privacy=True, noise_multiplier=1.5, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 14:14:23.772407 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7903, lateral-2: 1.7164, lateral-3: 1.6936, lateral-4: 1.6006, lateral-5: 1.5596, epsilon: 5.1851]
2025-10-24 14:14:26.913575 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7901, lateral-2: 1.6412, lateral-3: 1.6279, lateral-4: 1.5582, lateral-5: 1.5564, epsilon: 7.8193]
2025-10-24 14:14:30.034919 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7899, lateral-2: 1.6080, lateral-3: 1.6007, lateral-4: 1.5384, lateral-5: 1.5535, epsilon: 10.0077]
2025-10-24 14:14:33.278722 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7898, lateral-2: 1.5936, lateral-3: 1.5917, lateral-4: 1.5304, lateral-5: 1.5508, epsilon: 11.9630]
2025-10-24 14:14:36.396784 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7897, lateral-2: 1.5836, lateral-3: 1.5855, lateral-4: 1.5255, lateral-5: 1.5482, epsilon: 13.7684]
2025-10-24 14:14:39.541050 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7896, lateral-2: 1.5738, lateral-3: 1.5781, lateral-4: 1.5204, lateral-5: 1.5459, epsilon: 15.4668]
2025-10-24 14:14:42.661446 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7895, lateral-2: 1.5633, lateral-3: 1.5696, lateral-4: 1.5150, lateral-5: 1.5439, epsilon: 17.0838]
2025-10-24 14:14:45.792383 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7893, lateral-2: 1.5529, lateral-3: 1.5603, lateral-4: 1.5094, lateral-5: 1.5419, epsilon: 18.6363]
2025-10-24 14:14:49.046292 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7893, lateral-2: 1.5433, lateral-3: 1.5514, lateral-4: 1.5039, lateral-5: 1.5398, epsilon: 20.1358]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_64/run_2/noise_multiplier_1.5/Inf-Net-10.pth
2025-10-24 14:14:52.662543 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7892, lateral-2: 1.5346, lateral-3: 1.5430, lateral-4: 1.4987, lateral-5: 1.5382, epsilon: 21.5910]
2025-10-24 14:14:55.815562 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7892, lateral-2: 1.5270, lateral-3: 1.5355, lateral-4: 1.4942, lateral-5: 1.5365, epsilon: 23.0082]
2025-10-24 14:14:58.941347 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7891, lateral-2: 1.5200, lateral-3: 1.5289, lateral-4: 1.4902, lateral-5: 1.5350, epsilon: 24.3925]
2025-10-24 14:15:02.274121 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7890, lateral-2: 1.5134, lateral-3: 1.5225, lateral-4: 1.4862, lateral-5: 1.5334, epsilon: 25.7479]
2025-10-24 14:15:05.465608 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7888, lateral-2: 1.5070, lateral-3: 1.5163, lateral-4: 1.4823, lateral-5: 1.5318, epsilon: 27.0777]
2025-10-24 14:15:08.603023 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7887, lateral-2: 1.5010, lateral-3: 1.5105, lateral-4: 1.4785, lateral-5: 1.5302, epsilon: 28.3845]
