Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 128
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: close
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_128/run_2
Run: 2
Namespace(epoch=100, lr=0.0001, batchsize=128, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_privacy=True, noise_multiplier=0.05, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 12:38:29.848858 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7762, lateral-2: 1.5660, lateral-3: 1.5527, lateral-4: 1.5500, lateral-5: 1.5090, epsilon: inf]
2025-10-24 12:38:34.198170 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7724, lateral-2: 1.4254, lateral-3: 1.4433, lateral-4: 1.4773, lateral-5: 1.4597, epsilon: inf]
2025-10-24 12:38:39.669157 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7664, lateral-2: 1.3294, lateral-3: 1.3854, lateral-4: 1.4143, lateral-5: 1.4291, epsilon: inf]
2025-10-24 12:38:46.532447 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7591, lateral-2: 1.2590, lateral-3: 1.3374, lateral-4: 1.3591, lateral-5: 1.3994, epsilon: inf]
2025-10-24 12:38:54.613098 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7564, lateral-2: 1.2005, lateral-3: 1.2887, lateral-4: 1.3102, lateral-5: 1.3639, epsilon: inf]
2025-10-24 12:39:04.758603 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7580, lateral-2: 1.1530, lateral-3: 1.2386, lateral-4: 1.2694, lateral-5: 1.3261, epsilon: inf]
2025-10-24 12:39:16.910355 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7570, lateral-2: 1.1179, lateral-3: 1.1891, lateral-4: 1.2366, lateral-5: 1.2908, epsilon: inf]
2025-10-24 12:39:39.326059 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7548, lateral-2: 1.0918, lateral-3: 1.1461, lateral-4: 1.2091, lateral-5: 1.2595, epsilon: inf]
2025-10-24 12:39:55.498602 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7537, lateral-2: 1.0681, lateral-3: 1.1161, lateral-4: 1.1851, lateral-5: 1.2314, epsilon: inf]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_128/run_2/Inf-Net-10.pth
2025-10-24 12:40:14.714598 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7533, lateral-2: 1.0444, lateral-3: 1.0951, lateral-4: 1.1647, lateral-5: 1.2057, epsilon: inf]
2025-10-24 12:40:37.007590 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7526, lateral-2: 1.0272, lateral-3: 1.0771, lateral-4: 1.1451, lateral-5: 1.1814, epsilon: inf]
2025-10-24 12:40:59.669860 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7515, lateral-2: 1.0147, lateral-3: 1.0603, lateral-4: 1.1259, lateral-5: 1.1596, epsilon: inf]
2025-10-24 12:41:34.145556 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7505, lateral-2: 0.9999, lateral-3: 1.0439, lateral-4: 1.1096, lateral-5: 1.1406, epsilon: inf]
2025-10-24 12:42:02.278312 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7500, lateral-2: 0.9840, lateral-3: 1.0279, lateral-4: 1.0958, lateral-5: 1.1247, epsilon: inf]
2025-10-24 12:42:35.423162 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7498, lateral-2: 0.9696, lateral-3: 1.0134, lateral-4: 1.0823, lateral-5: 1.1100, epsilon: inf]
2025-10-24 12:43:12.614494 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7494, lateral-2: 0.9567, lateral-3: 0.9995, lateral-4: 1.0694, lateral-5: 1.0953, epsilon: inf]
2025-10-24 12:43:48.391608 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7485, lateral-2: 0.9448, lateral-3: 0.9865, lateral-4: 1.0586, lateral-5: 1.0816, epsilon: inf]
2025-10-24 12:44:32.274119 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7477, lateral-2: 0.9336, lateral-3: 0.9744, lateral-4: 1.0476, lateral-5: 1.0680, epsilon: inf]
Training completed at Fri Oct 24 12:45:07 CEST 2025
