Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 128
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: close
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_128/run_3/noise_multiplier_0.05
Run: 3
Namespace(epoch=100, lr=0.0001, batchsize=128, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=3, enable_privacy=True, noise_multiplier=0.05, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 13:37:35.994708 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7760, lateral-2: 1.5499, lateral-3: 1.5024, lateral-4: 1.5368, lateral-5: 1.4935, epsilon: inf]
2025-10-24 13:37:40.810910 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7692, lateral-2: 1.4134, lateral-3: 1.3999, lateral-4: 1.4432, lateral-5: 1.4522, epsilon: inf]
2025-10-24 13:37:46.864199 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7641, lateral-2: 1.3127, lateral-3: 1.3331, lateral-4: 1.3752, lateral-5: 1.4261, epsilon: inf]
2025-10-24 13:37:54.311567 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7617, lateral-2: 1.2406, lateral-3: 1.2650, lateral-4: 1.3227, lateral-5: 1.3923, epsilon: inf]
2025-10-24 13:38:02.506287 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7605, lateral-2: 1.1812, lateral-3: 1.2066, lateral-4: 1.2796, lateral-5: 1.3575, epsilon: inf]
2025-10-24 13:38:13.257923 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7594, lateral-2: 1.1244, lateral-3: 1.1614, lateral-4: 1.2413, lateral-5: 1.3248, epsilon: inf]
2025-10-24 13:38:25.606795 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7582, lateral-2: 1.0787, lateral-3: 1.1269, lateral-4: 1.2132, lateral-5: 1.2910, epsilon: inf]
2025-10-24 13:38:54.286973 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7569, lateral-2: 1.0461, lateral-3: 1.0954, lateral-4: 1.1857, lateral-5: 1.2566, epsilon: inf]
2025-10-24 13:39:15.309085 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7557, lateral-2: 1.0214, lateral-3: 1.0698, lateral-4: 1.1607, lateral-5: 1.2269, epsilon: inf]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_128/run_3/noise_multiplier_0.05/Inf-Net-10.pth
2025-10-24 13:39:39.483869 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7549, lateral-2: 1.0007, lateral-3: 1.0513, lateral-4: 1.1393, lateral-5: 1.2027, epsilon: inf]
2025-10-24 13:40:05.484261 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7542, lateral-2: 0.9839, lateral-3: 1.0369, lateral-4: 1.1237, lateral-5: 1.1829, epsilon: inf]
2025-10-24 13:40:35.497080 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7534, lateral-2: 0.9686, lateral-3: 1.0217, lateral-4: 1.1072, lateral-5: 1.1639, epsilon: inf]
2025-10-24 13:41:18.103758 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7527, lateral-2: 0.9563, lateral-3: 1.0082, lateral-4: 1.0925, lateral-5: 1.1484, epsilon: inf]
2025-10-24 13:41:56.592113 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7521, lateral-2: 0.9457, lateral-3: 0.9968, lateral-4: 1.0798, lateral-5: 1.1341, epsilon: inf]
2025-10-24 13:42:37.461849 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7516, lateral-2: 0.9347, lateral-3: 0.9842, lateral-4: 1.0660, lateral-5: 1.1181, epsilon: inf]
2025-10-24 13:43:25.544535 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7510, lateral-2: 0.9246, lateral-3: 0.9734, lateral-4: 1.0540, lateral-5: 1.1043, epsilon: inf]
2025-10-24 13:44:13.621187 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7505, lateral-2: 0.9144, lateral-3: 0.9634, lateral-4: 1.0435, lateral-5: 1.0925, epsilon: inf]
2025-10-24 13:45:04.340195 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7498, lateral-2: 0.9038, lateral-3: 0.9524, lateral-4: 1.0329, lateral-5: 1.0802, epsilon: inf]
Training completed at Fri Oct 24 13:45:31 CEST 2025
