Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 128
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: dilation
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/dilation/batch_128/run_1
Run: 1
Namespace(epoch=100, lr=0.0001, batchsize=128, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=1, enable_privacy=True, noise_multiplier=1.5, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='dilation', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 12:45:32.716828 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7762, lateral-2: 1.8159, lateral-3: 1.6909, lateral-4: 1.6602, lateral-5: 1.5683, epsilon: 5.1851]
2025-10-24 12:45:35.799985 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7759, lateral-2: 1.7553, lateral-3: 1.6469, lateral-4: 1.6246, lateral-5: 1.5640, epsilon: 7.8193]
2025-10-24 12:45:38.908589 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7757, lateral-2: 1.7084, lateral-3: 1.6112, lateral-4: 1.5940, lateral-5: 1.5595, epsilon: 10.0077]
2025-10-24 12:45:42.151712 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7754, lateral-2: 1.6807, lateral-3: 1.5894, lateral-4: 1.5746, lateral-5: 1.5555, epsilon: 11.9630]
2025-10-24 12:45:45.227534 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7750, lateral-2: 1.6641, lateral-3: 1.5763, lateral-4: 1.5632, lateral-5: 1.5519, epsilon: 13.7684]
2025-10-24 12:45:48.342087 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7744, lateral-2: 1.6512, lateral-3: 1.5665, lateral-4: 1.5545, lateral-5: 1.5488, epsilon: 15.4668]
2025-10-24 12:45:51.433160 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7739, lateral-2: 1.6404, lateral-3: 1.5583, lateral-4: 1.5475, lateral-5: 1.5459, epsilon: 17.0838]
2025-10-24 12:45:54.569686 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7734, lateral-2: 1.6306, lateral-3: 1.5511, lateral-4: 1.5416, lateral-5: 1.5432, epsilon: 18.6363]
2025-10-24 12:45:57.794883 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7731, lateral-2: 1.6207, lateral-3: 1.5440, lateral-4: 1.5358, lateral-5: 1.5406, epsilon: 20.1358]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/dilation/batch_128/run_1/Inf-Net-10.pth
2025-10-24 12:46:01.022230 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7727, lateral-2: 1.6114, lateral-3: 1.5375, lateral-4: 1.5303, lateral-5: 1.5380, epsilon: 21.5910]
2025-10-24 12:46:04.134448 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7722, lateral-2: 1.6028, lateral-3: 1.5316, lateral-4: 1.5253, lateral-5: 1.5355, epsilon: 23.0082]
2025-10-24 12:46:07.227151 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7715, lateral-2: 1.5947, lateral-3: 1.5261, lateral-4: 1.5208, lateral-5: 1.5330, epsilon: 24.3925]
2025-10-24 12:46:10.456288 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7709, lateral-2: 1.5874, lateral-3: 1.5212, lateral-4: 1.5164, lateral-5: 1.5306, epsilon: 25.7479]
2025-10-24 12:46:13.561962 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7702, lateral-2: 1.5807, lateral-3: 1.5167, lateral-4: 1.5123, lateral-5: 1.5282, epsilon: 27.0777]
2025-10-24 12:46:16.653002 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7696, lateral-2: 1.5744, lateral-3: 1.5123, lateral-4: 1.5084, lateral-5: 1.5258, epsilon: 28.3845]
2025-10-24 12:46:19.706028 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7691, lateral-2: 1.5683, lateral-3: 1.5080, lateral-4: 1.5047, lateral-5: 1.5234, epsilon: 29.6705]
2025-10-24 12:46:22.827906 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7686, lateral-2: 1.5622, lateral-3: 1.5038, lateral-4: 1.5014, lateral-5: 1.5210, epsilon: 30.9378]
2025-10-24 12:46:26.069594 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7681, lateral-2: 1.5565, lateral-3: 1.4998, lateral-4: 1.4982, lateral-5: 1.5187, epsilon: 32.1878]
2025-10-24 12:46:29.252184 Epoch [019/100], Step [0001/0001], [lateral-edge: 0.7675, lateral-2: 1.5509, lateral-3: 1.4960, lateral-4: 1.4949, lateral-5: 1.5164, epsilon: 33.4220]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/dilation/batch_128/run_1/Inf-Net-20.pth
2025-10-24 12:46:32.542403 Epoch [020/100], Step [0001/0001], [lateral-edge: 0.7669, lateral-2: 1.5454, lateral-3: 1.4924, lateral-4: 1.4918, lateral-5: 1.5144, epsilon: 34.6416]
2025-10-24 12:46:35.706959 Epoch [021/100], Step [0001/0001], [lateral-edge: 0.7663, lateral-2: 1.5399, lateral-3: 1.4888, lateral-4: 1.4886, lateral-5: 1.5122, epsilon: 35.8478]
2025-10-24 12:46:38.980039 Epoch [022/100], Step [0001/0001], [lateral-edge: 0.7657, lateral-2: 1.5343, lateral-3: 1.4851, lateral-4: 1.4855, lateral-5: 1.5100, epsilon: 37.0413]
2025-10-24 12:46:42.178631 Epoch [023/100], Step [0001/0001], [lateral-edge: 0.7652, lateral-2: 1.5289, lateral-3: 1.4814, lateral-4: 1.4825, lateral-5: 1.5079, epsilon: 38.2232]
2025-10-24 12:46:45.394636 Epoch [024/100], Step [0001/0001], [lateral-edge: 0.7647, lateral-2: 1.5235, lateral-3: 1.4779, lateral-4: 1.4796, lateral-5: 1.5058, epsilon: 39.3941]
2025-10-24 12:46:48.532939 Epoch [025/100], Step [0001/0001], [lateral-edge: 0.7642, lateral-2: 1.5182, lateral-3: 1.4744, lateral-4: 1.4765, lateral-5: 1.5036, epsilon: 40.5547]
2025-10-24 12:46:51.672057 Epoch [026/100], Step [0001/0001], [lateral-edge: 0.7638, lateral-2: 1.5133, lateral-3: 1.4711, lateral-4: 1.4735, lateral-5: 1.5011, epsilon: 41.7056]
2025-10-24 12:46:55.122307 Epoch [027/100], Step [0001/0001], [lateral-edge: 0.7635, lateral-2: 1.5084, lateral-3: 1.4678, lateral-4: 1.4702, lateral-5: 1.4987, epsilon: 42.8474]
2025-10-24 12:46:58.217445 Epoch [028/100], Step [0001/0001], [lateral-edge: 0.7631, lateral-2: 1.5038, lateral-3: 1.4646, lateral-4: 1.4671, lateral-5: 1.4964, epsilon: 43.9805]
2025-10-24 12:47:01.368042 Epoch [029/100], Step [0001/0001], [lateral-edge: 0.7628, lateral-2: 1.4992, lateral-3: 1.4614, lateral-4: 1.4641, lateral-5: 1.4941, epsilon: 45.1054]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/dilation/batch_128/run_1/Inf-Net-30.pth
2025-10-24 12:47:04.839337 Epoch [030/100], Step [0001/0001], [lateral-edge: 0.7626, lateral-2: 1.4946, lateral-3: 1.4583, lateral-4: 1.4612, lateral-5: 1.4919, epsilon: 46.2226]
2025-10-24 12:47:08.083305 Epoch [031/100], Step [0001/0001], [lateral-edge: 0.7623, lateral-2: 1.4899, lateral-3: 1.4553, lateral-4: 1.4583, lateral-5: 1.4899, epsilon: 47.3324]
2025-10-24 12:47:11.493318 Epoch [032/100], Step [0001/0001], [lateral-edge: 0.7621, lateral-2: 1.4853, lateral-3: 1.4520, lateral-4: 1.4554, lateral-5: 1.4877, epsilon: 48.4352]
2025-10-24 12:47:14.659977 Epoch [033/100], Step [0001/0001], [lateral-edge: 0.7620, lateral-2: 1.4804, lateral-3: 1.4486, lateral-4: 1.4526, lateral-5: 1.4856, epsilon: 49.5313]
2025-10-24 12:47:17.917884 Epoch [034/100], Step [0001/0001], [lateral-edge: 0.7618, lateral-2: 1.4756, lateral-3: 1.4455, lateral-4: 1.4497, lateral-5: 1.4836, epsilon: 50.6210]
