Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 128
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: dilation
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/dilation/batch_128/run_2/noise_multiplier_0.3
Run: 2
Namespace(epoch=100, lr=0.0001, batchsize=128, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_privacy=True, noise_multiplier=0.3, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='dilation', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 12:53:52.150065 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7693, lateral-2: 1.6509, lateral-3: 1.6634, lateral-4: 1.6060, lateral-5: 1.5477, epsilon: 40.5547]
2025-10-24 12:53:55.307461 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7688, lateral-2: 1.5742, lateral-3: 1.5632, lateral-4: 1.5252, lateral-5: 1.5292, epsilon: 67.3649]
2025-10-24 12:53:58.510366 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7681, lateral-2: 1.5386, lateral-3: 1.5239, lateral-4: 1.4993, lateral-5: 1.5125, epsilon: 91.8295]
2025-10-24 12:54:01.801169 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7674, lateral-2: 1.5096, lateral-3: 1.4914, lateral-4: 1.4767, lateral-5: 1.4975, epsilon: 115.0760]
2025-10-24 12:54:05.170660 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7664, lateral-2: 1.4833, lateral-3: 1.4647, lateral-4: 1.4549, lateral-5: 1.4836, epsilon: 137.5426]
2025-10-24 12:54:08.566870 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7655, lateral-2: 1.4580, lateral-3: 1.4429, lateral-4: 1.4347, lateral-5: 1.4711, epsilon: 159.4546]
2025-10-24 12:54:11.964084 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7646, lateral-2: 1.4330, lateral-3: 1.4236, lateral-4: 1.4163, lateral-5: 1.4596, epsilon: 180.9461]
2025-10-24 12:54:15.390473 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7636, lateral-2: 1.4083, lateral-3: 1.4061, lateral-4: 1.3999, lateral-5: 1.4491, epsilon: 202.1045]
2025-10-24 12:54:18.768570 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7626, lateral-2: 1.3835, lateral-3: 1.3893, lateral-4: 1.3852, lateral-5: 1.4391, epsilon: 222.9906]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/dilation/batch_128/run_2/noise_multiplier_0.3/Inf-Net-10.pth
2025-10-24 12:54:22.597409 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7616, lateral-2: 1.3592, lateral-3: 1.3728, lateral-4: 1.3717, lateral-5: 1.4293, epsilon: 243.6485]
