Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 32
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: erosion
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/erosion/batch_32/run_1/noise_multiplier_1.5
Run: 1
Namespace(epoch=100, lr=0.0001, batchsize=32, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=1, enable_privacy=True, noise_multiplier=1.5, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='erosion', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 14:00:37.879868 Epoch [001/100], Step [0002/0002], [lateral-edge: 0.7680, lateral-2: 1.6037, lateral-3: 1.5920, lateral-4: 1.5893, lateral-5: 1.5336, epsilon: 4.5424]
2025-10-24 14:00:42.953494 Epoch [002/100], Step [0002/0002], [lateral-edge: 0.7680, lateral-2: 1.5923, lateral-3: 1.5787, lateral-4: 1.5721, lateral-5: 1.5256, epsilon: 6.4178]
2025-10-24 14:00:47.529292 Epoch [003/100], Step [0002/0002], [lateral-edge: 0.7674, lateral-2: 1.5748, lateral-3: 1.5590, lateral-4: 1.5487, lateral-5: 1.5199, epsilon: 7.9389]
2025-10-24 14:00:52.227121 Epoch [004/100], Step [0002/0002], [lateral-edge: 0.7666, lateral-2: 1.5564, lateral-3: 1.5401, lateral-4: 1.5350, lateral-5: 1.5154, epsilon: 9.2777]
2025-10-24 14:00:56.884180 Epoch [005/100], Step [0002/0002], [lateral-edge: 0.7665, lateral-2: 1.5531, lateral-3: 1.5416, lateral-4: 1.5349, lateral-5: 1.5232, epsilon: 10.5000]
2025-10-24 14:01:01.025927 Epoch [006/100], Step [0002/0002], [lateral-edge: 0.7658, lateral-2: 1.5284, lateral-3: 1.5133, lateral-4: 1.5059, lateral-5: 1.5060, epsilon: 11.6397]
2025-10-24 14:01:05.785730 Epoch [007/100], Step [0002/0002], [lateral-edge: 0.7665, lateral-2: 1.5308, lateral-3: 1.5160, lateral-4: 1.5124, lateral-5: 1.5107, epsilon: 12.7166]
2025-10-24 14:01:10.527837 Epoch [008/100], Step [0002/0002], [lateral-edge: 0.7662, lateral-2: 1.5310, lateral-3: 1.5167, lateral-4: 1.5140, lateral-5: 1.5191, epsilon: 13.7439]
2025-10-24 14:01:14.921800 Epoch [009/100], Step [0002/0002], [lateral-edge: 0.7671, lateral-2: 1.5145, lateral-3: 1.4975, lateral-4: 1.4906, lateral-5: 1.5058, epsilon: 14.7305]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/erosion/batch_32/run_1/noise_multiplier_1.5/Inf-Net-10.pth
2025-10-24 14:01:19.697941 Epoch [010/100], Step [0002/0002], [lateral-edge: 0.7655, lateral-2: 1.5096, lateral-3: 1.4882, lateral-4: 1.4812, lateral-5: 1.5028, epsilon: 15.6831]
