Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 32
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: open
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/open/batch_32/run_2/noise_multiplier_1.5
Run: 2
Namespace(epoch=100, lr=0.0001, batchsize=32, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_privacy=True, noise_multiplier=1.5, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='open', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 13:36:53.349298 Epoch [001/100], Step [0002/0002], [lateral-edge: 0.7802, lateral-2: 1.7604, lateral-3: 1.6450, lateral-4: 1.5639, lateral-5: 1.5313, epsilon: 4.5424]
2025-10-24 13:36:58.330504 Epoch [002/100], Step [0002/0002], [lateral-edge: 0.7804, lateral-2: 1.7284, lateral-3: 1.6266, lateral-4: 1.5499, lateral-5: 1.5288, epsilon: 6.4178]
2025-10-24 13:37:03.271133 Epoch [003/100], Step [0002/0002], [lateral-edge: 0.7789, lateral-2: 1.6776, lateral-3: 1.5935, lateral-4: 1.5280, lateral-5: 1.5205, epsilon: 7.9389]
2025-10-24 13:37:08.313886 Epoch [004/100], Step [0002/0002], [lateral-edge: 0.7803, lateral-2: 1.6467, lateral-3: 1.5716, lateral-4: 1.5097, lateral-5: 1.5154, epsilon: 9.2777]
2025-10-24 13:37:13.101396 Epoch [005/100], Step [0002/0002], [lateral-edge: 0.7786, lateral-2: 1.6372, lateral-3: 1.5642, lateral-4: 1.5054, lateral-5: 1.5171, epsilon: 10.5000]
2025-10-24 13:37:18.258651 Epoch [006/100], Step [0002/0002], [lateral-edge: 0.7780, lateral-2: 1.6082, lateral-3: 1.5410, lateral-4: 1.4896, lateral-5: 1.5060, epsilon: 11.6397]
2025-10-24 13:37:23.031392 Epoch [007/100], Step [0002/0002], [lateral-edge: 0.7793, lateral-2: 1.6185, lateral-3: 1.5565, lateral-4: 1.5070, lateral-5: 1.5221, epsilon: 12.7166]
2025-10-24 13:37:27.648570 Epoch [008/100], Step [0002/0002], [lateral-edge: 0.7809, lateral-2: 1.6067, lateral-3: 1.5527, lateral-4: 1.5101, lateral-5: 1.5243, epsilon: 13.7439]
2025-10-24 13:37:32.958060 Epoch [009/100], Step [0002/0002], [lateral-edge: 0.7789, lateral-2: 1.5558, lateral-3: 1.5086, lateral-4: 1.4683, lateral-5: 1.5028, epsilon: 14.7305]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/open/batch_32/run_2/noise_multiplier_1.5/Inf-Net-10.pth
2025-10-24 13:37:37.460661 Epoch [010/100], Step [0002/0002], [lateral-edge: 0.7795, lateral-2: 1.5721, lateral-3: 1.5253, lateral-4: 1.4894, lateral-5: 1.5160, epsilon: 15.6831]
2025-10-24 13:37:42.223833 Epoch [011/100], Step [0002/0002], [lateral-edge: 0.7795, lateral-2: 1.5673, lateral-3: 1.5291, lateral-4: 1.4886, lateral-5: 1.5171, epsilon: 16.6066]
2025-10-24 13:37:46.871382 Epoch [012/100], Step [0002/0002], [lateral-edge: 0.7789, lateral-2: 1.5500, lateral-3: 1.5106, lateral-4: 1.4768, lateral-5: 1.5068, epsilon: 17.5049]
2025-10-24 13:37:52.321108 Epoch [013/100], Step [0002/0002], [lateral-edge: 0.7777, lateral-2: 1.5377, lateral-3: 1.4995, lateral-4: 1.4704, lateral-5: 1.5022, epsilon: 18.3811]
2025-10-24 13:37:57.030091 Epoch [014/100], Step [0002/0002], [lateral-edge: 0.7785, lateral-2: 1.5249, lateral-3: 1.4870, lateral-4: 1.4635, lateral-5: 1.5030, epsilon: 19.2376]
2025-10-24 13:38:01.397110 Epoch [015/100], Step [0002/0002], [lateral-edge: 0.7796, lateral-2: 1.5038, lateral-3: 1.4721, lateral-4: 1.4476, lateral-5: 1.4954, epsilon: 20.0766]
2025-10-24 13:38:05.768194 Epoch [016/100], Step [0002/0002], [lateral-edge: 0.7779, lateral-2: 1.5077, lateral-3: 1.4834, lateral-4: 1.4606, lateral-5: 1.5013, epsilon: 20.8997]
2025-10-24 13:38:10.576990 Epoch [017/100], Step [0002/0002], [lateral-edge: 0.7783, lateral-2: 1.5084, lateral-3: 1.4840, lateral-4: 1.4576, lateral-5: 1.5015, epsilon: 21.7085]
2025-10-24 13:38:15.048356 Epoch [018/100], Step [0002/0002], [lateral-edge: 0.7776, lateral-2: 1.4984, lateral-3: 1.4717, lateral-4: 1.4532, lateral-5: 1.4995, epsilon: 22.5041]
2025-10-24 13:38:19.493632 Epoch [019/100], Step [0002/0002], [lateral-edge: 0.7784, lateral-2: 1.4977, lateral-3: 1.4752, lateral-4: 1.4545, lateral-5: 1.5034, epsilon: 23.2876]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/open/batch_32/run_2/noise_multiplier_1.5/Inf-Net-20.pth
2025-10-24 13:38:24.826118 Epoch [020/100], Step [0002/0002], [lateral-edge: 0.7771, lateral-2: 1.4887, lateral-3: 1.4618, lateral-4: 1.4428, lateral-5: 1.4936, epsilon: 24.0600]
2025-10-24 13:38:29.151869 Epoch [021/100], Step [0002/0002], [lateral-edge: 0.7768, lateral-2: 1.4555, lateral-3: 1.4313, lateral-4: 1.4196, lateral-5: 1.4801, epsilon: 24.8221]
2025-10-24 13:38:33.555974 Epoch [022/100], Step [0002/0002], [lateral-edge: 0.7774, lateral-2: 1.4629, lateral-3: 1.4402, lateral-4: 1.4265, lateral-5: 1.4820, epsilon: 25.5747]
2025-10-24 13:38:38.440369 Epoch [023/100], Step [0002/0002], [lateral-edge: 0.7768, lateral-2: 1.4559, lateral-3: 1.4354, lateral-4: 1.4174, lateral-5: 1.4813, epsilon: 26.3182]
2025-10-24 13:38:42.822203 Epoch [024/100], Step [0002/0002], [lateral-edge: 0.7761, lateral-2: 1.4755, lateral-3: 1.4566, lateral-4: 1.4413, lateral-5: 1.4934, epsilon: 27.0534]
2025-10-24 13:38:47.282496 Epoch [025/100], Step [0002/0002], [lateral-edge: 0.7767, lateral-2: 1.4568, lateral-3: 1.4358, lateral-4: 1.4291, lateral-5: 1.4854, epsilon: 27.7808]
2025-10-24 13:38:52.152275 Epoch [026/100], Step [0002/0002], [lateral-edge: 0.7760, lateral-2: 1.4561, lateral-3: 1.4390, lateral-4: 1.4276, lateral-5: 1.4861, epsilon: 28.5007]
2025-10-24 13:38:56.663723 Epoch [027/100], Step [0002/0002], [lateral-edge: 0.7761, lateral-2: 1.4237, lateral-3: 1.4095, lateral-4: 1.3960, lateral-5: 1.4681, epsilon: 29.2137]
2025-10-24 13:39:01.175851 Epoch [028/100], Step [0002/0002], [lateral-edge: 0.7749, lateral-2: 1.4532, lateral-3: 1.4373, lateral-4: 1.4268, lateral-5: 1.4840, epsilon: 29.9201]
2025-10-24 13:39:05.980262 Epoch [029/100], Step [0002/0002], [lateral-edge: 0.7749, lateral-2: 1.4170, lateral-3: 1.4004, lateral-4: 1.4023, lateral-5: 1.4671, epsilon: 30.6202]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/open/batch_32/run_2/noise_multiplier_1.5/Inf-Net-30.pth
2025-10-24 13:39:10.820414 Epoch [030/100], Step [0002/0002], [lateral-edge: 0.7757, lateral-2: 1.4199, lateral-3: 1.4120, lateral-4: 1.4072, lateral-5: 1.4720, epsilon: 31.3145]
2025-10-24 13:39:15.618067 Epoch [031/100], Step [0002/0002], [lateral-edge: 0.7755, lateral-2: 1.4113, lateral-3: 1.3989, lateral-4: 1.3963, lateral-5: 1.4653, epsilon: 32.0031]
2025-10-24 13:39:20.123225 Epoch [032/100], Step [0002/0002], [lateral-edge: 0.7747, lateral-2: 1.4107, lateral-3: 1.4040, lateral-4: 1.4016, lateral-5: 1.4676, epsilon: 32.6863]
2025-10-24 13:39:25.614768 Epoch [033/100], Step [0002/0002], [lateral-edge: 0.7748, lateral-2: 1.3982, lateral-3: 1.3894, lateral-4: 1.3881, lateral-5: 1.4610, epsilon: 33.3645]
2025-10-24 13:39:30.582013 Epoch [034/100], Step [0002/0002], [lateral-edge: 0.7736, lateral-2: 1.4120, lateral-3: 1.4011, lateral-4: 1.4041, lateral-5: 1.4654, epsilon: 34.0377]
2025-10-24 13:39:35.313188 Epoch [035/100], Step [0002/0002], [lateral-edge: 0.7747, lateral-2: 1.4009, lateral-3: 1.3952, lateral-4: 1.3985, lateral-5: 1.4650, epsilon: 34.7063]
2025-10-24 13:39:39.992524 Epoch [036/100], Step [0002/0002], [lateral-edge: 0.7752, lateral-2: 1.4003, lateral-3: 1.3961, lateral-4: 1.4020, lateral-5: 1.4643, epsilon: 35.3704]
2025-10-24 13:39:44.832134 Epoch [037/100], Step [0002/0002], [lateral-edge: 0.7747, lateral-2: 1.3928, lateral-3: 1.3877, lateral-4: 1.3876, lateral-5: 1.4605, epsilon: 36.0302]
2025-10-24 13:39:49.376914 Epoch [038/100], Step [0002/0002], [lateral-edge: 0.7737, lateral-2: 1.3784, lateral-3: 1.3772, lateral-4: 1.3805, lateral-5: 1.4554, epsilon: 36.6859]
2025-10-24 13:39:54.256677 Epoch [039/100], Step [0002/0002], [lateral-edge: 0.7731, lateral-2: 1.3596, lateral-3: 1.3541, lateral-4: 1.3651, lateral-5: 1.4436, epsilon: 37.3377]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/open/batch_32/run_2/noise_multiplier_1.5/Inf-Net-40.pth
2025-10-24 13:39:58.943436 Epoch [040/100], Step [0002/0002], [lateral-edge: 0.7731, lateral-2: 1.3668, lateral-3: 1.3666, lateral-4: 1.3707, lateral-5: 1.4484, epsilon: 37.9856]
2025-10-24 13:40:04.238370 Epoch [041/100], Step [0002/0002], [lateral-edge: 0.7734, lateral-2: 1.3602, lateral-3: 1.3610, lateral-4: 1.3732, lateral-5: 1.4475, epsilon: 38.6299]
