Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: open
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/open/batch_64/run_3/noise_multiplier_0.05
Run: 3
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=3, enable_privacy=True, noise_multiplier=0.05, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='open', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 13:24:52.056527 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7793, lateral-2: 1.5395, lateral-3: 1.5480, lateral-4: 1.5216, lateral-5: 1.5215, epsilon: inf]
2025-10-24 13:24:56.474074 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7714, lateral-2: 1.3933, lateral-3: 1.4105, lateral-4: 1.4388, lateral-5: 1.4626, epsilon: inf]
2025-10-24 13:25:01.839728 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7673, lateral-2: 1.2877, lateral-3: 1.3332, lateral-4: 1.3870, lateral-5: 1.4176, epsilon: inf]
2025-10-24 13:25:08.592900 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7659, lateral-2: 1.2159, lateral-3: 1.2670, lateral-4: 1.3350, lateral-5: 1.3746, epsilon: inf]
2025-10-24 13:25:15.956216 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7646, lateral-2: 1.1574, lateral-3: 1.2109, lateral-4: 1.2965, lateral-5: 1.3408, epsilon: inf]
2025-10-24 13:25:25.478021 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7629, lateral-2: 1.1084, lateral-3: 1.1676, lateral-4: 1.2657, lateral-5: 1.3157, epsilon: inf]
2025-10-24 13:25:36.679341 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7608, lateral-2: 1.0700, lateral-3: 1.1361, lateral-4: 1.2391, lateral-5: 1.2940, epsilon: inf]
2025-10-24 13:25:58.384950 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7592, lateral-2: 1.0399, lateral-3: 1.1112, lateral-4: 1.2096, lateral-5: 1.2735, epsilon: inf]
2025-10-24 13:26:13.974173 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7583, lateral-2: 1.0149, lateral-3: 1.0902, lateral-4: 1.1862, lateral-5: 1.2520, epsilon: inf]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/open/batch_64/run_3/noise_multiplier_0.05/Inf-Net-10.pth
2025-10-24 13:26:33.069518 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7575, lateral-2: 0.9957, lateral-3: 1.0714, lateral-4: 1.1678, lateral-5: 1.2285, epsilon: inf]
2025-10-24 13:26:53.977376 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7564, lateral-2: 0.9792, lateral-3: 1.0527, lateral-4: 1.1436, lateral-5: 1.2040, epsilon: inf]
2025-10-24 13:27:16.490623 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7555, lateral-2: 0.9655, lateral-3: 1.0363, lateral-4: 1.1221, lateral-5: 1.1818, epsilon: inf]
2025-10-24 13:27:48.931073 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7549, lateral-2: 0.9529, lateral-3: 1.0210, lateral-4: 1.1043, lateral-5: 1.1630, epsilon: inf]
2025-10-24 13:28:17.590114 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7542, lateral-2: 0.9396, lateral-3: 1.0068, lateral-4: 1.0887, lateral-5: 1.1464, epsilon: inf]
2025-10-24 13:28:50.671004 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7535, lateral-2: 0.9269, lateral-3: 0.9935, lateral-4: 1.0760, lateral-5: 1.1308, epsilon: inf]
2025-10-24 13:29:25.542214 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7530, lateral-2: 0.9133, lateral-3: 0.9808, lateral-4: 1.0656, lateral-5: 1.1155, epsilon: inf]
2025-10-24 13:29:58.645608 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7525, lateral-2: 0.9013, lateral-3: 0.9680, lateral-4: 1.0527, lateral-5: 1.1003, epsilon: inf]
2025-10-24 13:30:42.159233 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7518, lateral-2: 0.8896, lateral-3: 0.9564, lateral-4: 1.0411, lateral-5: 1.0865, epsilon: inf]
Training completed at Fri Oct 24 13:31:04 CEST 2025
