Backbone loading: Res2Net50
Not loading weights from weights file
################################################## 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 32
Morphology: close
Save Path: ./Snapshots/save_weights/Inf-Net_Morph/batch_32/run_1
Run: 1
Namespace(epoch=100, lr=0.0001, batchsize=32, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=1, enable_morphology=True, morph_operation='close', morph_kernel_size=3, device='cuda')
 ##################################################
2025-10-23 17:18:51.999826 Epoch [001/100], Step [0002/0002], [lateral-edge: 0.7653, lateral-2: 1.5280, lateral-3: 1.5450, lateral-4: 1.5834, lateral-5: 1.5352]
2025-10-23 17:18:53.648542 Epoch [002/100], Step [0002/0002], [lateral-edge: 0.7572, lateral-2: 1.4109, lateral-3: 1.4389, lateral-4: 1.4890, lateral-5: 1.5239]
2025-10-23 17:18:55.287859 Epoch [003/100], Step [0002/0002], [lateral-edge: 0.7495, lateral-2: 1.3746, lateral-3: 1.4025, lateral-4: 1.4851, lateral-5: 1.5227]
2025-10-23 17:18:56.951463 Epoch [004/100], Step [0002/0002], [lateral-edge: 0.7445, lateral-2: 1.3523, lateral-3: 1.3802, lateral-4: 1.4398, lateral-5: 1.5084]
2025-10-23 17:18:58.609431 Epoch [005/100], Step [0002/0002], [lateral-edge: 0.7390, lateral-2: 1.3060, lateral-3: 1.3430, lateral-4: 1.4160, lateral-5: 1.4869]
2025-10-23 17:19:00.252882 Epoch [006/100], Step [0002/0002], [lateral-edge: 0.7355, lateral-2: 1.3036, lateral-3: 1.3313, lateral-4: 1.4063, lateral-5: 1.4630]
2025-10-23 17:19:01.902656 Epoch [007/100], Step [0002/0002], [lateral-edge: 0.7326, lateral-2: 1.2053, lateral-3: 1.2543, lateral-4: 1.3595, lateral-5: 1.4632]
2025-10-23 17:19:03.549395 Epoch [008/100], Step [0002/0002], [lateral-edge: 0.7302, lateral-2: 1.1064, lateral-3: 1.1540, lateral-4: 1.2582, lateral-5: 1.5169]
2025-10-23 17:19:05.185295 Epoch [009/100], Step [0002/0002], [lateral-edge: 0.7277, lateral-2: 1.0246, lateral-3: 1.0751, lateral-4: 1.1767, lateral-5: 1.5942]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_32/run_1/Inf-Net-10.pth
2025-10-23 17:19:07.744372 Epoch [010/100], Step [0002/0002], [lateral-edge: 0.7261, lateral-2: 0.9869, lateral-3: 1.0445, lateral-4: 1.1447, lateral-5: 1.6107]
2025-10-23 17:19:09.361605 Epoch [011/100], Step [0002/0002], [lateral-edge: 0.7245, lateral-2: 0.9802, lateral-3: 1.0412, lateral-4: 1.1548, lateral-5: 1.5925]
2025-10-23 17:19:10.995494 Epoch [012/100], Step [0002/0002], [lateral-edge: 0.7228, lateral-2: 0.9683, lateral-3: 1.0309, lateral-4: 1.1395, lateral-5: 1.5362]
2025-10-23 17:19:12.618498 Epoch [013/100], Step [0002/0002], [lateral-edge: 0.7214, lateral-2: 0.9319, lateral-3: 0.9939, lateral-4: 1.1011, lateral-5: 1.5344]
2025-10-23 17:19:14.257034 Epoch [014/100], Step [0002/0002], [lateral-edge: 0.7197, lateral-2: 0.8898, lateral-3: 0.9591, lateral-4: 1.0726, lateral-5: 1.5291]
2025-10-23 17:19:15.896380 Epoch [015/100], Step [0002/0002], [lateral-edge: 0.7180, lateral-2: 0.8664, lateral-3: 0.9392, lateral-4: 1.0488, lateral-5: 1.5207]
2025-10-23 17:19:17.522701 Epoch [016/100], Step [0002/0002], [lateral-edge: 0.7170, lateral-2: 0.8134, lateral-3: 0.8921, lateral-4: 1.0149, lateral-5: 1.4930]
2025-10-23 17:19:19.182571 Epoch [017/100], Step [0002/0002], [lateral-edge: 0.7156, lateral-2: 0.7935, lateral-3: 0.8753, lateral-4: 0.9953, lateral-5: 1.4863]
2025-10-23 17:19:20.940529 Epoch [018/100], Step [0002/0002], [lateral-edge: 0.7142, lateral-2: 0.8086, lateral-3: 0.8859, lateral-4: 1.0016, lateral-5: 1.4628]
2025-10-23 17:19:22.586050 Epoch [019/100], Step [0002/0002], [lateral-edge: 0.7134, lateral-2: 0.8300, lateral-3: 0.9042, lateral-4: 1.0127, lateral-5: 1.4452]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_32/run_1/Inf-Net-20.pth
2025-10-23 17:19:24.486661 Epoch [020/100], Step [0002/0002], [lateral-edge: 0.7124, lateral-2: 0.7941, lateral-3: 0.8742, lateral-4: 0.9915, lateral-5: 1.4680]
2025-10-23 17:19:26.139142 Epoch [021/100], Step [0002/0002], [lateral-edge: 0.7112, lateral-2: 0.8688, lateral-3: 0.9374, lateral-4: 1.0405, lateral-5: 1.4413]
2025-10-23 17:19:27.801337 Epoch [022/100], Step [0002/0002], [lateral-edge: 0.7100, lateral-2: 0.8006, lateral-3: 0.8831, lateral-4: 1.0075, lateral-5: 1.4390]
2025-10-23 17:19:29.435589 Epoch [023/100], Step [0002/0002], [lateral-edge: 0.7101, lateral-2: 0.7755, lateral-3: 0.8571, lateral-4: 0.9760, lateral-5: 1.4154]
2025-10-23 17:19:31.072338 Epoch [024/100], Step [0002/0002], [lateral-edge: 0.7084, lateral-2: 0.7409, lateral-3: 0.8216, lateral-4: 0.9392, lateral-5: 1.4063]
2025-10-23 17:19:32.708943 Epoch [025/100], Step [0002/0002], [lateral-edge: 0.7077, lateral-2: 0.7169, lateral-3: 0.8034, lateral-4: 0.9218, lateral-5: 1.3853]
2025-10-23 17:19:34.362104 Epoch [026/100], Step [0002/0002], [lateral-edge: 0.7067, lateral-2: 0.7189, lateral-3: 0.8035, lateral-4: 0.9276, lateral-5: 1.3631]
2025-10-23 17:19:36.011554 Epoch [027/100], Step [0002/0002], [lateral-edge: 0.7062, lateral-2: 0.7258, lateral-3: 0.8101, lateral-4: 0.9261, lateral-5: 1.3320]
2025-10-23 17:19:37.671499 Epoch [028/100], Step [0002/0002], [lateral-edge: 0.7051, lateral-2: 0.6855, lateral-3: 0.7827, lateral-4: 0.9085, lateral-5: 1.3536]
2025-10-23 17:19:39.306341 Epoch [029/100], Step [0002/0002], [lateral-edge: 0.7043, lateral-2: 0.6618, lateral-3: 0.7620, lateral-4: 0.8915, lateral-5: 1.3065]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_32/run_1/Inf-Net-30.pth
2025-10-23 17:19:41.233491 Epoch [030/100], Step [0002/0002], [lateral-edge: 0.7033, lateral-2: 0.6692, lateral-3: 0.7642, lateral-4: 0.8908, lateral-5: 1.2791]
2025-10-23 17:19:42.879654 Epoch [031/100], Step [0002/0002], [lateral-edge: 0.7027, lateral-2: 0.7025, lateral-3: 0.7908, lateral-4: 0.9123, lateral-5: 1.2658]
2025-10-23 17:19:44.525131 Epoch [032/100], Step [0002/0002], [lateral-edge: 0.7021, lateral-2: 0.6821, lateral-3: 0.7731, lateral-4: 0.8937, lateral-5: 1.2253]
2025-10-23 17:19:46.169353 Epoch [033/100], Step [0002/0002], [lateral-edge: 0.7014, lateral-2: 0.6450, lateral-3: 0.7494, lateral-4: 0.8798, lateral-5: 1.2512]
2025-10-23 17:19:47.806947 Epoch [034/100], Step [0002/0002], [lateral-edge: 0.7007, lateral-2: 0.6502, lateral-3: 0.7501, lateral-4: 0.8797, lateral-5: 1.2331]
2025-10-23 17:19:49.431783 Epoch [035/100], Step [0002/0002], [lateral-edge: 0.7001, lateral-2: 0.6522, lateral-3: 0.7534, lateral-4: 0.8785, lateral-5: 1.1986]
2025-10-23 17:19:51.064128 Epoch [036/100], Step [0002/0002], [lateral-edge: 0.6999, lateral-2: 0.6369, lateral-3: 0.7361, lateral-4: 0.8650, lateral-5: 1.2271]
2025-10-23 17:19:52.717532 Epoch [037/100], Step [0002/0002], [lateral-edge: 0.6991, lateral-2: 0.6474, lateral-3: 0.7480, lateral-4: 0.8750, lateral-5: 1.2056]
2025-10-23 17:19:54.360705 Epoch [038/100], Step [0002/0002], [lateral-edge: 0.6987, lateral-2: 0.6318, lateral-3: 0.7368, lateral-4: 0.8710, lateral-5: 1.1791]
2025-10-23 17:19:55.996135 Epoch [039/100], Step [0002/0002], [lateral-edge: 0.6979, lateral-2: 0.6735, lateral-3: 0.7728, lateral-4: 0.8948, lateral-5: 1.1817]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_32/run_1/Inf-Net-40.pth
2025-10-23 17:19:57.807624 Epoch [040/100], Step [0002/0002], [lateral-edge: 0.6979, lateral-2: 0.6578, lateral-3: 0.7555, lateral-4: 0.8880, lateral-5: 1.2469]
2025-10-23 17:19:59.443306 Epoch [041/100], Step [0002/0002], [lateral-edge: 0.6975, lateral-2: 0.6713, lateral-3: 0.7675, lateral-4: 0.8985, lateral-5: 1.2847]
2025-10-23 17:20:01.078848 Epoch [042/100], Step [0002/0002], [lateral-edge: 0.6970, lateral-2: 0.6252, lateral-3: 0.7293, lateral-4: 0.8682, lateral-5: 1.2242]
2025-10-23 17:20:02.731904 Epoch [043/100], Step [0002/0002], [lateral-edge: 0.6964, lateral-2: 0.6591, lateral-3: 0.7605, lateral-4: 0.8918, lateral-5: 1.1779]
2025-10-23 17:20:04.353878 Epoch [044/100], Step [0002/0002], [lateral-edge: 0.6956, lateral-2: 0.6487, lateral-3: 0.7529, lateral-4: 0.8800, lateral-5: 1.1005]
2025-10-23 17:20:05.991576 Epoch [045/100], Step [0002/0002], [lateral-edge: 0.6957, lateral-2: 0.5961, lateral-3: 0.7028, lateral-4: 0.8395, lateral-5: 1.1414]
2025-10-23 17:20:07.630087 Epoch [046/100], Step [0002/0002], [lateral-edge: 0.6946, lateral-2: 0.5949, lateral-3: 0.7057, lateral-4: 0.8442, lateral-5: 1.1569]
2025-10-23 17:20:09.246764 Epoch [047/100], Step [0002/0002], [lateral-edge: 0.6949, lateral-2: 0.5877, lateral-3: 0.6985, lateral-4: 0.8393, lateral-5: 1.1167]
2025-10-23 17:20:10.891854 Epoch [048/100], Step [0002/0002], [lateral-edge: 0.6940, lateral-2: 0.5783, lateral-3: 0.6972, lateral-4: 0.8400, lateral-5: 1.1172]
2025-10-23 17:20:12.555919 Epoch [049/100], Step [0002/0002], [lateral-edge: 0.6939, lateral-2: 0.5739, lateral-3: 0.6927, lateral-4: 0.8331, lateral-5: 1.0756]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_32/run_1/Inf-Net-50.pth
2025-10-23 17:20:14.359002 Epoch [050/100], Step [0002/0002], [lateral-edge: 0.6936, lateral-2: 0.5887, lateral-3: 0.7049, lateral-4: 0.8420, lateral-5: 1.0784]
2025-10-23 17:20:16.045167 Epoch [051/100], Step [0002/0002], [lateral-edge: 0.6937, lateral-2: 0.5771, lateral-3: 0.6887, lateral-4: 0.8268, lateral-5: 1.1102]
2025-10-23 17:20:17.700948 Epoch [052/100], Step [0002/0002], [lateral-edge: 0.6934, lateral-2: 0.5640, lateral-3: 0.6794, lateral-4: 0.8209, lateral-5: 1.0596]
2025-10-23 17:20:19.330514 Epoch [053/100], Step [0002/0002], [lateral-edge: 0.6936, lateral-2: 0.6033, lateral-3: 0.7161, lateral-4: 0.8567, lateral-5: 1.1953]
2025-10-23 17:20:20.978545 Epoch [054/100], Step [0002/0002], [lateral-edge: 0.6935, lateral-2: 0.5830, lateral-3: 0.6987, lateral-4: 0.8417, lateral-5: 1.0950]
2025-10-23 17:20:22.654605 Epoch [055/100], Step [0002/0002], [lateral-edge: 0.6936, lateral-2: 0.5679, lateral-3: 0.6838, lateral-4: 0.8257, lateral-5: 1.0810]
2025-10-23 17:20:24.285042 Epoch [056/100], Step [0002/0002], [lateral-edge: 0.6938, lateral-2: 0.6047, lateral-3: 0.7139, lateral-4: 0.8515, lateral-5: 1.0988]
2025-10-23 17:20:25.926182 Epoch [057/100], Step [0002/0002], [lateral-edge: 0.6936, lateral-2: 0.5695, lateral-3: 0.6841, lateral-4: 0.8222, lateral-5: 1.0771]
