Backbone loading: Res2Net50
Not loading weights from weights file
################################################## 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 32
Morphology: dilation
Save Path: ./Snapshots/save_weights/Inf-Net_Morph/batch_32/run_1
Run: 1
Namespace(epoch=100, lr=0.0001, batchsize=32, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=1, enable_morphology=True, morph_operation='dilation', morph_kernel_size=3, device='cuda')
 ##################################################
2025-10-23 17:18:52.000627 Epoch [001/100], Step [0002/0002], [lateral-edge: 0.7582, lateral-2: 1.5767, lateral-3: 1.5751, lateral-4: 1.5603, lateral-5: 1.5302]
2025-10-23 17:18:53.627132 Epoch [002/100], Step [0002/0002], [lateral-edge: 0.7536, lateral-2: 1.4446, lateral-3: 1.4598, lateral-4: 1.4894, lateral-5: 1.5276]
2025-10-23 17:18:55.284918 Epoch [003/100], Step [0002/0002], [lateral-edge: 0.7482, lateral-2: 1.4003, lateral-3: 1.4044, lateral-4: 1.4395, lateral-5: 1.5063]
2025-10-23 17:18:56.913393 Epoch [004/100], Step [0002/0002], [lateral-edge: 0.7440, lateral-2: 1.3665, lateral-3: 1.3895, lateral-4: 1.4285, lateral-5: 1.5052]
2025-10-23 17:18:58.537790 Epoch [005/100], Step [0002/0002], [lateral-edge: 0.7399, lateral-2: 1.3713, lateral-3: 1.3837, lateral-4: 1.4210, lateral-5: 1.5022]
2025-10-23 17:19:00.146633 Epoch [006/100], Step [0002/0002], [lateral-edge: 0.7361, lateral-2: 1.3418, lateral-3: 1.3557, lateral-4: 1.4088, lateral-5: 1.4932]
2025-10-23 17:19:01.766718 Epoch [007/100], Step [0002/0002], [lateral-edge: 0.7329, lateral-2: 1.3385, lateral-3: 1.3481, lateral-4: 1.4037, lateral-5: 1.4912]
2025-10-23 17:19:03.395318 Epoch [008/100], Step [0002/0002], [lateral-edge: 0.7292, lateral-2: 1.2705, lateral-3: 1.2917, lateral-4: 1.3565, lateral-5: 1.4497]
2025-10-23 17:19:05.005409 Epoch [009/100], Step [0002/0002], [lateral-edge: 0.7263, lateral-2: 1.2478, lateral-3: 1.2671, lateral-4: 1.3520, lateral-5: 1.4335]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_32/run_1/Inf-Net-10.pth
2025-10-23 17:19:06.801644 Epoch [010/100], Step [0002/0002], [lateral-edge: 0.7227, lateral-2: 1.1608, lateral-3: 1.1840, lateral-4: 1.2636, lateral-5: 1.4899]
