Backbone loading: Res2Net50
Not loading weights from weights file
################################################## 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Morphology: erosion
Save Path: ./Snapshots/save_weights/Inf-Net_Morph/batch_64/run_2
Run: 2
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_morphology=True, morph_operation='erosion', morph_kernel_size=3, device='cuda')
 ##################################################
2025-10-23 17:22:12.579806 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7627, lateral-2: 1.5211, lateral-3: 1.5271, lateral-4: 1.5476, lateral-5: 1.5271]
2025-10-23 17:22:14.263780 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7554, lateral-2: 1.3975, lateral-3: 1.4540, lateral-4: 1.5100, lateral-5: 1.5277]
2025-10-23 17:22:15.973335 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7519, lateral-2: 1.3495, lateral-3: 1.4030, lateral-4: 1.4723, lateral-5: 1.5146]
2025-10-23 17:22:17.676903 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7483, lateral-2: 1.3202, lateral-3: 1.3773, lateral-4: 1.4464, lateral-5: 1.4836]
2025-10-23 17:22:19.394301 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7464, lateral-2: 1.2786, lateral-3: 1.3437, lateral-4: 1.4306, lateral-5: 1.4326]
2025-10-23 17:22:21.088331 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7439, lateral-2: 1.2335, lateral-3: 1.2930, lateral-4: 1.3694, lateral-5: 1.4010]
2025-10-23 17:22:22.777049 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7419, lateral-2: 1.1659, lateral-3: 1.2370, lateral-4: 1.3225, lateral-5: 1.3884]
2025-10-23 17:22:24.490114 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7401, lateral-2: 1.0883, lateral-3: 1.1543, lateral-4: 1.2386, lateral-5: 1.3832]
2025-10-23 17:22:26.166813 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7382, lateral-2: 1.0062, lateral-3: 1.0734, lateral-4: 1.1587, lateral-5: 1.4097]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_64/run_2/Inf-Net-10.pth
2025-10-23 17:22:28.050780 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7366, lateral-2: 0.9278, lateral-3: 0.9971, lateral-4: 1.0847, lateral-5: 1.4377]
2025-10-23 17:22:29.723366 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7351, lateral-2: 0.8752, lateral-3: 0.9524, lateral-4: 1.0433, lateral-5: 1.4603]
2025-10-23 17:22:31.383702 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7337, lateral-2: 0.8526, lateral-3: 0.9332, lateral-4: 1.0377, lateral-5: 1.4771]
