Backbone loading: Res2Net50
Not loading weights from weights file
################################################## 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Morphology: open
Save Path: ./Snapshots/save_weights/Inf-Net_Morph/batch_64/run_3
Run: 3
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=3, enable_morphology=True, morph_operation='open', morph_kernel_size=3, device='cuda')
 ##################################################
2025-10-23 17:22:12.658548 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7588, lateral-2: 1.5353, lateral-3: 1.5540, lateral-4: 1.6002, lateral-5: 1.5406]
2025-10-23 17:22:14.348810 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7510, lateral-2: 1.4477, lateral-3: 1.4922, lateral-4: 1.5303, lateral-5: 1.5355]
2025-10-23 17:22:16.084593 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7476, lateral-2: 1.4163, lateral-3: 1.4659, lateral-4: 1.4958, lateral-5: 1.5414]
2025-10-23 17:22:17.844533 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7439, lateral-2: 1.3945, lateral-3: 1.4235, lateral-4: 1.4886, lateral-5: 1.5238]
2025-10-23 17:22:19.590534 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7426, lateral-2: 1.3661, lateral-3: 1.4020, lateral-4: 1.4511, lateral-5: 1.5075]
2025-10-23 17:22:21.349565 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7406, lateral-2: 1.3365, lateral-3: 1.3721, lateral-4: 1.4342, lateral-5: 1.4486]
2025-10-23 17:22:23.115457 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7387, lateral-2: 1.2994, lateral-3: 1.3352, lateral-4: 1.4110, lateral-5: 1.4083]
2025-10-23 17:22:24.849738 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7375, lateral-2: 1.2353, lateral-3: 1.2814, lateral-4: 1.3538, lateral-5: 1.4071]
2025-10-23 17:22:26.585851 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7357, lateral-2: 1.1729, lateral-3: 1.2283, lateral-4: 1.3059, lateral-5: 1.4046]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_64/run_3/Inf-Net-10.pth
2025-10-23 17:22:28.543697 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7344, lateral-2: 1.1314, lateral-3: 1.1913, lateral-4: 1.2982, lateral-5: 1.4621]
