Backbone loading: Res2Net50
Converting BatchNorm to GroupNorm for fair comparison with DP models
Model architecture converted to GroupNorm
Not loading weights from weights file
###################################################################### 
Start Training (Inf_Net-GroupNorm)
Network: Inf_Net
Batch Size: 64
DP: Disabled
Morphology: Disabled
Architecture: GroupNorm (no DP)
Save Path: ./Snapshots/save_weights/Inf-Net_GroupNorm/batch_64/run_2
Run: 2
Namespace(network='Inf_Net', epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, init_features=32, n_classes=1, in_channels=3, backbone='Res2Net50', deep_supervision=False, train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_privacy=False, epsilon=8.0, max_grad_norm=1.2, delta=1e-05, clipping_strategy='base', enable_morphology=False, morph_operation='both', morph_kernel_size=3, device='cuda')
 ######################################################################
2025-11-09 00:35:32.264915 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.8059, lateral-2: 1.5267, lateral-3: 1.5201, lateral-4: 1.5964, lateral-5: 1.4934, epsilon: 0.0000]
2025-11-09 00:35:33.792620 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7835, lateral-2: 1.3032, lateral-3: 1.3417, lateral-4: 1.3522, lateral-5: 1.4237, epsilon: 0.0000]
2025-11-09 00:35:35.341291 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7807, lateral-2: 1.1490, lateral-3: 1.2046, lateral-4: 1.2695, lateral-5: 1.3253, epsilon: 0.0000]
2025-11-09 00:35:36.904506 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7714, lateral-2: 1.0769, lateral-3: 1.1113, lateral-4: 1.2187, lateral-5: 1.2577, epsilon: 0.0000]
2025-11-09 00:35:38.447835 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7688, lateral-2: 1.0171, lateral-3: 1.0657, lateral-4: 1.1697, lateral-5: 1.1883, epsilon: 0.0000]
2025-11-09 00:35:40.027244 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7637, lateral-2: 0.9756, lateral-3: 1.0379, lateral-4: 1.1337, lateral-5: 1.1245, epsilon: 0.0000]
2025-11-09 00:35:41.634735 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7612, lateral-2: 0.9533, lateral-3: 1.0202, lateral-4: 1.1217, lateral-5: 1.0917, epsilon: 0.0000]
2025-11-09 00:35:43.208906 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7562, lateral-2: 0.9201, lateral-3: 0.9879, lateral-4: 1.1140, lateral-5: 1.0847, epsilon: 0.0000]
2025-11-09 00:35:44.781982 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7550, lateral-2: 0.8925, lateral-3: 0.9475, lateral-4: 1.0547, lateral-5: 1.0383, epsilon: 0.0000]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_GroupNorm/batch_64/run_2/Inf-Net-10.pth
2025-11-09 00:35:46.623190 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7516, lateral-2: 0.8562, lateral-3: 0.9285, lateral-4: 1.0412, lateral-5: 1.0054, epsilon: 0.0000]
2025-11-09 00:35:48.202089 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7487, lateral-2: 0.8382, lateral-3: 0.9031, lateral-4: 1.0086, lateral-5: 0.9765, epsilon: 0.0000]
2025-11-09 00:35:49.772363 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7477, lateral-2: 0.8080, lateral-3: 0.8786, lateral-4: 0.9926, lateral-5: 0.9396, epsilon: 0.0000]
2025-11-09 00:35:51.353276 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7456, lateral-2: 0.7805, lateral-3: 0.8581, lateral-4: 0.9736, lateral-5: 0.9350, epsilon: 0.0000]
2025-11-09 00:35:52.938181 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7434, lateral-2: 0.7816, lateral-3: 0.8524, lateral-4: 0.9640, lateral-5: 0.9068, epsilon: 0.0000]
2025-11-09 00:35:54.535926 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7421, lateral-2: 0.7491, lateral-3: 0.8301, lateral-4: 0.9462, lateral-5: 0.8922, epsilon: 0.0000]
2025-11-09 00:35:56.110065 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7409, lateral-2: 0.7398, lateral-3: 0.8231, lateral-4: 0.9485, lateral-5: 0.8777, epsilon: 0.0000]
2025-11-09 00:35:57.678006 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7393, lateral-2: 0.7545, lateral-3: 0.8311, lateral-4: 0.9423, lateral-5: 0.8758, epsilon: 0.0000]
2025-11-09 00:35:59.259497 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7380, lateral-2: 0.7180, lateral-3: 0.8037, lateral-4: 0.9269, lateral-5: 0.8495, epsilon: 0.0000]
2025-11-09 00:36:00.838606 Epoch [019/100], Step [0001/0001], [lateral-edge: 0.7366, lateral-2: 0.7101, lateral-3: 0.7951, lateral-4: 0.9124, lateral-5: 0.8334, epsilon: 0.0000]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_GroupNorm/batch_64/run_2/Inf-Net-20.pth
2025-11-09 00:36:02.560168 Epoch [020/100], Step [0001/0001], [lateral-edge: 0.7355, lateral-2: 0.6963, lateral-3: 0.7823, lateral-4: 0.8987, lateral-5: 0.8161, epsilon: 0.0000]
2025-11-09 00:36:04.127796 Epoch [021/100], Step [0001/0001], [lateral-edge: 0.7347, lateral-2: 0.6770, lateral-3: 0.7677, lateral-4: 0.8898, lateral-5: 0.8020, epsilon: 0.0000]
2025-11-09 00:36:05.696213 Epoch [022/100], Step [0001/0001], [lateral-edge: 0.7335, lateral-2: 0.6736, lateral-3: 0.7645, lateral-4: 0.8895, lateral-5: 0.7905, epsilon: 0.0000]
2025-11-09 00:36:07.251863 Epoch [023/100], Step [0001/0001], [lateral-edge: 0.7325, lateral-2: 0.6617, lateral-3: 0.7547, lateral-4: 0.8757, lateral-5: 0.7842, epsilon: 0.0000]
2025-11-09 00:36:08.800720 Epoch [024/100], Step [0001/0001], [lateral-edge: 0.7312, lateral-2: 0.6448, lateral-3: 0.7421, lateral-4: 0.8647, lateral-5: 0.7604, epsilon: 0.0000]
2025-11-09 00:36:10.377493 Epoch [025/100], Step [0001/0001], [lateral-edge: 0.7302, lateral-2: 0.6556, lateral-3: 0.7488, lateral-4: 0.8756, lateral-5: 0.7661, epsilon: 0.0000]
2025-11-09 00:36:11.953560 Epoch [026/100], Step [0001/0001], [lateral-edge: 0.7293, lateral-2: 0.6438, lateral-3: 0.7439, lateral-4: 0.8714, lateral-5: 0.7603, epsilon: 0.0000]
2025-11-09 00:36:13.524232 Epoch [027/100], Step [0001/0001], [lateral-edge: 0.7283, lateral-2: 0.6359, lateral-3: 0.7326, lateral-4: 0.8595, lateral-5: 0.7470, epsilon: 0.0000]
2025-11-09 00:36:15.118772 Epoch [028/100], Step [0001/0001], [lateral-edge: 0.7274, lateral-2: 0.6203, lateral-3: 0.7226, lateral-4: 0.8501, lateral-5: 0.7310, epsilon: 0.0000]
2025-11-09 00:36:16.749397 Epoch [029/100], Step [0001/0001], [lateral-edge: 0.7264, lateral-2: 0.6129, lateral-3: 0.7134, lateral-4: 0.8407, lateral-5: 0.7192, epsilon: 0.0000]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_GroupNorm/batch_64/run_2/Inf-Net-30.pth
2025-11-09 00:36:18.487315 Epoch [030/100], Step [0001/0001], [lateral-edge: 0.7257, lateral-2: 0.6254, lateral-3: 0.7194, lateral-4: 0.8424, lateral-5: 0.7206, epsilon: 0.0000]
2025-11-09 00:36:20.071015 Epoch [031/100], Step [0001/0001], [lateral-edge: 0.7246, lateral-2: 0.5965, lateral-3: 0.7005, lateral-4: 0.8275, lateral-5: 0.6988, epsilon: 0.0000]
2025-11-09 00:36:21.622178 Epoch [032/100], Step [0001/0001], [lateral-edge: 0.7237, lateral-2: 0.6570, lateral-3: 0.7478, lateral-4: 0.8824, lateral-5: 0.7435, epsilon: 0.0000]
2025-11-09 00:36:23.207865 Epoch [033/100], Step [0001/0001], [lateral-edge: 0.7232, lateral-2: 0.6718, lateral-3: 0.7527, lateral-4: 0.8730, lateral-5: 0.7483, epsilon: 0.0000]
2025-11-09 00:36:24.760821 Epoch [034/100], Step [0001/0001], [lateral-edge: 0.7223, lateral-2: 0.6245, lateral-3: 0.7333, lateral-4: 0.8735, lateral-5: 0.7287, epsilon: 0.0000]
2025-11-09 00:36:26.319616 Epoch [035/100], Step [0001/0001], [lateral-edge: 0.7215, lateral-2: 0.6252, lateral-3: 0.7226, lateral-4: 0.8474, lateral-5: 0.7285, epsilon: 0.0000]
2025-11-09 00:36:27.885961 Epoch [036/100], Step [0001/0001], [lateral-edge: 0.7207, lateral-2: 0.6040, lateral-3: 0.7119, lateral-4: 0.8453, lateral-5: 0.6987, epsilon: 0.0000]
