Backbone loading: Res2Net50
Converting BatchNorm to GroupNorm for fair comparison with DP models
Model architecture converted to GroupNorm
Not loading weights from weights file
###################################################################### 
Start Training (Inf_Net-GroupNorm)
Network: Inf_Net
Batch Size: 48
DP: Disabled
Morphology: both
Architecture: GroupNorm (no DP)
Save Path: ./Snapshots/save_weights/Inf-Net_Morph_GroupNorm/both/batch_48/run_2
Run: 2
Namespace(network='Inf_Net', epoch=100, lr=0.0001, batchsize=48, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, init_features=32, n_classes=1, in_channels=3, backbone='Res2Net50', deep_supervision=False, train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_privacy=False, epsilon=8.0, max_grad_norm=1.2, delta=1e-05, clipping_strategy='base', enable_morphology=True, morph_operation='both', morph_kernel_size=3, device='cuda')
 ######################################################################
2025-11-09 00:35:31.081368 Epoch [001/100], Step [0002/0002], [lateral-edge: 0.7626, lateral-2: 1.3560, lateral-3: 1.4030, lateral-4: 1.4305, lateral-5: 1.4336, epsilon: 0.0000]
2025-11-09 00:35:32.990987 Epoch [002/100], Step [0002/0002], [lateral-edge: 0.7526, lateral-2: 1.1129, lateral-3: 1.1835, lateral-4: 1.2622, lateral-5: 1.2961, epsilon: 0.0000]
2025-11-09 00:35:34.896229 Epoch [003/100], Step [0002/0002], [lateral-edge: 0.7517, lateral-2: 0.9828, lateral-3: 1.0997, lateral-4: 1.2202, lateral-5: 1.2241, epsilon: 0.0000]
2025-11-09 00:35:36.797305 Epoch [004/100], Step [0002/0002], [lateral-edge: 0.7455, lateral-2: 0.9573, lateral-3: 1.0606, lateral-4: 1.1868, lateral-5: 1.1279, epsilon: 0.0000]
2025-11-09 00:35:38.725172 Epoch [005/100], Step [0002/0002], [lateral-edge: 0.7453, lateral-2: 0.9384, lateral-3: 1.0149, lateral-4: 1.1026, lateral-5: 1.1291, epsilon: 0.0000]
2025-11-09 00:35:40.664476 Epoch [006/100], Step [0002/0002], [lateral-edge: 0.7413, lateral-2: 0.9780, lateral-3: 1.0712, lateral-4: 1.2116, lateral-5: 1.1455, epsilon: 0.0000]
2025-11-09 00:35:42.625670 Epoch [007/100], Step [0002/0002], [lateral-edge: 0.7381, lateral-2: 0.8160, lateral-3: 0.9365, lateral-4: 1.0960, lateral-5: 1.0624, epsilon: 0.0000]
2025-11-09 00:35:44.554863 Epoch [008/100], Step [0002/0002], [lateral-edge: 0.7369, lateral-2: 0.8178, lateral-3: 0.9037, lateral-4: 1.0014, lateral-5: 0.9570, epsilon: 0.0000]
2025-11-09 00:35:46.486636 Epoch [009/100], Step [0002/0002], [lateral-edge: 0.7354, lateral-2: 0.9667, lateral-3: 1.0953, lateral-4: 1.2401, lateral-5: 1.1712, epsilon: 0.0000]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph_GroupNorm/both/batch_48/run_2/Inf-Net-10.pth
2025-11-09 00:35:48.526682 Epoch [010/100], Step [0002/0002], [lateral-edge: 0.7317, lateral-2: 0.9998, lateral-3: 1.0444, lateral-4: 1.1467, lateral-5: 1.0902, epsilon: 0.0000]
2025-11-09 00:35:50.463117 Epoch [011/100], Step [0002/0002], [lateral-edge: 0.7329, lateral-2: 0.8994, lateral-3: 0.9487, lateral-4: 1.0735, lateral-5: 1.0311, epsilon: 0.0000]
2025-11-09 00:35:52.411631 Epoch [012/100], Step [0002/0002], [lateral-edge: 0.7285, lateral-2: 1.0150, lateral-3: 1.0631, lateral-4: 1.1454, lateral-5: 1.1279, epsilon: 0.0000]
2025-11-09 00:35:54.329788 Epoch [013/100], Step [0002/0002], [lateral-edge: 0.7291, lateral-2: 0.8313, lateral-3: 0.9200, lateral-4: 1.0393, lateral-5: 0.9358, epsilon: 0.0000]
2025-11-09 00:35:56.240727 Epoch [014/100], Step [0002/0002], [lateral-edge: 0.7267, lateral-2: 0.9482, lateral-3: 0.9873, lateral-4: 1.0874, lateral-5: 1.0356, epsilon: 0.0000]
