Backbone loading: Res2Net50
Converting BatchNorm to GroupNorm for fair comparison with DP models
Model architecture converted to GroupNorm
Not loading weights from weights file
###################################################################### 
Start Training (Inf_Net-GroupNorm)
Network: Inf_Net
Batch Size: 24
DP: Disabled
Morphology: Disabled
Architecture: GroupNorm (no DP)
Save Path: ./Snapshots/save_weights/Inf-Net_GroupNorm/batch_24/run_3
Run: 3
Namespace(network='Inf_Net', epoch=100, lr=0.0001, batchsize=24, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, init_features=32, n_classes=1, in_channels=3, backbone='Res2Net50', deep_supervision=False, train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=3, enable_privacy=False, epsilon=8.0, max_grad_norm=1.2, delta=1e-05, clipping_strategy='base', enable_morphology=False, morph_operation='both', morph_kernel_size=3, device='cuda')
 ######################################################################
2025-11-09 00:35:29.732950 Epoch [001/100], Step [0003/0003], [lateral-edge: 0.7677, lateral-2: 1.2884, lateral-3: 1.3617, lateral-4: 1.4125, lateral-5: 1.3997, epsilon: 0.0000]
2025-11-09 00:35:31.182853 Epoch [002/100], Step [0003/0003], [lateral-edge: 0.7608, lateral-2: 1.0616, lateral-3: 1.1409, lateral-4: 1.2257, lateral-5: 1.2493, epsilon: 0.0000]
2025-11-09 00:35:32.669504 Epoch [003/100], Step [0003/0003], [lateral-edge: 0.7532, lateral-2: 0.9851, lateral-3: 1.0767, lateral-4: 1.1923, lateral-5: 1.1763, epsilon: 0.0000]
2025-11-09 00:35:34.209710 Epoch [004/100], Step [0003/0003], [lateral-edge: 0.7497, lateral-2: 0.9717, lateral-3: 1.0442, lateral-4: 1.1305, lateral-5: 1.1057, epsilon: 0.0000]
2025-11-09 00:35:35.703718 Epoch [005/100], Step [0003/0003], [lateral-edge: 0.7464, lateral-2: 1.1149, lateral-3: 1.1341, lateral-4: 1.2545, lateral-5: 1.2108, epsilon: 0.0000]
2025-11-09 00:35:37.219418 Epoch [006/100], Step [0003/0003], [lateral-edge: 0.7423, lateral-2: 0.9651, lateral-3: 1.0464, lateral-4: 1.1715, lateral-5: 1.1241, epsilon: 0.0000]
2025-11-09 00:35:38.751667 Epoch [007/100], Step [0003/0003], [lateral-edge: 0.7390, lateral-2: 0.8722, lateral-3: 0.9343, lateral-4: 1.0580, lateral-5: 1.0335, epsilon: 0.0000]
2025-11-09 00:35:40.312097 Epoch [008/100], Step [0003/0003], [lateral-edge: 0.7342, lateral-2: 0.8593, lateral-3: 0.9297, lateral-4: 1.0630, lateral-5: 0.9881, epsilon: 0.0000]
2025-11-09 00:35:41.886237 Epoch [009/100], Step [0003/0003], [lateral-edge: 0.7314, lateral-2: 0.8208, lateral-3: 0.8938, lateral-4: 1.0126, lateral-5: 0.9614, epsilon: 0.0000]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_GroupNorm/batch_24/run_3/Inf-Net-10.pth
2025-11-09 00:35:43.618460 Epoch [010/100], Step [0003/0003], [lateral-edge: 0.7339, lateral-2: 0.8057, lateral-3: 0.8699, lateral-4: 0.9914, lateral-5: 0.9246, epsilon: 0.0000]
2025-11-09 00:35:45.184761 Epoch [011/100], Step [0003/0003], [lateral-edge: 0.7305, lateral-2: 0.8180, lateral-3: 0.8982, lateral-4: 1.0227, lateral-5: 0.9387, epsilon: 0.0000]
2025-11-09 00:35:46.701555 Epoch [012/100], Step [0003/0003], [lateral-edge: 0.7284, lateral-2: 0.7378, lateral-3: 0.8257, lateral-4: 0.9616, lateral-5: 0.8712, epsilon: 0.0000]
2025-11-09 00:35:48.233551 Epoch [013/100], Step [0003/0003], [lateral-edge: 0.7262, lateral-2: 0.7295, lateral-3: 0.8199, lateral-4: 0.9554, lateral-5: 0.8620, epsilon: 0.0000]
2025-11-09 00:35:49.818569 Epoch [014/100], Step [0003/0003], [lateral-edge: 0.7237, lateral-2: 0.7901, lateral-3: 0.8664, lateral-4: 0.9830, lateral-5: 0.8868, epsilon: 0.0000]
2025-11-09 00:35:51.383103 Epoch [015/100], Step [0003/0003], [lateral-edge: 0.7253, lateral-2: 0.7105, lateral-3: 0.7981, lateral-4: 0.9288, lateral-5: 0.8207, epsilon: 0.0000]
2025-11-09 00:35:52.961847 Epoch [016/100], Step [0003/0003], [lateral-edge: 0.7233, lateral-2: 0.7351, lateral-3: 0.8228, lateral-4: 0.9577, lateral-5: 0.8366, epsilon: 0.0000]
2025-11-09 00:35:54.473679 Epoch [017/100], Step [0003/0003], [lateral-edge: 0.7220, lateral-2: 0.6986, lateral-3: 0.7935, lateral-4: 0.9311, lateral-5: 0.8024, epsilon: 0.0000]
2025-11-09 00:35:55.965088 Epoch [018/100], Step [0003/0003], [lateral-edge: 0.7201, lateral-2: 0.6345, lateral-3: 0.7313, lateral-4: 0.8646, lateral-5: 0.7348, epsilon: 0.0000]
2025-11-09 00:35:57.432543 Epoch [019/100], Step [0003/0003], [lateral-edge: 0.7193, lateral-2: 0.6578, lateral-3: 0.7631, lateral-4: 0.9040, lateral-5: 0.7527, epsilon: 0.0000]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_GroupNorm/batch_24/run_3/Inf-Net-20.pth
2025-11-09 00:35:59.259746 Epoch [020/100], Step [0003/0003], [lateral-edge: 0.7182, lateral-2: 0.6267, lateral-3: 0.7372, lateral-4: 0.8889, lateral-5: 0.7191, epsilon: 0.0000]
2025-11-09 00:36:00.777777 Epoch [021/100], Step [0003/0003], [lateral-edge: 0.7149, lateral-2: 0.6823, lateral-3: 0.7926, lateral-4: 0.9406, lateral-5: 0.7771, epsilon: 0.0000]
2025-11-09 00:36:02.250536 Epoch [022/100], Step [0003/0003], [lateral-edge: 0.7133, lateral-2: 0.6997, lateral-3: 0.7910, lateral-4: 0.9110, lateral-5: 0.7912, epsilon: 0.0000]
2025-11-09 00:36:03.701597 Epoch [023/100], Step [0003/0003], [lateral-edge: 0.7144, lateral-2: 0.6814, lateral-3: 0.7734, lateral-4: 0.9076, lateral-5: 0.7361, epsilon: 0.0000]
2025-11-09 00:36:05.207980 Epoch [024/100], Step [0003/0003], [lateral-edge: 0.7135, lateral-2: 0.6428, lateral-3: 0.7439, lateral-4: 0.8827, lateral-5: 0.7306, epsilon: 0.0000]
