Backbone loading: Res2Net50
Converting BatchNorm to GroupNorm for fair comparison with DP models
Model architecture converted to GroupNorm
Not loading weights from weights file
###################################################################### 
Start Training (Inf_Net-GroupNorm)
Network: Inf_Net
Batch Size: 24
DP: Disabled
Morphology: both
Architecture: GroupNorm (no DP)
Save Path: ./Snapshots/save_weights/Inf-Net_Morph_GroupNorm/both/batch_24/run_3
Run: 3
Namespace(network='Inf_Net', epoch=100, lr=0.0001, batchsize=24, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, init_features=32, n_classes=1, in_channels=3, backbone='Res2Net50', deep_supervision=False, train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=3, enable_privacy=False, epsilon=8.0, max_grad_norm=1.2, delta=1e-05, clipping_strategy='base', enable_morphology=True, morph_operation='both', morph_kernel_size=3, device='cuda')
 ######################################################################
2025-11-09 00:35:27.987273 Epoch [001/100], Step [0003/0003], [lateral-edge: 0.7602, lateral-2: 1.2924, lateral-3: 1.3535, lateral-4: 1.4182, lateral-5: 1.3958, epsilon: 0.0000]
2025-11-09 00:35:29.550230 Epoch [002/100], Step [0003/0003], [lateral-edge: 0.7565, lateral-2: 1.0731, lateral-3: 1.0998, lateral-4: 1.1728, lateral-5: 1.2122, epsilon: 0.0000]
2025-11-09 00:35:31.136165 Epoch [003/100], Step [0003/0003], [lateral-edge: 0.7471, lateral-2: 1.0525, lateral-3: 1.1113, lateral-4: 1.2046, lateral-5: 1.1834, epsilon: 0.0000]
2025-11-09 00:35:32.771925 Epoch [004/100], Step [0003/0003], [lateral-edge: 0.7411, lateral-2: 0.9442, lateral-3: 1.0206, lateral-4: 1.1533, lateral-5: 1.1075, epsilon: 0.0000]
2025-11-09 00:35:34.384274 Epoch [005/100], Step [0003/0003], [lateral-edge: 0.7378, lateral-2: 0.9864, lateral-3: 1.0384, lateral-4: 1.1483, lateral-5: 1.1266, epsilon: 0.0000]
2025-11-09 00:35:35.998813 Epoch [006/100], Step [0003/0003], [lateral-edge: 0.7328, lateral-2: 0.8924, lateral-3: 0.9938, lateral-4: 1.1308, lateral-5: 1.0595, epsilon: 0.0000]
2025-11-09 00:35:37.617701 Epoch [007/100], Step [0003/0003], [lateral-edge: 0.7309, lateral-2: 0.8616, lateral-3: 0.9282, lateral-4: 1.0396, lateral-5: 0.9931, epsilon: 0.0000]
2025-11-09 00:35:39.237217 Epoch [008/100], Step [0003/0003], [lateral-edge: 0.7295, lateral-2: 0.8047, lateral-3: 0.8834, lateral-4: 1.0059, lateral-5: 0.9391, epsilon: 0.0000]
2025-11-09 00:35:40.895172 Epoch [009/100], Step [0003/0003], [lateral-edge: 0.7249, lateral-2: 0.7841, lateral-3: 0.8631, lateral-4: 0.9865, lateral-5: 0.9192, epsilon: 0.0000]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph_GroupNorm/both/batch_24/run_3/Inf-Net-10.pth
2025-11-09 00:35:42.807229 Epoch [010/100], Step [0003/0003], [lateral-edge: 0.7260, lateral-2: 0.8274, lateral-3: 0.9013, lateral-4: 1.0276, lateral-5: 0.9416, epsilon: 0.0000]
