Backbone loading: Res2Net50
Not loading weights from weights file
#################### 
Start Training (Inf-Net-Res2Net50)
Namespace(backbone='Res2Net50', batchsize=8, clip=0.5, decay_epoch=50, decay_rate=0.1, epoch=100, gpu_device=0, is_pseudo=False, is_semi=False, is_thop=False, lr=0.0001, n_classes=1, net_channel=32, num_workers=4, train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', train_save=None, trainsize=352)
This code is written for 'Inf-Net: Automatic COVID-19 Lung Infection Segmentation from CT Scans', 2020, TMI.
----
Please cite the paper if you use this code and dataset. And any questions feel free to contact me via E-mail (gepengai.ji@gmail.com)
----
 ####################
2025-10-03 12:19:52.491505 Epoch [001/100], Step [0007/0007], [lateral-edge: 0.7469, lateral-2: 1.3906, lateral-3: 1.3958, lateral-4: 1.4406, lateral-5: 1.4964]
2025-10-03 12:19:55.867888 Epoch [002/100], Step [0007/0007], [lateral-edge: 0.7353, lateral-2: 1.1032, lateral-3: 1.1420, lateral-4: 1.2092, lateral-5: 1.4836]
2025-10-03 12:19:59.106845 Epoch [003/100], Step [0007/0007], [lateral-edge: 0.7284, lateral-2: 0.8974, lateral-3: 0.9517, lateral-4: 1.0460, lateral-5: 1.4481]
2025-10-03 12:20:02.534784 Epoch [004/100], Step [0007/0007], [lateral-edge: 0.7237, lateral-2: 0.8421, lateral-3: 0.9075, lateral-4: 1.0040, lateral-5: 1.3614]
2025-10-03 12:20:05.888756 Epoch [005/100], Step [0007/0007], [lateral-edge: 0.7194, lateral-2: 0.7617, lateral-3: 0.8295, lateral-4: 0.9333, lateral-5: 1.2480]
2025-10-03 12:20:09.328811 Epoch [006/100], Step [0007/0007], [lateral-edge: 0.7144, lateral-2: 0.7307, lateral-3: 0.8032, lateral-4: 0.9042, lateral-5: 1.1637]
2025-10-03 12:20:12.738870 Epoch [007/100], Step [0007/0007], [lateral-edge: 0.7116, lateral-2: 0.7185, lateral-3: 0.7896, lateral-4: 0.8841, lateral-5: 1.1492]
2025-10-03 12:20:16.081108 Epoch [008/100], Step [0007/0007], [lateral-edge: 0.7079, lateral-2: 0.6482, lateral-3: 0.7280, lateral-4: 0.8304, lateral-5: 1.1499]
2025-10-03 12:20:19.494166 Epoch [009/100], Step [0007/0007], [lateral-edge: 0.7045, lateral-2: 0.6183, lateral-3: 0.6965, lateral-4: 0.8094, lateral-5: 1.0426]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/Inf-Net-10.pth
2025-10-03 12:20:23.080640 Epoch [010/100], Step [0007/0007], [lateral-edge: 0.7025, lateral-2: 0.6136, lateral-3: 0.6985, lateral-4: 0.8083, lateral-5: 1.0966]
2025-10-03 12:20:26.385990 Epoch [011/100], Step [0007/0007], [lateral-edge: 0.7003, lateral-2: 0.5762, lateral-3: 0.6630, lateral-4: 0.7797, lateral-5: 1.0116]
2025-10-03 12:20:29.801113 Epoch [012/100], Step [0007/0007], [lateral-edge: 0.6982, lateral-2: 0.5519, lateral-3: 0.6477, lateral-4: 0.7686, lateral-5: 0.9938]
2025-10-03 12:20:33.137769 Epoch [013/100], Step [0007/0007], [lateral-edge: 0.6957, lateral-2: 0.5629, lateral-3: 0.6573, lateral-4: 0.7851, lateral-5: 1.0112]
2025-10-03 12:20:36.518259 Epoch [014/100], Step [0007/0007], [lateral-edge: 0.6944, lateral-2: 0.6071, lateral-3: 0.6953, lateral-4: 0.8075, lateral-5: 1.0104]
2025-10-03 12:20:39.931377 Epoch [015/100], Step [0007/0007], [lateral-edge: 0.6933, lateral-2: 0.5391, lateral-3: 0.6348, lateral-4: 0.7685, lateral-5: 0.8959]
2025-10-03 12:20:43.385025 Epoch [016/100], Step [0007/0007], [lateral-edge: 0.6919, lateral-2: 0.4930, lateral-3: 0.5947, lateral-4: 0.7259, lateral-5: 0.8704]
2025-10-03 12:20:46.903639 Epoch [017/100], Step [0007/0007], [lateral-edge: 0.6907, lateral-2: 0.5484, lateral-3: 0.6336, lateral-4: 0.7465, lateral-5: 0.8579]
2025-10-03 12:20:50.312130 Epoch [018/100], Step [0007/0007], [lateral-edge: 0.6894, lateral-2: 0.5480, lateral-3: 0.6487, lateral-4: 0.7743, lateral-5: 0.8372]
2025-10-03 12:20:53.752754 Epoch [019/100], Step [0007/0007], [lateral-edge: 0.6882, lateral-2: 0.5605, lateral-3: 0.6563, lateral-4: 0.7765, lateral-5: 0.8896]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/Inf-Net-20.pth
2025-10-03 12:20:57.336600 Epoch [020/100], Step [0007/0007], [lateral-edge: 0.6869, lateral-2: 0.4716, lateral-3: 0.5848, lateral-4: 0.7235, lateral-5: 0.8133]
2025-10-03 12:21:00.813453 Epoch [021/100], Step [0007/0007], [lateral-edge: 0.6858, lateral-2: 0.4606, lateral-3: 0.5697, lateral-4: 0.6998, lateral-5: 0.7797]
2025-10-03 12:21:04.297551 Epoch [022/100], Step [0007/0007], [lateral-edge: 0.6845, lateral-2: 0.4787, lateral-3: 0.5840, lateral-4: 0.7166, lateral-5: 0.8890]
2025-10-03 12:21:07.715142 Epoch [023/100], Step [0007/0007], [lateral-edge: 0.6834, lateral-2: 0.4726, lateral-3: 0.5770, lateral-4: 0.7148, lateral-5: 0.7407]
2025-10-03 12:21:11.216475 Epoch [024/100], Step [0007/0007], [lateral-edge: 0.6825, lateral-2: 0.4741, lateral-3: 0.5859, lateral-4: 0.7223, lateral-5: 0.7780]
2025-10-03 12:21:14.596882 Epoch [025/100], Step [0007/0007], [lateral-edge: 0.6813, lateral-2: 0.4703, lateral-3: 0.5768, lateral-4: 0.7147, lateral-5: 0.7454]
2025-10-03 12:21:18.029659 Epoch [026/100], Step [0007/0007], [lateral-edge: 0.6802, lateral-2: 0.4421, lateral-3: 0.5584, lateral-4: 0.6945, lateral-5: 0.7133]
2025-10-03 12:21:21.476435 Epoch [027/100], Step [0007/0007], [lateral-edge: 0.6785, lateral-2: 0.4435, lateral-3: 0.5606, lateral-4: 0.7019, lateral-5: 0.7220]
2025-10-03 12:21:24.797770 Epoch [028/100], Step [0007/0007], [lateral-edge: 0.6776, lateral-2: 0.4349, lateral-3: 0.5526, lateral-4: 0.6939, lateral-5: 0.6642]
2025-10-03 12:21:28.090100 Epoch [029/100], Step [0007/0007], [lateral-edge: 0.6766, lateral-2: 0.4240, lateral-3: 0.5485, lateral-4: 0.6939, lateral-5: 0.6632]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/Inf-Net-30.pth
2025-10-03 12:21:31.776264 Epoch [030/100], Step [0007/0007], [lateral-edge: 0.6760, lateral-2: 0.4396, lateral-3: 0.5532, lateral-4: 0.6949, lateral-5: 0.7174]
2025-10-03 12:21:35.097726 Epoch [031/100], Step [0007/0007], [lateral-edge: 0.6745, lateral-2: 0.4126, lateral-3: 0.5352, lateral-4: 0.6813, lateral-5: 0.6403]
2025-10-03 12:21:38.555161 Epoch [032/100], Step [0007/0007], [lateral-edge: 0.6738, lateral-2: 0.3961, lateral-3: 0.5180, lateral-4: 0.6655, lateral-5: 0.6032]
2025-10-03 12:21:41.933996 Epoch [033/100], Step [0007/0007], [lateral-edge: 0.6728, lateral-2: 0.4006, lateral-3: 0.5205, lateral-4: 0.6636, lateral-5: 0.6140]
2025-10-03 12:21:45.280824 Epoch [034/100], Step [0007/0007], [lateral-edge: 0.6713, lateral-2: 0.4195, lateral-3: 0.5415, lateral-4: 0.6931, lateral-5: 0.7191]
2025-10-03 12:21:48.645817 Epoch [035/100], Step [0007/0007], [lateral-edge: 0.6707, lateral-2: 0.4247, lateral-3: 0.5501, lateral-4: 0.6996, lateral-5: 0.6979]
2025-10-03 12:21:52.052730 Epoch [036/100], Step [0007/0007], [lateral-edge: 0.6696, lateral-2: 0.3911, lateral-3: 0.5176, lateral-4: 0.6683, lateral-5: 0.5868]
2025-10-03 12:21:55.504804 Epoch [037/100], Step [0007/0007], [lateral-edge: 0.6684, lateral-2: 0.3949, lateral-3: 0.5226, lateral-4: 0.6729, lateral-5: 0.5807]
2025-10-03 12:21:59.012301 Epoch [038/100], Step [0007/0007], [lateral-edge: 0.6676, lateral-2: 0.3951, lateral-3: 0.5174, lateral-4: 0.6681, lateral-5: 0.5717]
2025-10-03 12:22:02.453740 Epoch [039/100], Step [0007/0007], [lateral-edge: 0.6663, lateral-2: 0.3927, lateral-3: 0.5214, lateral-4: 0.6716, lateral-5: 0.5650]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/Inf-Net-40.pth
2025-10-03 12:22:06.103499 Epoch [040/100], Step [0007/0007], [lateral-edge: 0.6656, lateral-2: 0.3805, lateral-3: 0.5059, lateral-4: 0.6590, lateral-5: 0.5746]
2025-10-03 12:22:09.526923 Epoch [041/100], Step [0007/0007], [lateral-edge: 0.6643, lateral-2: 0.3775, lateral-3: 0.5091, lateral-4: 0.6593, lateral-5: 0.5135]
2025-10-03 12:22:12.917636 Epoch [042/100], Step [0007/0007], [lateral-edge: 0.6634, lateral-2: 0.3732, lateral-3: 0.5035, lateral-4: 0.6548, lateral-5: 0.5267]
2025-10-03 12:22:16.241794 Epoch [043/100], Step [0007/0007], [lateral-edge: 0.6623, lateral-2: 0.3586, lateral-3: 0.4942, lateral-4: 0.6467, lateral-5: 0.4938]
2025-10-03 12:22:19.586255 Epoch [044/100], Step [0007/0007], [lateral-edge: 0.6613, lateral-2: 0.3654, lateral-3: 0.4991, lateral-4: 0.6529, lateral-5: 0.5612]
2025-10-03 12:22:22.922883 Epoch [045/100], Step [0007/0007], [lateral-edge: 0.6600, lateral-2: 0.3779, lateral-3: 0.5045, lateral-4: 0.6585, lateral-5: 0.5054]
2025-10-03 12:22:26.281953 Epoch [046/100], Step [0007/0007], [lateral-edge: 0.6594, lateral-2: 0.3507, lateral-3: 0.4863, lateral-4: 0.6417, lateral-5: 0.4733]
2025-10-03 12:22:29.659083 Epoch [047/100], Step [0007/0007], [lateral-edge: 0.6584, lateral-2: 0.3595, lateral-3: 0.4947, lateral-4: 0.6500, lateral-5: 0.5184]
2025-10-03 12:22:32.981961 Epoch [048/100], Step [0007/0007], [lateral-edge: 0.6573, lateral-2: 0.3494, lateral-3: 0.4880, lateral-4: 0.6442, lateral-5: 0.4732]
2025-10-03 12:22:36.340156 Epoch [049/100], Step [0007/0007], [lateral-edge: 0.6563, lateral-2: 0.3649, lateral-3: 0.4965, lateral-4: 0.6543, lateral-5: 0.4536]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/Inf-Net-50.pth
2025-10-03 12:22:39.904539 Epoch [050/100], Step [0007/0007], [lateral-edge: 0.6556, lateral-2: 0.3566, lateral-3: 0.4955, lateral-4: 0.6494, lateral-5: 0.4371]
2025-10-03 12:22:43.218298 Epoch [051/100], Step [0007/0007], [lateral-edge: 0.6557, lateral-2: 0.3456, lateral-3: 0.4843, lateral-4: 0.6396, lateral-5: 0.5110]
2025-10-03 12:22:46.573182 Epoch [052/100], Step [0007/0007], [lateral-edge: 0.6558, lateral-2: 0.3440, lateral-3: 0.4805, lateral-4: 0.6340, lateral-5: 0.4645]
2025-10-03 12:22:49.964031 Epoch [053/100], Step [0007/0007], [lateral-edge: 0.6556, lateral-2: 0.3365, lateral-3: 0.4745, lateral-4: 0.6296, lateral-5: 0.4496]
2025-10-03 12:22:53.334159 Epoch [054/100], Step [0007/0007], [lateral-edge: 0.6554, lateral-2: 0.3597, lateral-3: 0.4966, lateral-4: 0.6533, lateral-5: 0.4469]
2025-10-03 12:22:56.806405 Epoch [055/100], Step [0007/0007], [lateral-edge: 0.6558, lateral-2: 0.3414, lateral-3: 0.4835, lateral-4: 0.6383, lateral-5: 0.4923]
2025-10-03 12:23:00.086056 Epoch [056/100], Step [0007/0007], [lateral-edge: 0.6554, lateral-2: 0.3442, lateral-3: 0.4873, lateral-4: 0.6469, lateral-5: 0.4304]
2025-10-03 12:23:03.514737 Epoch [057/100], Step [0007/0007], [lateral-edge: 0.6556, lateral-2: 0.3485, lateral-3: 0.4841, lateral-4: 0.6381, lateral-5: 0.4663]
2025-10-03 12:23:06.943454 Epoch [058/100], Step [0007/0007], [lateral-edge: 0.6556, lateral-2: 0.3304, lateral-3: 0.4742, lateral-4: 0.6304, lateral-5: 0.4341]
2025-10-03 12:23:10.371965 Epoch [059/100], Step [0007/0007], [lateral-edge: 0.6555, lateral-2: 0.3484, lateral-3: 0.4875, lateral-4: 0.6434, lateral-5: 0.4564]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/Inf-Net-60.pth
2025-10-03 12:23:13.980419 Epoch [060/100], Step [0007/0007], [lateral-edge: 0.6555, lateral-2: 0.3490, lateral-3: 0.4896, lateral-4: 0.6462, lateral-5: 0.4320]
2025-10-03 12:23:17.416904 Epoch [061/100], Step [0007/0007], [lateral-edge: 0.6555, lateral-2: 0.3420, lateral-3: 0.4830, lateral-4: 0.6395, lateral-5: 0.4672]
2025-10-03 12:23:20.766064 Epoch [062/100], Step [0007/0007], [lateral-edge: 0.6556, lateral-2: 0.3392, lateral-3: 0.4763, lateral-4: 0.6295, lateral-5: 0.4482]
2025-10-03 12:23:24.123205 Epoch [063/100], Step [0007/0007], [lateral-edge: 0.6558, lateral-2: 0.3333, lateral-3: 0.4732, lateral-4: 0.6317, lateral-5: 0.4466]
2025-10-03 12:23:27.505393 Epoch [064/100], Step [0007/0007], [lateral-edge: 0.6557, lateral-2: 0.3596, lateral-3: 0.5007, lateral-4: 0.6586, lateral-5: 0.5113]
2025-10-03 12:23:31.052314 Epoch [065/100], Step [0007/0007], [lateral-edge: 0.6556, lateral-2: 0.3465, lateral-3: 0.4869, lateral-4: 0.6446, lateral-5: 0.4359]
