Backbone loading: Res2Net50
Loaded pretrained weights (Conv layers only, GroupNorm initialized randomly)
Not loading weights from weights file
#################### 
Start Training (Inf-Net-Res2Net50)
Namespace(epoch=100, lr=0.0001, batchsize=24, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=6)
This code is written for 'Inf-Net: Automatic COVID-19 Lung Infection Segmentation from CT Scans', 2020, TMI.
----
Please cite the paper if you use this code and dataset. And any questions feel free to contact me via E-mail (gepengai.ji@gmail.com)
----
 ####################
2025-10-16 18:24:26.958415 Epoch [001/100], Step [0003/0003], [lateral-edge: 0.7615, lateral-2: 1.4281, lateral-3: 1.4199, lateral-4: 1.4615, lateral-5: 1.4340]
2025-10-16 18:24:28.578756 Epoch [002/100], Step [0003/0003], [lateral-edge: 0.7514, lateral-2: 1.0798, lateral-3: 1.1452, lateral-4: 1.2040, lateral-5: 1.2417]
2025-10-16 18:24:30.169971 Epoch [003/100], Step [0003/0003], [lateral-edge: 0.7471, lateral-2: 0.9574, lateral-3: 1.0585, lateral-4: 1.1516, lateral-5: 1.1298]
2025-10-16 18:24:31.752263 Epoch [004/100], Step [0003/0003], [lateral-edge: 0.7404, lateral-2: 0.8992, lateral-3: 0.9858, lateral-4: 1.0884, lateral-5: 1.0620]
2025-10-16 18:24:33.360662 Epoch [005/100], Step [0003/0003], [lateral-edge: 0.7400, lateral-2: 0.8303, lateral-3: 0.9212, lateral-4: 1.0253, lateral-5: 1.0068]
2025-10-16 18:24:34.955552 Epoch [006/100], Step [0003/0003], [lateral-edge: 0.7358, lateral-2: 0.7854, lateral-3: 0.8920, lateral-4: 1.0213, lateral-5: 0.9553]
2025-10-16 18:24:36.535099 Epoch [007/100], Step [0003/0003], [lateral-edge: 0.7295, lateral-2: 0.7728, lateral-3: 0.8737, lateral-4: 0.9957, lateral-5: 0.9404]
2025-10-16 18:24:38.097439 Epoch [008/100], Step [0003/0003], [lateral-edge: 0.7323, lateral-2: 0.7234, lateral-3: 0.7968, lateral-4: 0.9151, lateral-5: 0.8379]
2025-10-16 18:24:39.654092 Epoch [009/100], Step [0003/0003], [lateral-edge: 0.7289, lateral-2: 0.6670, lateral-3: 0.7487, lateral-4: 0.8746, lateral-5: 0.7944]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/Non-DP/6/Non-DPInf-Net-10.pth
2025-10-16 18:24:41.568106 Epoch [010/100], Step [0003/0003], [lateral-edge: 0.7268, lateral-2: 0.6574, lateral-3: 0.7678, lateral-4: 0.9122, lateral-5: 0.7939]
2025-10-16 18:24:43.135217 Epoch [011/100], Step [0003/0003], [lateral-edge: 0.7228, lateral-2: 0.6960, lateral-3: 0.7868, lateral-4: 0.9086, lateral-5: 0.8072]
2025-10-16 18:24:44.723191 Epoch [012/100], Step [0003/0003], [lateral-edge: 0.7228, lateral-2: 0.6385, lateral-3: 0.7406, lateral-4: 0.8806, lateral-5: 0.7602]
2025-10-16 18:24:46.317800 Epoch [013/100], Step [0003/0003], [lateral-edge: 0.7210, lateral-2: 0.6316, lateral-3: 0.7366, lateral-4: 0.8958, lateral-5: 0.7372]
2025-10-16 18:24:47.886852 Epoch [014/100], Step [0003/0003], [lateral-edge: 0.7184, lateral-2: 0.6454, lateral-3: 0.7451, lateral-4: 0.8842, lateral-5: 0.7436]
2025-10-16 18:24:49.474068 Epoch [015/100], Step [0003/0003], [lateral-edge: 0.7171, lateral-2: 0.5775, lateral-3: 0.6882, lateral-4: 0.8393, lateral-5: 0.6840]
2025-10-16 18:24:51.035202 Epoch [016/100], Step [0003/0003], [lateral-edge: 0.7138, lateral-2: 0.6086, lateral-3: 0.7249, lateral-4: 0.8825, lateral-5: 0.7040]
2025-10-16 18:24:52.588569 Epoch [017/100], Step [0003/0003], [lateral-edge: 0.7110, lateral-2: 0.6237, lateral-3: 0.7414, lateral-4: 0.8966, lateral-5: 0.7163]
2025-10-16 18:24:54.182180 Epoch [018/100], Step [0003/0003], [lateral-edge: 0.7096, lateral-2: 0.5859, lateral-3: 0.6919, lateral-4: 0.8429, lateral-5: 0.6684]
2025-10-16 18:24:55.774715 Epoch [019/100], Step [0003/0003], [lateral-edge: 0.7087, lateral-2: 0.5813, lateral-3: 0.6982, lateral-4: 0.8503, lateral-5: 0.6725]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/Non-DP/6/Non-DPInf-Net-20.pth
2025-10-16 18:24:57.852302 Epoch [020/100], Step [0003/0003], [lateral-edge: 0.7057, lateral-2: 0.6090, lateral-3: 0.7276, lateral-4: 0.8815, lateral-5: 0.6877]
2025-10-16 18:24:59.444285 Epoch [021/100], Step [0003/0003], [lateral-edge: 0.7056, lateral-2: 0.5748, lateral-3: 0.7005, lateral-4: 0.8612, lateral-5: 0.6566]
2025-10-16 18:25:01.007247 Epoch [022/100], Step [0003/0003], [lateral-edge: 0.7041, lateral-2: 0.5206, lateral-3: 0.6412, lateral-4: 0.8017, lateral-5: 0.6026]
2025-10-16 18:25:02.574502 Epoch [023/100], Step [0003/0003], [lateral-edge: 0.7021, lateral-2: 0.5446, lateral-3: 0.6803, lateral-4: 0.8480, lateral-5: 0.6132]
2025-10-16 18:25:04.142124 Epoch [024/100], Step [0003/0003], [lateral-edge: 0.6998, lateral-2: 0.5687, lateral-3: 0.6966, lateral-4: 0.8563, lateral-5: 0.6317]
2025-10-16 18:25:05.728619 Epoch [025/100], Step [0003/0003], [lateral-edge: 0.6996, lateral-2: 0.5495, lateral-3: 0.6893, lateral-4: 0.8649, lateral-5: 0.6236]
2025-10-16 18:25:07.317223 Epoch [026/100], Step [0003/0003], [lateral-edge: 0.6992, lateral-2: 0.5018, lateral-3: 0.6267, lateral-4: 0.7894, lateral-5: 0.5612]
2025-10-16 18:25:08.883375 Epoch [027/100], Step [0003/0003], [lateral-edge: 0.6979, lateral-2: 0.5105, lateral-3: 0.6441, lateral-4: 0.8101, lateral-5: 0.5708]
2025-10-16 18:25:10.460836 Epoch [028/100], Step [0003/0003], [lateral-edge: 0.6969, lateral-2: 0.4886, lateral-3: 0.6330, lateral-4: 0.8042, lateral-5: 0.5416]
2025-10-16 18:25:12.016386 Epoch [029/100], Step [0003/0003], [lateral-edge: 0.6965, lateral-2: 0.5092, lateral-3: 0.6628, lateral-4: 0.8394, lateral-5: 0.5660]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/Non-DP/6/Non-DPInf-Net-30.pth
