Backbone loading: Res2Net50
Not loading weights from weights file
################################################## 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 128
Morphology: Disabled
Save Path: ./Snapshots/save_weights/Inf-Net/batch_128/run_2
Run: 2
Namespace(epoch=100, lr=0.0001, batchsize=128, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_morphology=False, morph_operation='close', morph_kernel_size=3, device='cuda')
 ##################################################
2025-10-23 17:18:51.134041 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7664, lateral-2: 1.5755, lateral-3: 1.5215, lateral-4: 1.5105, lateral-5: 1.5082]
2025-10-23 17:18:52.791261 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7609, lateral-2: 1.4302, lateral-3: 1.4345, lateral-4: 1.5143, lateral-5: 1.5013]
2025-10-23 17:18:54.453366 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7559, lateral-2: 1.3883, lateral-3: 1.4022, lateral-4: 1.4505, lateral-5: 1.4963]
2025-10-23 17:18:56.124846 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7528, lateral-2: 1.3684, lateral-3: 1.3783, lateral-4: 1.4299, lateral-5: 1.4819]
2025-10-23 17:18:57.786523 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7506, lateral-2: 1.3388, lateral-3: 1.3623, lateral-4: 1.4170, lateral-5: 1.4548]
2025-10-23 17:18:59.463692 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7484, lateral-2: 1.3115, lateral-3: 1.3444, lateral-4: 1.4053, lateral-5: 1.4119]
2025-10-23 17:19:01.134987 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7455, lateral-2: 1.2802, lateral-3: 1.3190, lateral-4: 1.3849, lateral-5: 1.3724]
2025-10-23 17:19:02.790912 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7436, lateral-2: 1.2431, lateral-3: 1.2809, lateral-4: 1.3520, lateral-5: 1.3408]
2025-10-23 17:19:04.441304 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7418, lateral-2: 1.1882, lateral-3: 1.2310, lateral-4: 1.3092, lateral-5: 1.3271]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/batch_128/run_2/Inf-Net-10.pth
2025-10-23 17:19:06.354811 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7400, lateral-2: 1.1384, lateral-3: 1.1904, lateral-4: 1.2646, lateral-5: 1.3288]
2025-10-23 17:19:08.010798 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7384, lateral-2: 1.0811, lateral-3: 1.1366, lateral-4: 1.2158, lateral-5: 1.3246]
2025-10-23 17:19:09.674299 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7367, lateral-2: 1.0010, lateral-3: 1.0539, lateral-4: 1.1436, lateral-5: 1.3625]
2025-10-23 17:19:11.333043 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7351, lateral-2: 0.9309, lateral-3: 0.9878, lateral-4: 1.0806, lateral-5: 1.4044]
2025-10-23 17:19:12.975489 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7338, lateral-2: 0.8865, lateral-3: 0.9549, lateral-4: 1.0520, lateral-5: 1.4386]
2025-10-23 17:19:14.654306 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7326, lateral-2: 0.8489, lateral-3: 0.9144, lateral-4: 1.0128, lateral-5: 1.4637]
2025-10-23 17:19:16.308677 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7313, lateral-2: 0.8204, lateral-3: 0.8897, lateral-4: 0.9948, lateral-5: 1.4396]
2025-10-23 17:19:17.988353 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7302, lateral-2: 0.8185, lateral-3: 0.8907, lateral-4: 0.9893, lateral-5: 1.4275]
2025-10-23 17:19:19.649074 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7290, lateral-2: 0.7969, lateral-3: 0.8701, lateral-4: 0.9832, lateral-5: 1.4297]
2025-10-23 17:19:21.314405 Epoch [019/100], Step [0001/0001], [lateral-edge: 0.7280, lateral-2: 0.7835, lateral-3: 0.8611, lateral-4: 0.9694, lateral-5: 1.3924]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/batch_128/run_2/Inf-Net-20.pth
2025-10-23 17:19:23.325138 Epoch [020/100], Step [0001/0001], [lateral-edge: 0.7270, lateral-2: 0.7578, lateral-3: 0.8355, lateral-4: 0.9488, lateral-5: 1.3858]
2025-10-23 17:19:24.982523 Epoch [021/100], Step [0001/0001], [lateral-edge: 0.7260, lateral-2: 0.7364, lateral-3: 0.8183, lateral-4: 0.9300, lateral-5: 1.3533]
2025-10-23 17:19:26.655383 Epoch [022/100], Step [0001/0001], [lateral-edge: 0.7250, lateral-2: 0.7195, lateral-3: 0.8027, lateral-4: 0.9145, lateral-5: 1.3402]
2025-10-23 17:19:28.348788 Epoch [023/100], Step [0001/0001], [lateral-edge: 0.7241, lateral-2: 0.7001, lateral-3: 0.7852, lateral-4: 0.9027, lateral-5: 1.3220]
2025-10-23 17:19:30.000950 Epoch [024/100], Step [0001/0001], [lateral-edge: 0.7232, lateral-2: 0.6929, lateral-3: 0.7817, lateral-4: 0.8987, lateral-5: 1.2993]
2025-10-23 17:19:31.673438 Epoch [025/100], Step [0001/0001], [lateral-edge: 0.7224, lateral-2: 0.6798, lateral-3: 0.7663, lateral-4: 0.8863, lateral-5: 1.3036]
2025-10-23 17:19:33.333419 Epoch [026/100], Step [0001/0001], [lateral-edge: 0.7216, lateral-2: 0.6809, lateral-3: 0.7741, lateral-4: 0.8945, lateral-5: 1.2636]
2025-10-23 17:19:35.011414 Epoch [027/100], Step [0001/0001], [lateral-edge: 0.7208, lateral-2: 0.6610, lateral-3: 0.7511, lateral-4: 0.8726, lateral-5: 1.2731]
2025-10-23 17:19:36.679908 Epoch [028/100], Step [0001/0001], [lateral-edge: 0.7200, lateral-2: 0.6534, lateral-3: 0.7503, lateral-4: 0.8734, lateral-5: 1.2359]
