Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 128
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: Disabled
Save Path: ./Snapshots/save_weights/Inf-Net_DP/batch_128/run_3/noise_multiplier_0.05
Run: 3
Namespace(epoch=100, lr=0.0001, batchsize=128, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=3, enable_privacy=True, noise_multiplier=0.05, max_grad_norm=1.0, delta=1e-05, enable_morphology=False, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 13:57:25.595668 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7766, lateral-2: 1.7287, lateral-3: 1.6200, lateral-4: 1.5500, lateral-5: 1.5332, epsilon: inf]
2025-10-24 13:57:29.915418 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7746, lateral-2: 1.4670, lateral-3: 1.4431, lateral-4: 1.4538, lateral-5: 1.5049, epsilon: inf]
2025-10-24 13:57:35.243337 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7717, lateral-2: 1.3628, lateral-3: 1.3684, lateral-4: 1.3953, lateral-5: 1.4652, epsilon: inf]
2025-10-24 13:57:42.008207 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7697, lateral-2: 1.2679, lateral-3: 1.3006, lateral-4: 1.3472, lateral-5: 1.4087, epsilon: inf]
2025-10-24 13:57:49.528106 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7686, lateral-2: 1.1954, lateral-3: 1.2413, lateral-4: 1.3106, lateral-5: 1.3597, epsilon: inf]
2025-10-24 13:57:59.128587 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7676, lateral-2: 1.1456, lateral-3: 1.1946, lateral-4: 1.2774, lateral-5: 1.3261, epsilon: inf]
2025-10-24 13:58:10.449808 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7666, lateral-2: 1.1040, lateral-3: 1.1562, lateral-4: 1.2480, lateral-5: 1.3023, epsilon: inf]
2025-10-24 13:58:31.948000 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7655, lateral-2: 1.0720, lateral-3: 1.1280, lateral-4: 1.2230, lateral-5: 1.2779, epsilon: inf]
2025-10-24 13:58:47.799035 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7645, lateral-2: 1.0491, lateral-3: 1.1067, lateral-4: 1.1981, lateral-5: 1.2465, epsilon: inf]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP/batch_128/run_3/noise_multiplier_0.05/Inf-Net-10.pth
2025-10-24 13:59:06.771108 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7634, lateral-2: 1.0310, lateral-3: 1.0889, lateral-4: 1.1756, lateral-5: 1.2132, epsilon: inf]
2025-10-24 13:59:28.522464 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7623, lateral-2: 1.0147, lateral-3: 1.0733, lateral-4: 1.1569, lateral-5: 1.1862, epsilon: inf]
2025-10-24 13:59:52.045795 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7612, lateral-2: 1.0000, lateral-3: 1.0590, lateral-4: 1.1397, lateral-5: 1.1668, epsilon: inf]
2025-10-24 14:00:23.909218 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7603, lateral-2: 0.9856, lateral-3: 1.0441, lateral-4: 1.1223, lateral-5: 1.1504, epsilon: inf]
2025-10-24 14:00:54.014054 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7594, lateral-2: 0.9706, lateral-3: 1.0290, lateral-4: 1.1071, lateral-5: 1.1348, epsilon: inf]
2025-10-24 14:01:27.624757 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7587, lateral-2: 0.9560, lateral-3: 1.0145, lateral-4: 1.0946, lateral-5: 1.1216, epsilon: inf]
2025-10-24 14:02:03.811915 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7580, lateral-2: 0.9428, lateral-3: 1.0013, lateral-4: 1.0824, lateral-5: 1.1081, epsilon: inf]
2025-10-24 14:02:37.526318 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7573, lateral-2: 0.9309, lateral-3: 0.9887, lateral-4: 1.0686, lateral-5: 1.0937, epsilon: inf]
2025-10-24 14:03:21.402767 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7566, lateral-2: 0.9200, lateral-3: 0.9774, lateral-4: 1.0561, lateral-5: 1.0811, epsilon: inf]
Training completed at Fri Oct 24 14:03:59 CEST 2025
