Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 128
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: Disabled
Save Path: ./Snapshots/save_weights/Inf-Net_DP/batch_128/run_2/noise_multiplier_0.3
Run: 2
Namespace(epoch=100, lr=0.0001, batchsize=128, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_privacy=True, noise_multiplier=0.3, max_grad_norm=1.0, delta=1e-05, enable_morphology=False, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 13:16:08.327390 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7653, lateral-2: 1.6540, lateral-3: 1.6245, lateral-4: 1.5471, lateral-5: 1.5265, epsilon: 40.5547]
2025-10-24 13:16:11.357047 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7649, lateral-2: 1.5827, lateral-3: 1.5648, lateral-4: 1.4866, lateral-5: 1.5122, epsilon: 67.3649]
2025-10-24 13:16:14.395033 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7649, lateral-2: 1.5164, lateral-3: 1.5188, lateral-4: 1.4628, lateral-5: 1.5022, epsilon: 91.8295]
2025-10-24 13:16:17.529429 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7649, lateral-2: 1.4688, lateral-3: 1.4762, lateral-4: 1.4417, lateral-5: 1.4933, epsilon: 115.0760]
2025-10-24 13:16:20.714988 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7650, lateral-2: 1.4419, lateral-3: 1.4495, lateral-4: 1.4262, lateral-5: 1.4848, epsilon: 137.5426]
2025-10-24 13:16:23.838373 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7649, lateral-2: 1.4203, lateral-3: 1.4272, lateral-4: 1.4096, lateral-5: 1.4761, epsilon: 159.4546]
2025-10-24 13:16:27.043993 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7645, lateral-2: 1.4000, lateral-3: 1.4065, lateral-4: 1.3928, lateral-5: 1.4670, epsilon: 180.9461]
2025-10-24 13:16:30.382437 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7640, lateral-2: 1.3809, lateral-3: 1.3889, lateral-4: 1.3786, lateral-5: 1.4572, epsilon: 202.1045]
2025-10-24 13:16:33.645975 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7635, lateral-2: 1.3625, lateral-3: 1.3727, lateral-4: 1.3661, lateral-5: 1.4476, epsilon: 222.9906]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP/batch_128/run_2/noise_multiplier_0.3/Inf-Net-10.pth
2025-10-24 13:16:42.455695 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7631, lateral-2: 1.3437, lateral-3: 1.3560, lateral-4: 1.3535, lateral-5: 1.4383, epsilon: 243.6485]
