Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 32
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: Disabled
Save Path: ./Snapshots/save_weights/Inf-Net_DP/batch_32/run_1
Run: 1
Namespace(epoch=100, lr=0.0001, batchsize=32, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=1, enable_privacy=True, noise_multiplier=0.3, max_grad_norm=1.0, delta=1e-05, enable_morphology=False, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 12:27:29.429243 Epoch [001/100], Step [0002/0002], [lateral-edge: 0.7803, lateral-2: 1.6248, lateral-3: 1.6170, lateral-4: 1.5902, lateral-5: 1.5421, epsilon: 54.8910]
2025-10-24 12:27:34.552657 Epoch [002/100], Step [0002/0002], [lateral-edge: 0.7804, lateral-2: 1.5523, lateral-3: 1.5607, lateral-4: 1.5605, lateral-5: 1.5510, epsilon: 84.8094]
2025-10-24 12:27:38.831102 Epoch [003/100], Step [0002/0002], [lateral-edge: 0.7790, lateral-2: 1.5119, lateral-3: 1.5121, lateral-4: 1.5277, lateral-5: 1.5350, epsilon: 110.4391]
2025-10-24 12:27:43.517594 Epoch [004/100], Step [0002/0002], [lateral-edge: 0.7772, lateral-2: 1.4682, lateral-3: 1.4838, lateral-4: 1.5042, lateral-5: 1.5176, epsilon: 133.9877]
2025-10-24 12:27:49.139490 Epoch [005/100], Step [0002/0002], [lateral-edge: 0.7769, lateral-2: 1.4538, lateral-3: 1.4805, lateral-4: 1.4972, lateral-5: 1.5194, epsilon: 156.2438]
2025-10-24 12:27:55.145001 Epoch [006/100], Step [0002/0002], [lateral-edge: 0.7744, lateral-2: 1.3943, lateral-3: 1.4147, lateral-4: 1.4449, lateral-5: 1.4913, epsilon: 177.5980]
2025-10-24 12:28:00.500925 Epoch [007/100], Step [0002/0002], [lateral-edge: 0.7737, lateral-2: 1.4159, lateral-3: 1.4410, lateral-4: 1.4685, lateral-5: 1.5018, epsilon: 198.2751]
2025-10-24 12:28:05.462698 Epoch [008/100], Step [0002/0002], [lateral-edge: 0.7717, lateral-2: 1.3893, lateral-3: 1.4187, lateral-4: 1.4485, lateral-5: 1.4881, epsilon: 218.4212]
2025-10-24 12:28:11.023083 Epoch [009/100], Step [0002/0002], [lateral-edge: 0.7709, lateral-2: 1.3620, lateral-3: 1.3884, lateral-4: 1.4312, lateral-5: 1.4763, epsilon: 238.1356]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP/batch_32/run_1/Inf-Net-10.pth
2025-10-24 12:28:16.159706 Epoch [010/100], Step [0002/0002], [lateral-edge: 0.7693, lateral-2: 1.3463, lateral-3: 1.3729, lateral-4: 1.4128, lateral-5: 1.4693, epsilon: 257.4901]
2025-10-24 12:28:21.280586 Epoch [011/100], Step [0002/0002], [lateral-edge: 0.7679, lateral-2: 1.3265, lateral-3: 1.3517, lateral-4: 1.3958, lateral-5: 1.4580, epsilon: 276.5388]
2025-10-24 12:28:26.014994 Epoch [012/100], Step [0002/0002], [lateral-edge: 0.7665, lateral-2: 1.2936, lateral-3: 1.3240, lateral-4: 1.3741, lateral-5: 1.4405, epsilon: 295.3234]
2025-10-24 12:28:31.058198 Epoch [013/100], Step [0002/0002], [lateral-edge: 0.7672, lateral-2: 1.2811, lateral-3: 1.3003, lateral-4: 1.3510, lateral-5: 1.4313, epsilon: 313.8771]
2025-10-24 12:28:36.872066 Epoch [014/100], Step [0002/0002], [lateral-edge: 0.7652, lateral-2: 1.2663, lateral-3: 1.2945, lateral-4: 1.3412, lateral-5: 1.4169, epsilon: 332.2264]
2025-10-24 12:28:41.856179 Epoch [015/100], Step [0002/0002], [lateral-edge: 0.7645, lateral-2: 1.2442, lateral-3: 1.2784, lateral-4: 1.3264, lateral-5: 1.4055, epsilon: 350.3931]
