Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 128
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: close
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_128/run_1
Run: 1
Namespace(epoch=100, lr=0.0001, batchsize=128, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=1, enable_privacy=True, noise_multiplier=1.5, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 12:31:35.955632 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7732, lateral-2: 1.6680, lateral-3: 1.6265, lateral-4: 1.5982, lateral-5: 1.5508, epsilon: 5.1851]
2025-10-24 12:31:39.046221 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7729, lateral-2: 1.6194, lateral-3: 1.5818, lateral-4: 1.5692, lateral-5: 1.5471, epsilon: 7.8193]
2025-10-24 12:31:42.167643 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7725, lateral-2: 1.5978, lateral-3: 1.5570, lateral-4: 1.5519, lateral-5: 1.5435, epsilon: 10.0077]
2025-10-24 12:31:45.332648 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7723, lateral-2: 1.5860, lateral-3: 1.5442, lateral-4: 1.5418, lateral-5: 1.5405, epsilon: 11.9630]
2025-10-24 12:31:48.395021 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7721, lateral-2: 1.5735, lateral-3: 1.5340, lateral-4: 1.5328, lateral-5: 1.5380, epsilon: 13.7684]
2025-10-24 12:31:51.472183 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7719, lateral-2: 1.5599, lateral-3: 1.5243, lateral-4: 1.5232, lateral-5: 1.5361, epsilon: 15.4668]
2025-10-24 12:31:54.546377 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7716, lateral-2: 1.5463, lateral-3: 1.5151, lateral-4: 1.5138, lateral-5: 1.5344, epsilon: 17.0838]
2025-10-24 12:31:57.632294 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7713, lateral-2: 1.5342, lateral-3: 1.5072, lateral-4: 1.5052, lateral-5: 1.5328, epsilon: 18.6363]
2025-10-24 12:32:00.817895 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7710, lateral-2: 1.5234, lateral-3: 1.5004, lateral-4: 1.4985, lateral-5: 1.5311, epsilon: 20.1358]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_128/run_1/Inf-Net-10.pth
2025-10-24 12:32:04.065924 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7708, lateral-2: 1.5133, lateral-3: 1.4940, lateral-4: 1.4931, lateral-5: 1.5293, epsilon: 21.5910]
