Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 128
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: close
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_128/run_3/noise_multiplier_1.5
Run: 3
Namespace(epoch=100, lr=0.0001, batchsize=128, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=3, enable_privacy=True, noise_multiplier=1.5, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 14:19:25.467189 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7697, lateral-2: 1.7180, lateral-3: 1.7505, lateral-4: 1.6225, lateral-5: 1.5308, epsilon: 5.1851]
2025-10-24 14:19:28.516564 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7695, lateral-2: 1.6661, lateral-3: 1.7006, lateral-4: 1.5892, lateral-5: 1.5265, epsilon: 7.8193]
2025-10-24 14:19:31.586431 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7693, lateral-2: 1.6225, lateral-3: 1.6565, lateral-4: 1.5588, lateral-5: 1.5225, epsilon: 10.0077]
2025-10-24 14:19:34.775786 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7691, lateral-2: 1.5943, lateral-3: 1.6276, lateral-4: 1.5380, lateral-5: 1.5187, epsilon: 11.9630]
2025-10-24 14:19:37.857303 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7690, lateral-2: 1.5782, lateral-3: 1.6110, lateral-4: 1.5255, lateral-5: 1.5154, epsilon: 13.7684]
2025-10-24 14:19:40.886149 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7689, lateral-2: 1.5672, lateral-3: 1.5990, lateral-4: 1.5169, lateral-5: 1.5126, epsilon: 15.4668]
2025-10-24 14:19:43.917952 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7687, lateral-2: 1.5569, lateral-3: 1.5859, lateral-4: 1.5086, lateral-5: 1.5100, epsilon: 17.0838]
2025-10-24 14:19:47.027032 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7686, lateral-2: 1.5463, lateral-3: 1.5720, lateral-4: 1.4999, lateral-5: 1.5076, epsilon: 18.6363]
2025-10-24 14:19:50.229088 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7685, lateral-2: 1.5360, lateral-3: 1.5584, lateral-4: 1.4915, lateral-5: 1.5053, epsilon: 20.1358]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_128/run_3/noise_multiplier_1.5/Inf-Net-10.pth
2025-10-24 14:19:53.437580 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7683, lateral-2: 1.5262, lateral-3: 1.5461, lateral-4: 1.4835, lateral-5: 1.5031, epsilon: 21.5910]
