Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: close
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_64/run_3/noise_multiplier_0.05
Run: 3
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=3, enable_privacy=True, noise_multiplier=0.05, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 14:36:06.044673 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7756, lateral-2: 1.5083, lateral-3: 1.5831, lateral-4: 1.5401, lateral-5: 1.5073, epsilon: inf]
2025-10-24 14:36:10.436019 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7739, lateral-2: 1.3767, lateral-3: 1.4030, lateral-4: 1.4296, lateral-5: 1.4511, epsilon: inf]
2025-10-24 14:36:15.879099 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7720, lateral-2: 1.2872, lateral-3: 1.3158, lateral-4: 1.3595, lateral-5: 1.4162, epsilon: inf]
2025-10-24 14:36:22.750034 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7703, lateral-2: 1.2196, lateral-3: 1.2483, lateral-4: 1.3033, lateral-5: 1.3815, epsilon: inf]
2025-10-24 14:36:30.283061 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7688, lateral-2: 1.1614, lateral-3: 1.1909, lateral-4: 1.2544, lateral-5: 1.3482, epsilon: inf]
2025-10-24 14:36:40.095283 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7673, lateral-2: 1.1132, lateral-3: 1.1462, lateral-4: 1.2208, lateral-5: 1.3146, epsilon: inf]
2025-10-24 14:36:51.513688 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7655, lateral-2: 1.0761, lateral-3: 1.1141, lateral-4: 1.1943, lateral-5: 1.2752, epsilon: inf]
2025-10-24 14:37:13.091317 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7635, lateral-2: 1.0471, lateral-3: 1.0919, lateral-4: 1.1678, lateral-5: 1.2359, epsilon: inf]
2025-10-24 14:37:28.754534 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7619, lateral-2: 1.0252, lateral-3: 1.0700, lateral-4: 1.1418, lateral-5: 1.2044, epsilon: inf]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_64/run_3/noise_multiplier_0.05/Inf-Net-10.pth
2025-10-24 14:37:47.650744 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7608, lateral-2: 1.0079, lateral-3: 1.0526, lateral-4: 1.1236, lateral-5: 1.1787, epsilon: inf]
2025-10-24 14:38:08.585840 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7598, lateral-2: 0.9892, lateral-3: 1.0388, lateral-4: 1.1057, lateral-5: 1.1565, epsilon: inf]
2025-10-24 14:38:30.931407 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7590, lateral-2: 0.9749, lateral-3: 1.0211, lateral-4: 1.0902, lateral-5: 1.1376, epsilon: inf]
2025-10-24 14:39:00.943555 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7583, lateral-2: 0.9611, lateral-3: 1.0048, lateral-4: 1.0776, lateral-5: 1.1219, epsilon: inf]
2025-10-24 14:39:28.171978 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7576, lateral-2: 0.9453, lateral-3: 0.9908, lateral-4: 1.0644, lateral-5: 1.1078, epsilon: inf]
2025-10-24 14:40:00.352086 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7569, lateral-2: 0.9327, lateral-3: 0.9773, lateral-4: 1.0510, lateral-5: 1.0943, epsilon: inf]
2025-10-24 14:40:34.213531 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7561, lateral-2: 0.9199, lateral-3: 0.9651, lateral-4: 1.0377, lateral-5: 1.0806, epsilon: inf]
2025-10-24 14:41:05.204106 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7554, lateral-2: 0.9069, lateral-3: 0.9531, lateral-4: 1.0262, lateral-5: 1.0670, epsilon: inf]
2025-10-24 14:41:47.161499 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7547, lateral-2: 0.8957, lateral-3: 0.9419, lateral-4: 1.0162, lateral-5: 1.0544, epsilon: inf]
Training completed at Fri Oct 24 14:42:09 CEST 2025
