Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: dilation
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/dilation/batch_64/run_2
Run: 2
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_privacy=True, noise_multiplier=1.5, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='dilation', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 12:47:32.821215 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7675, lateral-2: 1.7139, lateral-3: 1.6067, lateral-4: 1.5966, lateral-5: 1.5409, epsilon: 5.1851]
2025-10-24 12:47:35.895152 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7673, lateral-2: 1.6854, lateral-3: 1.5825, lateral-4: 1.5593, lateral-5: 1.5387, epsilon: 7.8193]
2025-10-24 12:47:39.031308 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7670, lateral-2: 1.6642, lateral-3: 1.5644, lateral-4: 1.5340, lateral-5: 1.5364, epsilon: 10.0077]
2025-10-24 12:47:42.287721 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7667, lateral-2: 1.6496, lateral-3: 1.5517, lateral-4: 1.5213, lateral-5: 1.5341, epsilon: 11.9630]
2025-10-24 12:47:45.489786 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7662, lateral-2: 1.6383, lateral-3: 1.5422, lateral-4: 1.5142, lateral-5: 1.5317, epsilon: 13.7684]
2025-10-24 12:47:48.786163 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7659, lateral-2: 1.6283, lateral-3: 1.5341, lateral-4: 1.5088, lateral-5: 1.5292, epsilon: 15.4668]
2025-10-24 12:47:52.019556 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7657, lateral-2: 1.6190, lateral-3: 1.5266, lateral-4: 1.5041, lateral-5: 1.5263, epsilon: 17.0838]
2025-10-24 12:47:55.118708 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7654, lateral-2: 1.6103, lateral-3: 1.5199, lateral-4: 1.4994, lateral-5: 1.5234, epsilon: 18.6363]
2025-10-24 12:47:58.476250 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7652, lateral-2: 1.6020, lateral-3: 1.5137, lateral-4: 1.4950, lateral-5: 1.5206, epsilon: 20.1358]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/dilation/batch_64/run_2/Inf-Net-10.pth
2025-10-24 12:48:01.678705 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7650, lateral-2: 1.5936, lateral-3: 1.5075, lateral-4: 1.4908, lateral-5: 1.5178, epsilon: 21.5910]
2025-10-24 12:48:04.750017 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7648, lateral-2: 1.5857, lateral-3: 1.5017, lateral-4: 1.4864, lateral-5: 1.5151, epsilon: 23.0082]
2025-10-24 12:48:07.878167 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7645, lateral-2: 1.5781, lateral-3: 1.4961, lateral-4: 1.4820, lateral-5: 1.5124, epsilon: 24.3925]
2025-10-24 12:48:11.133219 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7641, lateral-2: 1.5710, lateral-3: 1.4910, lateral-4: 1.4779, lateral-5: 1.5097, epsilon: 25.7479]
2025-10-24 12:48:14.285214 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7638, lateral-2: 1.5641, lateral-3: 1.4862, lateral-4: 1.4737, lateral-5: 1.5071, epsilon: 27.0777]
2025-10-24 12:48:17.521481 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7635, lateral-2: 1.5577, lateral-3: 1.4817, lateral-4: 1.4700, lateral-5: 1.5047, epsilon: 28.3845]
2025-10-24 12:48:20.690618 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7632, lateral-2: 1.5513, lateral-3: 1.4772, lateral-4: 1.4663, lateral-5: 1.5023, epsilon: 29.6705]
2025-10-24 12:48:23.824468 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7630, lateral-2: 1.5451, lateral-3: 1.4729, lateral-4: 1.4630, lateral-5: 1.5000, epsilon: 30.9378]
2025-10-24 12:48:27.274304 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7627, lateral-2: 1.5391, lateral-3: 1.4690, lateral-4: 1.4598, lateral-5: 1.4978, epsilon: 32.1878]
2025-10-24 12:48:30.499292 Epoch [019/100], Step [0001/0001], [lateral-edge: 0.7624, lateral-2: 1.5332, lateral-3: 1.4650, lateral-4: 1.4566, lateral-5: 1.4955, epsilon: 33.4220]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/dilation/batch_64/run_2/Inf-Net-20.pth
2025-10-24 12:48:33.808292 Epoch [020/100], Step [0001/0001], [lateral-edge: 0.7621, lateral-2: 1.5273, lateral-3: 1.4610, lateral-4: 1.4537, lateral-5: 1.4932, epsilon: 34.6416]
2025-10-24 12:48:37.037767 Epoch [021/100], Step [0001/0001], [lateral-edge: 0.7618, lateral-2: 1.5211, lateral-3: 1.4570, lateral-4: 1.4509, lateral-5: 1.4910, epsilon: 35.8478]
2025-10-24 12:48:40.542192 Epoch [022/100], Step [0001/0001], [lateral-edge: 0.7616, lateral-2: 1.5149, lateral-3: 1.4530, lateral-4: 1.4482, lateral-5: 1.4887, epsilon: 37.0413]
2025-10-24 12:48:43.762093 Epoch [023/100], Step [0001/0001], [lateral-edge: 0.7613, lateral-2: 1.5089, lateral-3: 1.4492, lateral-4: 1.4458, lateral-5: 1.4866, epsilon: 38.2232]
