Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: dilation
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/dilation/batch_64/run_2/noise_multiplier_1.5
Run: 2
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_privacy=True, noise_multiplier=1.5, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='dilation', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 14:14:11.648077 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7742, lateral-2: 1.6194, lateral-3: 1.6053, lateral-4: 1.5567, lateral-5: 1.5453, epsilon: 5.1851]
2025-10-24 14:14:14.600062 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7743, lateral-2: 1.5938, lateral-3: 1.5809, lateral-4: 1.5365, lateral-5: 1.5436, epsilon: 7.8193]
2025-10-24 14:14:17.590874 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7740, lateral-2: 1.5753, lateral-3: 1.5628, lateral-4: 1.5216, lateral-5: 1.5408, epsilon: 10.0077]
2025-10-24 14:14:20.664485 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7736, lateral-2: 1.5620, lateral-3: 1.5493, lateral-4: 1.5104, lateral-5: 1.5384, epsilon: 11.9630]
2025-10-24 14:14:23.634618 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7730, lateral-2: 1.5516, lateral-3: 1.5389, lateral-4: 1.5017, lateral-5: 1.5362, epsilon: 13.7684]
2025-10-24 14:14:26.612901 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7726, lateral-2: 1.5436, lateral-3: 1.5306, lateral-4: 1.4945, lateral-5: 1.5342, epsilon: 15.4668]
2025-10-24 14:14:29.605164 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7720, lateral-2: 1.5363, lateral-3: 1.5236, lateral-4: 1.4885, lateral-5: 1.5324, epsilon: 17.0838]
2025-10-24 14:14:32.576866 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7714, lateral-2: 1.5301, lateral-3: 1.5174, lateral-4: 1.4835, lateral-5: 1.5304, epsilon: 18.6363]
2025-10-24 14:14:35.686451 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7710, lateral-2: 1.5244, lateral-3: 1.5117, lateral-4: 1.4791, lateral-5: 1.5285, epsilon: 20.1358]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/dilation/batch_64/run_2/noise_multiplier_1.5/Inf-Net-10.pth
2025-10-24 14:14:38.810294 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7706, lateral-2: 1.5187, lateral-3: 1.5069, lateral-4: 1.4755, lateral-5: 1.5265, epsilon: 21.5910]
2025-10-24 14:14:41.815266 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7701, lateral-2: 1.5135, lateral-3: 1.5027, lateral-4: 1.4722, lateral-5: 1.5246, epsilon: 23.0082]
2025-10-24 14:14:44.814964 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7696, lateral-2: 1.5085, lateral-3: 1.4987, lateral-4: 1.4693, lateral-5: 1.5229, epsilon: 24.3925]
2025-10-24 14:14:47.964309 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7692, lateral-2: 1.5036, lateral-3: 1.4948, lateral-4: 1.4666, lateral-5: 1.5211, epsilon: 25.7479]
2025-10-24 14:14:50.967262 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7688, lateral-2: 1.4988, lateral-3: 1.4912, lateral-4: 1.4638, lateral-5: 1.5193, epsilon: 27.0777]
2025-10-24 14:14:53.979474 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7683, lateral-2: 1.4939, lateral-3: 1.4877, lateral-4: 1.4610, lateral-5: 1.5175, epsilon: 28.3845]
2025-10-24 14:14:56.976810 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7680, lateral-2: 1.4892, lateral-3: 1.4843, lateral-4: 1.4583, lateral-5: 1.5159, epsilon: 29.6705]
