Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 128
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: dilation
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/dilation/batch_128/run_2/noise_multiplier_0.05
Run: 2
Namespace(epoch=100, lr=0.0001, batchsize=128, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_privacy=True, noise_multiplier=0.05, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='dilation', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 13:25:28.013899 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7713, lateral-2: 1.6156, lateral-3: 1.5446, lateral-4: 1.5317, lateral-5: 1.5355, epsilon: inf]
2025-10-24 13:25:32.478815 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7693, lateral-2: 1.4619, lateral-3: 1.4450, lateral-4: 1.4397, lateral-5: 1.5025, epsilon: inf]
2025-10-24 13:25:37.908900 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7664, lateral-2: 1.3496, lateral-3: 1.3751, lateral-4: 1.3839, lateral-5: 1.4753, epsilon: inf]
2025-10-24 13:25:44.758510 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7630, lateral-2: 1.2675, lateral-3: 1.3064, lateral-4: 1.3309, lateral-5: 1.4450, epsilon: inf]
2025-10-24 13:25:52.134641 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7602, lateral-2: 1.2035, lateral-3: 1.2391, lateral-4: 1.2882, lateral-5: 1.4096, epsilon: inf]
2025-10-24 13:26:01.900139 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7587, lateral-2: 1.1508, lateral-3: 1.1836, lateral-4: 1.2526, lateral-5: 1.3696, epsilon: inf]
2025-10-24 13:26:13.572361 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7579, lateral-2: 1.1082, lateral-3: 1.1426, lateral-4: 1.2265, lateral-5: 1.3270, epsilon: inf]
2025-10-24 13:26:35.156770 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7573, lateral-2: 1.0723, lateral-3: 1.1121, lateral-4: 1.2046, lateral-5: 1.2847, epsilon: inf]
2025-10-24 13:26:51.118673 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7565, lateral-2: 1.0409, lateral-3: 1.0874, lateral-4: 1.1816, lateral-5: 1.2451, epsilon: inf]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/dilation/batch_128/run_2/noise_multiplier_0.05/Inf-Net-10.pth
2025-10-24 13:27:10.193229 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7555, lateral-2: 1.0147, lateral-3: 1.0669, lateral-4: 1.1583, lateral-5: 1.2109, epsilon: inf]
2025-10-24 13:27:31.715107 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7545, lateral-2: 0.9940, lateral-3: 1.0495, lateral-4: 1.1367, lateral-5: 1.1836, epsilon: inf]
2025-10-24 13:27:54.051971 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7537, lateral-2: 0.9763, lateral-3: 1.0341, lateral-4: 1.1182, lateral-5: 1.1602, epsilon: inf]
2025-10-24 13:28:23.448750 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7530, lateral-2: 0.9596, lateral-3: 1.0195, lateral-4: 1.1016, lateral-5: 1.1396, epsilon: inf]
2025-10-24 13:28:51.641797 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7523, lateral-2: 0.9440, lateral-3: 1.0053, lateral-4: 1.0851, lateral-5: 1.1226, epsilon: inf]
2025-10-24 13:29:24.123002 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7516, lateral-2: 0.9303, lateral-3: 0.9919, lateral-4: 1.0692, lateral-5: 1.1075, epsilon: inf]
2025-10-24 13:29:58.073165 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7509, lateral-2: 0.9176, lateral-3: 0.9794, lateral-4: 1.0551, lateral-5: 1.0923, epsilon: inf]
2025-10-24 13:30:28.933233 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7503, lateral-2: 0.9055, lateral-3: 0.9677, lateral-4: 1.0431, lateral-5: 1.0775, epsilon: inf]
2025-10-24 13:31:11.118105 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7497, lateral-2: 0.8941, lateral-3: 0.9565, lateral-4: 1.0319, lateral-5: 1.0640, epsilon: inf]
Training completed at Fri Oct 24 13:31:34 CEST 2025
