Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: dilation
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/dilation/batch_64/run_2
Run: 2
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_privacy=True, noise_multiplier=0.05, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='dilation', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 12:51:48.157793 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7682, lateral-2: 1.5844, lateral-3: 1.5964, lateral-4: 1.5579, lateral-5: 1.5598, epsilon: inf]
2025-10-24 12:51:52.849725 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7672, lateral-2: 1.4782, lateral-3: 1.4318, lateral-4: 1.4597, lateral-5: 1.5018, epsilon: inf]
2025-10-24 12:51:58.735432 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7661, lateral-2: 1.3562, lateral-3: 1.3424, lateral-4: 1.3828, lateral-5: 1.4592, epsilon: inf]
2025-10-24 12:52:05.889250 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7648, lateral-2: 1.2563, lateral-3: 1.2630, lateral-4: 1.3275, lateral-5: 1.4181, epsilon: inf]
2025-10-24 12:52:14.560164 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7631, lateral-2: 1.1898, lateral-3: 1.2024, lateral-4: 1.2809, lateral-5: 1.3705, epsilon: inf]
2025-10-24 12:52:26.173065 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7614, lateral-2: 1.1359, lateral-3: 1.1605, lateral-4: 1.2455, lateral-5: 1.3254, epsilon: inf]
2025-10-24 12:52:39.242577 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7599, lateral-2: 1.0927, lateral-3: 1.1344, lateral-4: 1.2198, lateral-5: 1.2878, epsilon: inf]
2025-10-24 12:53:07.404662 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7587, lateral-2: 1.0613, lateral-3: 1.1132, lateral-4: 1.1983, lateral-5: 1.2507, epsilon: inf]
2025-10-24 12:53:26.296492 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7577, lateral-2: 1.0390, lateral-3: 1.0912, lateral-4: 1.1764, lateral-5: 1.2152, epsilon: inf]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/dilation/batch_64/run_2/Inf-Net-10.pth
2025-10-24 12:53:46.994204 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7568, lateral-2: 1.0190, lateral-3: 1.0716, lateral-4: 1.1546, lateral-5: 1.1885, epsilon: inf]
2025-10-24 12:54:12.256134 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7560, lateral-2: 0.9994, lateral-3: 1.0552, lateral-4: 1.1354, lateral-5: 1.1690, epsilon: inf]
2025-10-24 12:54:37.034936 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7553, lateral-2: 0.9851, lateral-3: 1.0403, lateral-4: 1.1195, lateral-5: 1.1524, epsilon: inf]
2025-10-24 12:55:21.346350 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7547, lateral-2: 0.9712, lateral-3: 1.0239, lateral-4: 1.1029, lateral-5: 1.1345, epsilon: inf]
2025-10-24 12:55:55.556322 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7540, lateral-2: 0.9571, lateral-3: 1.0108, lateral-4: 1.0891, lateral-5: 1.1199, epsilon: inf]
2025-10-24 12:56:34.920766 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7532, lateral-2: 0.9440, lateral-3: 0.9987, lateral-4: 1.0758, lateral-5: 1.1074, epsilon: inf]
2025-10-24 12:57:23.706100 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7525, lateral-2: 0.9314, lateral-3: 0.9866, lateral-4: 1.0637, lateral-5: 1.0936, epsilon: inf]
