Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: erosion
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/erosion/batch_64/run_3/noise_multiplier_0.05
Run: 3
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=3, enable_privacy=True, noise_multiplier=0.05, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='erosion', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 13:25:20.951227 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7730, lateral-2: 1.5702, lateral-3: 1.5383, lateral-4: 1.6157, lateral-5: 1.5202, epsilon: inf]
2025-10-24 13:25:25.240698 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7673, lateral-2: 1.4127, lateral-3: 1.4299, lateral-4: 1.4769, lateral-5: 1.4645, epsilon: inf]
2025-10-24 13:25:30.440134 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7629, lateral-2: 1.3090, lateral-3: 1.3591, lateral-4: 1.4007, lateral-5: 1.4375, epsilon: inf]
2025-10-24 13:25:37.109896 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7621, lateral-2: 1.2223, lateral-3: 1.2953, lateral-4: 1.3340, lateral-5: 1.4019, epsilon: inf]
2025-10-24 13:25:44.465794 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7614, lateral-2: 1.1595, lateral-3: 1.2340, lateral-4: 1.2907, lateral-5: 1.3603, epsilon: inf]
2025-10-24 13:25:53.830210 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7599, lateral-2: 1.1171, lateral-3: 1.1851, lateral-4: 1.2605, lateral-5: 1.3233, epsilon: inf]
2025-10-24 13:26:04.894526 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7581, lateral-2: 1.0879, lateral-3: 1.1535, lateral-4: 1.2330, lateral-5: 1.2920, epsilon: inf]
2025-10-24 13:26:26.889941 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7566, lateral-2: 1.0635, lateral-3: 1.1298, lateral-4: 1.2084, lateral-5: 1.2637, epsilon: inf]
2025-10-24 13:26:42.272899 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7554, lateral-2: 1.0442, lateral-3: 1.1088, lateral-4: 1.1854, lateral-5: 1.2342, epsilon: inf]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/erosion/batch_64/run_3/noise_multiplier_0.05/Inf-Net-10.pth
2025-10-24 13:27:00.873550 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7543, lateral-2: 1.0276, lateral-3: 1.0915, lateral-4: 1.1676, lateral-5: 1.2056, epsilon: inf]
2025-10-24 13:27:21.905574 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7534, lateral-2: 1.0114, lateral-3: 1.0770, lateral-4: 1.1533, lateral-5: 1.1821, epsilon: inf]
2025-10-24 13:27:43.883946 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7525, lateral-2: 0.9967, lateral-3: 1.0645, lateral-4: 1.1409, lateral-5: 1.1641, epsilon: inf]
2025-10-24 13:28:15.751519 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7518, lateral-2: 0.9835, lateral-3: 1.0523, lateral-4: 1.1297, lateral-5: 1.1468, epsilon: inf]
2025-10-24 13:28:43.956237 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7511, lateral-2: 0.9712, lateral-3: 1.0393, lateral-4: 1.1179, lateral-5: 1.1290, epsilon: inf]
2025-10-24 13:29:16.627453 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7505, lateral-2: 0.9596, lateral-3: 1.0266, lateral-4: 1.1050, lateral-5: 1.1141, epsilon: inf]
2025-10-24 13:29:51.410132 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7498, lateral-2: 0.9479, lateral-3: 1.0147, lateral-4: 1.0932, lateral-5: 1.1007, epsilon: inf]
2025-10-24 13:30:24.601754 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7492, lateral-2: 0.9357, lateral-3: 1.0029, lateral-4: 1.0827, lateral-5: 1.0859, epsilon: inf]
2025-10-24 13:31:07.559715 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7487, lateral-2: 0.9237, lateral-3: 0.9916, lateral-4: 1.0716, lateral-5: 1.0738, epsilon: inf]
Training completed at Fri Oct 24 13:31:31 CEST 2025
