Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 128
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: erosion
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/erosion/batch_128/run_3/noise_multiplier_0.3
Run: 3
Namespace(epoch=100, lr=0.0001, batchsize=128, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=3, enable_privacy=True, noise_multiplier=0.3, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='erosion', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 14:09:14.861115 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7733, lateral-2: 1.5823, lateral-3: 1.6476, lateral-4: 1.5817, lateral-5: 1.5697, epsilon: 40.5547]
2025-10-24 14:09:17.945225 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7729, lateral-2: 1.5247, lateral-3: 1.5797, lateral-4: 1.5541, lateral-5: 1.5520, epsilon: 67.3649]
2025-10-24 14:09:21.079163 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7723, lateral-2: 1.4906, lateral-3: 1.5373, lateral-4: 1.5312, lateral-5: 1.5348, epsilon: 91.8295]
2025-10-24 14:09:24.297303 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7716, lateral-2: 1.4641, lateral-3: 1.5069, lateral-4: 1.5097, lateral-5: 1.5197, epsilon: 115.0760]
2025-10-24 14:09:27.562251 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7707, lateral-2: 1.4408, lateral-3: 1.4847, lateral-4: 1.4916, lateral-5: 1.5067, epsilon: 137.5426]
2025-10-24 14:09:30.825489 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7697, lateral-2: 1.4186, lateral-3: 1.4657, lateral-4: 1.4758, lateral-5: 1.4952, epsilon: 159.4546]
2025-10-24 14:09:34.131419 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7687, lateral-2: 1.3968, lateral-3: 1.4473, lateral-4: 1.4612, lateral-5: 1.4847, epsilon: 180.9461]
2025-10-24 14:09:37.530748 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7676, lateral-2: 1.3755, lateral-3: 1.4292, lateral-4: 1.4473, lateral-5: 1.4745, epsilon: 202.1045]
2025-10-24 14:09:40.875637 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7664, lateral-2: 1.3546, lateral-3: 1.4116, lateral-4: 1.4334, lateral-5: 1.4646, epsilon: 222.9906]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/erosion/batch_128/run_3/noise_multiplier_0.3/Inf-Net-10.pth
2025-10-24 14:09:44.670906 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7653, lateral-2: 1.3345, lateral-3: 1.3946, lateral-4: 1.4191, lateral-5: 1.4547, epsilon: 243.6485]
