Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 128
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: open
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/open/batch_128/run_3/noise_multiplier_1.5
Run: 3
Namespace(epoch=100, lr=0.0001, batchsize=128, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=3, enable_privacy=True, noise_multiplier=1.5, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='open', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 13:58:51.034866 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7689, lateral-2: 1.8019, lateral-3: 1.6459, lateral-4: 1.6188, lateral-5: 1.5514, epsilon: 5.1851]
2025-10-24 13:58:54.244426 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7690, lateral-2: 1.7577, lateral-3: 1.6173, lateral-4: 1.5888, lateral-5: 1.5483, epsilon: 7.8193]
2025-10-24 13:58:57.351661 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7690, lateral-2: 1.7202, lateral-3: 1.5938, lateral-4: 1.5652, lateral-5: 1.5452, epsilon: 10.0077]
2025-10-24 13:59:00.615595 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7689, lateral-2: 1.6898, lateral-3: 1.5750, lateral-4: 1.5495, lateral-5: 1.5424, epsilon: 11.9630]
2025-10-24 13:59:03.765789 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7689, lateral-2: 1.6655, lateral-3: 1.5602, lateral-4: 1.5386, lateral-5: 1.5397, epsilon: 13.7684]
2025-10-24 13:59:06.894921 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7688, lateral-2: 1.6445, lateral-3: 1.5478, lateral-4: 1.5300, lateral-5: 1.5373, epsilon: 15.4668]
2025-10-24 13:59:10.019818 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7688, lateral-2: 1.6264, lateral-3: 1.5372, lateral-4: 1.5231, lateral-5: 1.5350, epsilon: 17.0838]
2025-10-24 13:59:13.122760 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7687, lateral-2: 1.6098, lateral-3: 1.5279, lateral-4: 1.5174, lateral-5: 1.5328, epsilon: 18.6363]
2025-10-24 13:59:16.398395 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7685, lateral-2: 1.5944, lateral-3: 1.5197, lateral-4: 1.5121, lateral-5: 1.5304, epsilon: 20.1358]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/open/batch_128/run_3/noise_multiplier_1.5/Inf-Net-10.pth
2025-10-24 13:59:19.718986 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7684, lateral-2: 1.5804, lateral-3: 1.5123, lateral-4: 1.5072, lateral-5: 1.5283, epsilon: 21.5910]
2025-10-24 13:59:22.858733 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7682, lateral-2: 1.5675, lateral-3: 1.5054, lateral-4: 1.5026, lateral-5: 1.5259, epsilon: 23.0082]
2025-10-24 13:59:25.986081 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7680, lateral-2: 1.5559, lateral-3: 1.4989, lateral-4: 1.4982, lateral-5: 1.5235, epsilon: 24.3925]
2025-10-24 13:59:29.275377 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7678, lateral-2: 1.5451, lateral-3: 1.4928, lateral-4: 1.4939, lateral-5: 1.5211, epsilon: 25.7479]
2025-10-24 13:59:32.457157 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7676, lateral-2: 1.5351, lateral-3: 1.4870, lateral-4: 1.4894, lateral-5: 1.5187, epsilon: 27.0777]
2025-10-24 13:59:35.629850 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7674, lateral-2: 1.5257, lateral-3: 1.4815, lateral-4: 1.4846, lateral-5: 1.5162, epsilon: 28.3845]
2025-10-24 13:59:38.789167 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7672, lateral-2: 1.5164, lateral-3: 1.4762, lateral-4: 1.4801, lateral-5: 1.5137, epsilon: 29.6705]
2025-10-24 13:59:41.965153 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7670, lateral-2: 1.5070, lateral-3: 1.4706, lateral-4: 1.4759, lateral-5: 1.5110, epsilon: 30.9378]
2025-10-24 13:59:45.268700 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7669, lateral-2: 1.4978, lateral-3: 1.4647, lateral-4: 1.4718, lateral-5: 1.5086, epsilon: 32.1878]
2025-10-24 13:59:48.448917 Epoch [019/100], Step [0001/0001], [lateral-edge: 0.7667, lateral-2: 1.4891, lateral-3: 1.4591, lateral-4: 1.4676, lateral-5: 1.5061, epsilon: 33.4220]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/open/batch_128/run_3/noise_multiplier_1.5/Inf-Net-20.pth
