Backbone loading: Res2Net50
Not loading weights from weights file
################################################## 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 72
Morphology: both
Save Path: ./Snapshots/save_weights/Inf-Net_Morph/both/batch_72/run_2
Run: 2
Namespace(epoch=70, lr=0.0001, batchsize=72, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_morphology=True, morph_operation='both', morph_kernel_size=3, device='cuda')
 ##################################################
2025-10-26 21:58:42.067588 Epoch [001/070], Step [0001/0001], [lateral-edge: 0.7594, lateral-2: 1.5553, lateral-3: 1.6470, lateral-4: 1.6266, lateral-5: 1.5447]
2025-10-26 21:58:43.673511 Epoch [002/070], Step [0001/0001], [lateral-edge: 0.7538, lateral-2: 1.4555, lateral-3: 1.4953, lateral-4: 1.5049, lateral-5: 1.5289]
2025-10-26 21:58:45.315839 Epoch [003/070], Step [0001/0001], [lateral-edge: 0.7497, lateral-2: 1.3959, lateral-3: 1.4408, lateral-4: 1.4871, lateral-5: 1.5213]
2025-10-26 21:58:46.944597 Epoch [004/070], Step [0001/0001], [lateral-edge: 0.7468, lateral-2: 1.3749, lateral-3: 1.4106, lateral-4: 1.4472, lateral-5: 1.5200]
2025-10-26 21:58:48.607197 Epoch [005/070], Step [0001/0001], [lateral-edge: 0.7441, lateral-2: 1.3512, lateral-3: 1.3798, lateral-4: 1.4224, lateral-5: 1.5199]
2025-10-26 21:58:50.292410 Epoch [006/070], Step [0001/0001], [lateral-edge: 0.7415, lateral-2: 1.3223, lateral-3: 1.3495, lateral-4: 1.4054, lateral-5: 1.5180]
2025-10-26 21:58:51.930719 Epoch [007/070], Step [0001/0001], [lateral-edge: 0.7394, lateral-2: 1.2928, lateral-3: 1.3150, lateral-4: 1.3822, lateral-5: 1.5172]
2025-10-26 21:58:53.607478 Epoch [008/070], Step [0001/0001], [lateral-edge: 0.7376, lateral-2: 1.2546, lateral-3: 1.2742, lateral-4: 1.3508, lateral-5: 1.5089]
2025-10-26 21:58:55.253768 Epoch [009/070], Step [0001/0001], [lateral-edge: 0.7359, lateral-2: 1.2051, lateral-3: 1.2302, lateral-4: 1.3100, lateral-5: 1.4743]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/both/batch_72/run_2/Inf-Net-10.pth
2025-10-26 21:58:57.092072 Epoch [010/070], Step [0001/0001], [lateral-edge: 0.7343, lateral-2: 1.1408, lateral-3: 1.1759, lateral-4: 1.2599, lateral-5: 1.4295]
2025-10-26 21:58:58.762761 Epoch [011/070], Step [0001/0001], [lateral-edge: 0.7327, lateral-2: 1.0728, lateral-3: 1.1180, lateral-4: 1.2102, lateral-5: 1.4276]
2025-10-26 21:59:00.438927 Epoch [012/070], Step [0001/0001], [lateral-edge: 0.7313, lateral-2: 1.0181, lateral-3: 1.0709, lateral-4: 1.1714, lateral-5: 1.4721]
