Backbone loading: Res2Net50
Not loading weights from weights file
################################################## 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 128
Morphology: close
Save Path: ./Snapshots/save_weights/Inf-Net_Morph/batch_128/run_2
Run: 2
Namespace(epoch=100, lr=0.0001, batchsize=128, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_morphology=True, morph_operation='close', morph_kernel_size=3, device='cuda')
 ##################################################
2025-10-23 17:25:07.559245 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7652, lateral-2: 1.5697, lateral-3: 1.6048, lateral-4: 1.5552, lateral-5: 1.5388]
2025-10-23 17:25:09.288176 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7579, lateral-2: 1.4542, lateral-3: 1.4529, lateral-4: 1.5115, lateral-5: 1.5061]
2025-10-23 17:25:11.051035 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7545, lateral-2: 1.4091, lateral-3: 1.4201, lateral-4: 1.4635, lateral-5: 1.5100]
2025-10-23 17:25:12.798162 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7520, lateral-2: 1.3884, lateral-3: 1.3925, lateral-4: 1.4384, lateral-5: 1.4977]
2025-10-23 17:25:14.569631 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7490, lateral-2: 1.3513, lateral-3: 1.3631, lateral-4: 1.4110, lateral-5: 1.4778]
2025-10-23 17:25:16.315129 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7464, lateral-2: 1.3130, lateral-3: 1.3271, lateral-4: 1.3939, lateral-5: 1.4297]
2025-10-23 17:25:18.066628 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7443, lateral-2: 1.2648, lateral-3: 1.2829, lateral-4: 1.3536, lateral-5: 1.3972]
2025-10-23 17:25:19.794091 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7421, lateral-2: 1.2056, lateral-3: 1.2253, lateral-4: 1.2875, lateral-5: 1.3856]
2025-10-23 17:25:21.534435 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7402, lateral-2: 1.1180, lateral-3: 1.1448, lateral-4: 1.2233, lateral-5: 1.4005]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_128/run_2/Inf-Net-10.pth
2025-10-23 17:25:23.478949 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7386, lateral-2: 1.0256, lateral-3: 1.0622, lateral-4: 1.1396, lateral-5: 1.4522]
2025-10-23 17:25:25.234330 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7370, lateral-2: 0.9617, lateral-3: 1.0126, lateral-4: 1.1037, lateral-5: 1.5009]
2025-10-23 17:25:26.963195 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7354, lateral-2: 0.9320, lateral-3: 0.9805, lateral-4: 1.0807, lateral-5: 1.5238]
2025-10-23 17:25:28.734496 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7340, lateral-2: 0.8983, lateral-3: 0.9625, lateral-4: 1.0569, lateral-5: 1.5159]
2025-10-23 17:25:30.461716 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7327, lateral-2: 0.8680, lateral-3: 0.9276, lateral-4: 1.0264, lateral-5: 1.4825]
2025-10-23 17:25:32.221414 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7314, lateral-2: 0.8444, lateral-3: 0.9078, lateral-4: 1.0083, lateral-5: 1.4800]
2025-10-23 17:25:33.977679 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7302, lateral-2: 0.8309, lateral-3: 0.8974, lateral-4: 1.0016, lateral-5: 1.4747]
2025-10-23 17:25:35.720133 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7292, lateral-2: 0.8115, lateral-3: 0.8846, lateral-4: 0.9918, lateral-5: 1.4604]
2025-10-23 17:25:37.450225 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7281, lateral-2: 0.7993, lateral-3: 0.8716, lateral-4: 0.9769, lateral-5: 1.4435]
2025-10-23 17:25:39.204225 Epoch [019/100], Step [0001/0001], [lateral-edge: 0.7271, lateral-2: 0.7753, lateral-3: 0.8495, lateral-4: 0.9603, lateral-5: 1.4271]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_128/run_2/Inf-Net-20.pth
2025-10-23 17:25:41.160822 Epoch [020/100], Step [0001/0001], [lateral-edge: 0.7262, lateral-2: 0.7620, lateral-3: 0.8398, lateral-4: 0.9441, lateral-5: 1.4021]
2025-10-23 17:25:42.895414 Epoch [021/100], Step [0001/0001], [lateral-edge: 0.7252, lateral-2: 0.7330, lateral-3: 0.8124, lateral-4: 0.9249, lateral-5: 1.3836]
2025-10-23 17:25:44.624345 Epoch [022/100], Step [0001/0001], [lateral-edge: 0.7243, lateral-2: 0.7138, lateral-3: 0.7961, lateral-4: 0.9082, lateral-5: 1.3576]
2025-10-23 17:25:46.349411 Epoch [023/100], Step [0001/0001], [lateral-edge: 0.7234, lateral-2: 0.6963, lateral-3: 0.7805, lateral-4: 0.8966, lateral-5: 1.3431]
2025-10-23 17:25:48.080864 Epoch [024/100], Step [0001/0001], [lateral-edge: 0.7225, lateral-2: 0.6851, lateral-3: 0.7727, lateral-4: 0.8922, lateral-5: 1.3149]
2025-10-23 17:25:49.817579 Epoch [025/100], Step [0001/0001], [lateral-edge: 0.7216, lateral-2: 0.6839, lateral-3: 0.7711, lateral-4: 0.8891, lateral-5: 1.3123]
2025-10-23 17:25:51.567531 Epoch [026/100], Step [0001/0001], [lateral-edge: 0.7208, lateral-2: 0.6799, lateral-3: 0.7683, lateral-4: 0.8935, lateral-5: 1.2785]
2025-10-23 17:25:53.307552 Epoch [027/100], Step [0001/0001], [lateral-edge: 0.7199, lateral-2: 0.6705, lateral-3: 0.7604, lateral-4: 0.8817, lateral-5: 1.2673]
2025-10-23 17:25:55.052211 Epoch [028/100], Step [0001/0001], [lateral-edge: 0.7191, lateral-2: 0.6549, lateral-3: 0.7465, lateral-4: 0.8731, lateral-5: 1.2461]
2025-10-23 17:25:56.785760 Epoch [029/100], Step [0001/0001], [lateral-edge: 0.7183, lateral-2: 0.6495, lateral-3: 0.7426, lateral-4: 0.8671, lateral-5: 1.2289]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_128/run_2/Inf-Net-30.pth
2025-10-23 17:25:58.780152 Epoch [030/100], Step [0001/0001], [lateral-edge: 0.7175, lateral-2: 0.6432, lateral-3: 0.7371, lateral-4: 0.8670, lateral-5: 1.2040]
2025-10-23 17:26:00.532648 Epoch [031/100], Step [0001/0001], [lateral-edge: 0.7168, lateral-2: 0.6345, lateral-3: 0.7301, lateral-4: 0.8562, lateral-5: 1.1911]
2025-10-23 17:26:02.279245 Epoch [032/100], Step [0001/0001], [lateral-edge: 0.7160, lateral-2: 0.6194, lateral-3: 0.7182, lateral-4: 0.8511, lateral-5: 1.1689]
2025-10-23 17:26:04.044690 Epoch [033/100], Step [0001/0001], [lateral-edge: 0.7152, lateral-2: 0.6155, lateral-3: 0.7156, lateral-4: 0.8445, lateral-5: 1.1570]
2025-10-23 17:26:05.787905 Epoch [034/100], Step [0001/0001], [lateral-edge: 0.7144, lateral-2: 0.6044, lateral-3: 0.7046, lateral-4: 0.8403, lateral-5: 1.1479]
2025-10-23 17:26:07.532912 Epoch [035/100], Step [0001/0001], [lateral-edge: 0.7137, lateral-2: 0.6089, lateral-3: 0.7100, lateral-4: 0.8411, lateral-5: 1.1316]
2025-10-23 17:26:09.267100 Epoch [036/100], Step [0001/0001], [lateral-edge: 0.7129, lateral-2: 0.5970, lateral-3: 0.6985, lateral-4: 0.8355, lateral-5: 1.1210]
2025-10-23 17:26:11.046323 Epoch [037/100], Step [0001/0001], [lateral-edge: 0.7122, lateral-2: 0.5940, lateral-3: 0.7000, lateral-4: 0.8344, lateral-5: 1.1100]
2025-10-23 17:26:12.800687 Epoch [038/100], Step [0001/0001], [lateral-edge: 0.7114, lateral-2: 0.5818, lateral-3: 0.6864, lateral-4: 0.8263, lateral-5: 1.0969]
2025-10-23 17:26:14.587505 Epoch [039/100], Step [0001/0001], [lateral-edge: 0.7107, lateral-2: 0.5803, lateral-3: 0.6855, lateral-4: 0.8229, lateral-5: 1.0817]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_128/run_2/Inf-Net-40.pth
2025-10-23 17:26:16.552592 Epoch [040/100], Step [0001/0001], [lateral-edge: 0.7100, lateral-2: 0.5775, lateral-3: 0.6865, lateral-4: 0.8265, lateral-5: 1.0813]
2025-10-23 17:26:18.311500 Epoch [041/100], Step [0001/0001], [lateral-edge: 0.7094, lateral-2: 0.5687, lateral-3: 0.6771, lateral-4: 0.8186, lateral-5: 1.0718]
2025-10-23 17:26:20.081135 Epoch [042/100], Step [0001/0001], [lateral-edge: 0.7087, lateral-2: 0.5641, lateral-3: 0.6768, lateral-4: 0.8185, lateral-5: 1.0483]
2025-10-23 17:26:21.863021 Epoch [043/100], Step [0001/0001], [lateral-edge: 0.7081, lateral-2: 0.5589, lateral-3: 0.6705, lateral-4: 0.8161, lateral-5: 1.0457]
2025-10-23 17:26:23.625111 Epoch [044/100], Step [0001/0001], [lateral-edge: 0.7074, lateral-2: 0.5491, lateral-3: 0.6661, lateral-4: 0.8106, lateral-5: 1.0281]
2025-10-23 17:26:25.385735 Epoch [045/100], Step [0001/0001], [lateral-edge: 0.7068, lateral-2: 0.5483, lateral-3: 0.6611, lateral-4: 0.8105, lateral-5: 1.0215]
2025-10-23 17:26:27.161985 Epoch [046/100], Step [0001/0001], [lateral-edge: 0.7062, lateral-2: 0.5462, lateral-3: 0.6648, lateral-4: 0.8098, lateral-5: 1.0037]
